time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 1302, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 1510, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 1507, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 1502, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1500, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1498, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1495, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1493, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1491, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1489, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 1299, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 1297, "speed": 8000}}',
0.35,POSITION,'{"12": {"position": 1299, "speed": 8000}}',
0.37,POSITION,'{"12": {"position": 1301, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1487, "speed": 8000}}',
0.49,POSITION,'{"13": {"position": 1485, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1483, "speed": 8000}}',
0.58,POSITION,'{"13": {"position": 1481, "speed": 8000}}',
0.6,POSITION,'{"13": {"position": 1478, "speed": 8000}}',
0.69,POSITION,'{"13": {"position": 1474, "speed": 8000}}',
0.72,POSITION,'{"12": {"position": 1304, "speed": 8000}}',
0.72,POSITION,'{"13": {"position": 1472, "speed": 8000}}',
0.73,POSITION,'{"12": {"position": 1308, "speed": 8000}}',
0.74,POSITION,'{"12": {"position": 1311, "speed": 8000}}',
0.75,POSITION,'{"12": {"position": 1313, "speed": 8000}}',
0.75,POSITION,'{"13": {"position": 1470, "speed": 8000}}',
0.77,POSITION,'{"12": {"position": 1318, "speed": 8000}}',
0.77,POSITION,'{"13": {"position": 1462, "speed": 8000}}',
0.78,POSITION,'{"12": {"position": 1322, "speed": 8000}}',
0.78,POSITION,'{"13": {"position": 1450, "speed": 8000}}',
0.79,POSITION,'{"12": {"position": 1324, "speed": 8000}}',
0.79,POSITION,'{"13": {"position": 1445, "speed": 8000}}',
0.81,POSITION,'{"12": {"position": 1332, "speed": 8000}}',
0.81,POSITION,'{"13": {"position": 1437, "speed": 8000}}',
0.82,POSITION,'{"12": {"position": 1343, "speed": 8000}}',
0.82,POSITION,'{"13": {"position": 1431, "speed": 8000}}',
0.83,POSITION,'{"12": {"position": 1348, "speed": 8000}}',
0.83,POSITION,'{"13": {"position": 1428, "speed": 8000}}',
0.85,POSITION,'{"12": {"position": 1357, "speed": 8000}}',
