time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 1016, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 1014, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1011, "speed": 8000}}',
0.05,POSITION,'{"7": {"position": 1508, "speed": 8000}, "6": {"position": 1552, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1006, "speed": 8000}}',
0.06,POSITION,'{"5": {"position": 1004, "speed": 8000}}',
0.07,POSITION,'{"5": {"position": 999, "speed": 8000}}',
0.09,POSITION,'{"5": {"position": 996, "speed": 8000}}',
0.1,POSITION,'{"5": {"position": 989, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 985, "speed": 8000}}',
0.12,POSITION,'{"5": {"position": 975, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 970, "speed": 8000}}',
0.15,POSITION,'{"5": {"position": 960, "speed": 8000}}',
0.16,POSITION,'{"5": {"position": 955, "speed": 8000}}',
0.17,POSITION,'{"5": {"position": 943, "speed": 8000}}',
0.18,POSITION,'{"5": {"position": 937, "speed": 8000}}',
0.19,POSITION,'{"5": {"position": 932, "speed": 8000}}',
0.21,POSITION,'{"7": {"position": 1506, "speed": 8000}, "6": {"position": 1553, "speed": 8000}}',
0.21,POSITION,'{"5": {"position": 921, "speed": 8000}}',
0.22,POSITION,'{"5": {"position": 910, "speed": 8000}}',
0.23,POSITION,'{"5": {"position": 903, "speed": 8000}}',
0.24,POSITION,'{"5": {"position": 895, "speed": 8000}}',
0.26,POSITION,'{"7": {"position": 1505, "speed": 8000}, "6": {"position": 1555, "speed": 8000}}',
0.26,POSITION,'{"5": {"position": 876, "speed": 8000}}',
0.27,POSITION,'{"5": {"position": 859, "speed": 8000}}',
0.28,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1557, "speed": 8000}}',
0.28,POSITION,'{"5": {"position": 852, "speed": 8000}}',
0.29,POSITION,'{"5": {"position": 846, "speed": 8000}}',
0.3,POSITION,'{"7": {"position": 1501, "speed": 8000}, "6": {"position": 1560, "speed": 8000}}',
0.3,POSITION,'{"5": {"position": 835, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 829, "speed": 8000}}',
0.33,POSITION,'{"7": {"position": 1499, "speed": 8000}, "6": {"position": 1562, "speed": 8000}}',
