time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1985, "speed": 8000}}',\\
0.02,POSITION,'{"0": {"position": 1797, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1636, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1625, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1587, "speed": 8000}}',\\
0.07,POSITION,'{"0": {"position": 1555, "speed": 8000}}',\\
0.09,POSITION,'{"0": {"position": 1544, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1537, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1543, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1579, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1727, "speed": 8000}}',\\
0.15,POSITION,'{"0": {"position": 1748, "speed": 8000}}',\\
0.16,POSITION,'{"0": {"position": 1758, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1772, "speed": 8000}}',\\
0.19,POSITION,'{"0": {"position": 1765, "speed": 8000}}',\\
0.2,POSITION,'{"0": {"position": 1750, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1573, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1563, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1525, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1502, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1459, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1425, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1413, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1407, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1412, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1434, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1450, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1464, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1479, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1476, "speed": 8000}}',\\
0.39,POSITION,'{"0": {"position": 1456, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1439, "speed": 8000}}',\\
0.41,POSITION,'{"0": {"position": 1396, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1349, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1328, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1294, "speed": 8000}}',\\
0.47,POSITION,'{"0": {"position": 1276, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1290, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1309, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1353, "speed": 8000}}',\\
0.52,POSITION,'{"0": {"position": 1371, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1395, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1391, "speed": 8000}}',\\
0.56,POSITION,'{"0": {"position": 1379, "speed": 8000}}',\\
0.57,POSITION,'{"0": {"position": 1342, "speed": 8000}}',\\
0.58,POSITION,'{"0": {"position": 1320, "speed": 8000}}',\\
0.59,POSITION,'{"0": {"position": 1268, "speed": 8000}}',\\
0.61,POSITION,'{"0": {"position": 1240, "speed": 8000}}',\\
0.62,POSITION,'{"0": {"position": 1085, "speed": 8000}}',\\
0.63,POSITION,'{"0": {"position": 1065, "speed": 8000}}',\\
0.65,POSITION,'{"0": {"position": 1057, "speed": 8000}}',\\
0.66,POSITION,'{"0": {"position": 1052, "speed": 8000}}',\\
0.67,POSITION,'{"0": {"position": 1074, "speed": 8000}}',\\
0.69,POSITION,'{"0": {"position": 1092, "speed": 8000}}',\\
0.7,POSITION,'{"0": {"position": 1134, "speed": 8000}}',\\
0.71,POSITION,'{"0": {"position": 1155, "speed": 8000}}',\\
0.72,POSITION,'{"0": {"position": 1186, "speed": 8000}}',\\
0.74,POSITION,'{"0": {"position": 1198, "speed": 8000}}',\\
0.75,POSITION,'{"0": {"position": 1215, "speed": 8000}}',\\
0.77,POSITION,'{"0": {"position": 1232, "speed": 8000}}',\\
