time,instruction,arg_1,arg_2
0,PHONEME,E,
0.08,PHONEME,FV,
0.2,PHONEME,E,
0.37,PHONEME,etc,
0.45,PHONEME,E,
0.58,PHONEME,L,
0.66,PHONEME,AI,
0.7,PHONEME,etc,
0.74,PHONEME,MBP,
0.83,PHONEME,AI,
0.91,PHONEME,MBP,
1.0,PHONEME,AI,
1.08,PHONEME,etc,
1.12,PHONEME,E,
1.2,PHONEME,etc,
1.29,PHONEME,AI,
1.33,PHONEME,etc,
1.83,PHONEME,U,
2.2,PHONEME,rest,300
2.5,PHONEME,FV,80
2.58,PHONEME,AI,
2.62,PHONEME,MBP,1
2.7,PHONEME,etc,
2.74,PHONEME,E,
2.83,PHONEME,etc,
2.87,PHONEME,AI,
2.95,PHONEME,etc,
3.0,PHONEME,AI,
3.04,PHONEME,etc,
3.08,PHONEME,MBP,
3.12,PHONEME,AI,
3.16,PHONEME,etc,
3.5,PHONEME,AI,
3.62,PHONEME,etc,500
3.79,PHONEME,rest,1000
