time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 2077, "speed": 8000}}',
0,POSITION,'{"13": {"position": 912, "speed": 8000}}',
0.02,POSITION,'{"12": {"position": 2068, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 919, "speed": 8000}}',
0.03,POSITION,'{"12": {"position": 2064, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 922, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 2056, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 932, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 2049, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 947, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 2046, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 956, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 2043, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 965, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 2033, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 981, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 2022, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1000, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 2016, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 1009, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 2007, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1025, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 2000, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 1044, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1996, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 1054, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1990, "speed": 8000}}',
0.17,POSITION,'{"13": {"position": 1070, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1982, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1081, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1978, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 1086, "speed": 8000}}',
0.21,POSITION,'{"12": {"position": 1970, "speed": 8000}}',
0.22,POSITION,'{"13": {"position": 1096, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 1961, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1107, "speed": 8000}}',
0.24,POSITION,'{"12": {"position": 1957, "speed": 8000}}',
0.24,POSITION,'{"13": {"position": 1114, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 1949, "speed": 8000}}',
0.26,POSITION,'{"13": {"position": 1128, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 1942, "speed": 8000}}',
0.27,POSITION,'{"13": {"position": 1141, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1938, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1146, "speed": 8000}}',
0.29,POSITION,'{"12": {"position": 1930, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1155, "speed": 8000}}',
0.31,POSITION,'{"12": {"position": 1920, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1166, "speed": 8000}}',
0.32,POSITION,'{"12": {"position": 1914, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1170, "speed": 8000}}',
0.33,POSITION,'{"12": {"position": 1903, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 1179, "speed": 8000}}',
0.35,POSITION,'{"12": {"position": 1898, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1183, "speed": 8000}}',
0.36,POSITION,'{"12": {"position": 1890, "speed": 8000}}',
0.36,POSITION,'{"13": {"position": 1190, "speed": 8000}}',
0.37,POSITION,'{"12": {"position": 1887, "speed": 8000}}',
0.38,POSITION,'{"13": {"position": 1192, "speed": 8000}}',
0.39,POSITION,'{"12": {"position": 1881, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1196, "speed": 8000}}',
0.4,POSITION,'{"12": {"position": 1874, "speed": 8000}}',
0.41,POSITION,'{"12": {"position": 1870, "speed": 8000}}',
0.42,POSITION,'{"13": {"position": 1200, "speed": 8000}}',
0.43,POSITION,'{"12": {"position": 1860, "speed": 8000}}',
0.44,POSITION,'{"12": {"position": 1853, "speed": 8000}}',
0.44,POSITION,'{"13": {"position": 1203, "speed": 8000}}',
0.45,POSITION,'{"12": {"position": 1849, "speed": 8000}}',
0.45,POSITION,'{"13": {"position": 1206, "speed": 8000}}',
0.47,POSITION,'{"12": {"position": 1844, "speed": 8000}}',
0.47,POSITION,'{"13": {"position": 1210, "speed": 8000}}',
0.48,POSITION,'{"12": {"position": 1834, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1215, "speed": 8000}}',
0.49,POSITION,'{"12": {"position": 1830, "speed": 8000}}',
0.49,POSITION,'{"13": {"position": 1218, "speed": 8000}}',
0.5,POSITION,'{"12": {"position": 1822, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1222, "speed": 8000}}',
0.52,POSITION,'{"12": {"position": 1812, "speed": 8000}}',
0.52,POSITION,'{"13": {"position": 1226, "speed": 8000}}',
0.53,POSITION,'{"12": {"position": 1808, "speed": 8000}}',
0.53,POSITION,'{"13": {"position": 1228, "speed": 8000}}',
0.54,POSITION,'{"12": {"position": 1801, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1235, "speed": 8000}}',
0.56,POSITION,'{"12": {"position": 1797, "speed": 8000}}',
0.56,POSITION,'{"13": {"position": 1244, "speed": 8000}}',
0.57,POSITION,'{"12": {"position": 1795, "speed": 8000}}',
0.57,POSITION,'{"13": {"position": 1248, "speed": 8000}}',
0.58,POSITION,'{"12": {"position": 1792, "speed": 8000}}',
0.59,POSITION,'{"13": {"position": 1255, "speed": 8000}}',
0.6,POSITION,'{"12": {"position": 1790, "speed": 8000}}',
0.6,POSITION,'{"13": {"position": 1258, "speed": 8000}}',
0.61,POSITION,'{"12": {"position": 1785, "speed": 8000}}',
0.61,POSITION,'{"13": {"position": 1262, "speed": 8000}}',
0.62,POSITION,'{"12": {"position": 1783, "speed": 8000}}',
0.63,POSITION,'{"13": {"position": 1264, "speed": 8000}}',
0.64,POSITION,'{"12": {"position": 1780, "speed": 8000}}',
0.64,POSITION,'{"13": {"position": 1268, "speed": 8000}}',
0.65,POSITION,'{"12": {"position": 1777, "speed": 8000}}',
0.65,POSITION,'{"13": {"position": 1273, "speed": 8000}}',
0.66,POSITION,'{"13": {"position": 1276, "speed": 8000}}',
0.68,POSITION,'{"13": {"position": 1280, "speed": 8000}}',
0.69,POSITION,'{"13": {"position": 1282, "speed": 8000}}',
0.7,POSITION,'{"12": {"position": 1774, "speed": 8000}}',
0.7,POSITION,'{"13": {"position": 1284, "speed": 8000}}',
0.71,POSITION,'{"13": {"position": 1286, "speed": 8000}}',
0.75,POSITION,'{"12": {"position": 1778, "speed": 8000}}',
0.76,POSITION,'{"12": {"position": 1781, "speed": 8000}}',
0.77,POSITION,'{"12": {"position": 1788, "speed": 8000}}',
