time,instruction,arg_1,arg_2
0,POSITION,{},
0.03,POSITION,{},
0.08,POSITION,{},
0.1,POSITION,'{"8": {"position": 2110, "speed": 8000}, "9": {"position": 889, "speed": 8000}, "10": {"position": 889, "speed": 8000}, "11": {"position": 2110, "speed": 8000}}',
0.13,POSITION,{},
0.14,POSITION,{},
0.15,POSITION,'{"8": {"position": 2108, "speed": 8000}, "9": {"position": 891, "speed": 8000}, "10": {"position": 891, "speed": 8000}, "11": {"position": 2108, "speed": 8000}}',
0.16,POSITION,{},
0.18,POSITION,{},
0.19,POSITION,{},
0.2,POSITION,{},
0.21,POSITION,{},
0.22,POSITION,{},
0.26,POSITION,{},
0.3,POSITION,{},
0.35,POSITION,'{"8": {"position": 2111, "speed": 8000}, "9": {"position": 888, "speed": 8000}, "10": {"position": 888, "speed": 8000}, "11": {"position": 2111, "speed": 8000}}',
0.37,POSITION,'{"8": {"position": 2116, "speed": 8000}, "9": {"position": 883, "speed": 8000}, "10": {"position": 883, "speed": 8000}, "11": {"position": 2116, "speed": 8000}}',
0.38,POSITION,'{"8": {"position": 2118, "speed": 8000}, "9": {"position": 881, "speed": 8000}, "10": {"position": 881, "speed": 8000}, "11": {"position": 2118, "speed": 8000}}',
0.4,POSITION,'{"8": {"position": 2124, "speed": 8000}, "9": {"position": 875, "speed": 8000}, "10": {"position": 875, "speed": 8000}, "11": {"position": 2124, "speed": 8000}}',
0.41,POSITION,'{"8": {"position": 2129, "speed": 8000}, "9": {"position": 870, "speed": 8000}, "10": {"position": 870, "speed": 8000}, "11": {"position": 2129, "speed": 8000}}',
0.42,POSITION,'{"8": {"position": 2132, "speed": 8000}, "9": {"position": 867, "speed": 8000}, "10": {"position": 867, "speed": 8000}, "11": {"position": 2132, "speed": 8000}}',
0.44,POSITION,'{"8": {"position": 2138, "speed": 8000}, "9": {"position": 861, "speed": 8000}, "10": {"position": 861, "speed": 8000}, "11": {"position": 2138, "speed": 8000}}',
0.45,POSITION,'{"8": {"position": 2140, "speed": 8000}, "9": {"position": 859, "speed": 8000}, "10": {"position": 859, "speed": 8000}, "11": {"position": 2140, "speed": 8000}}',
0.46,POSITION,{},
0.46,POSITION,'{"8": {"position": 2143, "speed": 8000}, "9": {"position": 856, "speed": 8000}, "10": {"position": 856, "speed": 8000}, "11": {"position": 2143, "speed": 8000}}',
0.47,POSITION,{},
0.47,POSITION,'{"8": {"position": 2149, "speed": 8000}, "9": {"position": 850, "speed": 8000}, "10": {"position": 850, "speed": 8000}, "11": {"position": 2149, "speed": 8000}}',
0.49,POSITION,'{"8": {"position": 2155, "speed": 8000}, "9": {"position": 844, "speed": 8000}, "10": {"position": 844, "speed": 8000}, "11": {"position": 2155, "speed": 8000}}',
0.49,POSITION,{},
0.5,POSITION,'{"8": {"position": 2158, "speed": 8000}, "9": {"position": 841, "speed": 8000}, "10": {"position": 841, "speed": 8000}, "11": {"position": 2158, "speed": 8000}}',
0.5,POSITION,{},
0.51,POSITION,{},
0.51,POSITION,'{"8": {"position": 2160, "speed": 8000}, "9": {"position": 839, "speed": 8000}, "10": {"position": 839, "speed": 8000}, "11": {"position": 2160, "speed": 8000}}',
0.52,POSITION,'{"8": {"position": 2163, "speed": 8000}, "9": {"position": 836, "speed": 8000}, "10": {"position": 836, "speed": 8000}, "11": {"position": 2163, "speed": 8000}}',
0.53,POSITION,{},
