time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 1493, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 1489, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1487, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 1483, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1481, "speed": 8000}}',
0.07,POSITION,'{"5": {"position": 1476, "speed": 8000}}',
0.1,POSITION,'{"5": {"position": 1473, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 1471, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 1468, "speed": 8000}}',
0.15,POSITION,'{"5": {"position": 1466, "speed": 8000}}',
0.16,POSITION,'{"5": {"position": 1464, "speed": 8000}}',
0.18,POSITION,'{"5": {"position": 1459, "speed": 8000}}',
0.2,POSITION,'{"5": {"position": 1457, "speed": 8000}}',
0.21,POSITION,'{"5": {"position": 1454, "speed": 8000}}',
0.22,POSITION,'{"5": {"position": 1452, "speed": 8000}}',
0.24,POSITION,'{"5": {"position": 1450, "speed": 8000}}',
0.31,POSITION,'{"5": {"position": 1448, "speed": 8000}}',
0.35,POSITION,'{"5": {"position": 1446, "speed": 8000}}',
0.43,POSITION,'{"5": {"position": 1443, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1439, "speed": 8000}}',
0.46,POSITION,'{"5": {"position": 1437, "speed": 8000}}',
0.47,POSITION,'{"5": {"position": 1434, "speed": 8000}}',
0.5,POSITION,'{"5": {"position": 1429, "speed": 8000}}',
0.51,POSITION,'{"5": {"position": 1427, "speed": 8000}}',
0.52,POSITION,'{"5": {"position": 1421, "speed": 8000}}',
0.54,POSITION,'{"5": {"position": 1419, "speed": 8000}}',
0.55,POSITION,'{"5": {"position": 1413, "speed": 8000}}',
0.56,POSITION,'{"5": {"position": 1409, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 1404, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 1393, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 1388, "speed": 8000}}',
0.61,POSITION,'{"5": {"position": 1379, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 1375, "speed": 8000}}',
