time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1638, "speed": 8000}}',\\
0.01,POSITION,'{"0": {"position": 1675, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1715, "speed": 8000}}',\\
0.04,POSITION,'{"0": {"position": 1730, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1742, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1756, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 1742, "speed": 8000}}',\\
0.09,POSITION,'{"0": {"position": 1720, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1538, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1340, "speed": 8000}}',\\
0.13,POSITION,'{"0": {"position": 1325, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1277, "speed": 8000}}',\\
0.15,POSITION,'{"0": {"position": 1229, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1210, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1186, "speed": 8000}}',\\
0.19,POSITION,'{"0": {"position": 1183, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1200, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1222, "speed": 8000}}',\\
0.23,POSITION,'{"0": {"position": 1400, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1446, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1471, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1508, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1522, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1519, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1494, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1477, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1437, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1413, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1369, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1349, "speed": 8000}}',\\
0.39,POSITION,'{"0": {"position": 1320, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1304, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1325, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1348, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1516, "speed": 8000}}',\\
0.46,POSITION,'{"0": {"position": 1536, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1573, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1588, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1606, "speed": 8000}}',\\
0.52,POSITION,'{"0": {"position": 1594, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1576, "speed": 8000}}',\\
0.55,POSITION,'{"0": {"position": 1523, "speed": 8000}}',\\
0.56,POSITION,'{"0": {"position": 1373, "speed": 8000}}',\\
0.57,POSITION,'{"0": {"position": 1341, "speed": 8000}}',\\
0.58,POSITION,'{"0": {"position": 1322, "speed": 8000}}',\\
0.6,POSITION,'{"0": {"position": 1280, "speed": 8000}}',\\
0.61,POSITION,'{"0": {"position": 1262, "speed": 8000}}',\\
0.62,POSITION,'{"0": {"position": 1235, "speed": 8000}}',\\
0.64,POSITION,'{"0": {"position": 1227, "speed": 8000}}',\\
0.65,POSITION,'{"0": {"position": 1235, "speed": 8000}}',\\
0.66,POSITION,'{"0": {"position": 1397, "speed": 8000}}',\\
0.68,POSITION,'{"0": {"position": 1424, "speed": 8000}}',\\
0.69,POSITION,'{"0": {"position": 1443, "speed": 8000}}',\\
0.7,POSITION,'{"0": {"position": 1473, "speed": 8000}}',\\
0.71,POSITION,'{"0": {"position": 1484, "speed": 8000}}',\\
0.73,POSITION,'{"0": {"position": 1493, "speed": 8000}}',\\
0.74,POSITION,'{"0": {"position": 1505, "speed": 8000}}',\\
0.75,POSITION,'{"0": {"position": 1496, "speed": 8000}}',\\
0.77,POSITION,'{"0": {"position": 1482, "speed": 8000}}',\\
0.78,POSITION,'{"0": {"position": 1321, "speed": 8000}}',\\
0.79,POSITION,'{"0": {"position": 1291, "speed": 8000}}',\\
0.8,POSITION,'{"0": {"position": 1267, "speed": 8000}}',\\
0.82,POSITION,'{"0": {"position": 1214, "speed": 8000}}',\\
0.83,POSITION,'{"0": {"position": 1189, "speed": 8000}}',\\
0.84,POSITION,'{"0": {"position": 1142, "speed": 8000}}',\\
0.86,POSITION,'{"0": {"position": 1120, "speed": 8000}}',\\
0.87,POSITION,'{"0": {"position": 1122, "speed": 8000}}',\\
0.88,POSITION,'{"0": {"position": 1150, "speed": 8000}}',\\
0.89,POSITION,'{"0": {"position": 1176, "speed": 8000}}',\\
0.9,POSITION,'{"0": {"position": 1372, "speed": 8000}}',\\
0.92,POSITION,'{"0": {"position": 1394, "speed": 8000}}',\\
0.93,POSITION,'{"0": {"position": 1567, "speed": 8000}}',\\
0.94,POSITION,'{"0": {"position": 1569, "speed": 8000}}',\\
0.95,POSITION,'{"0": {"position": 1572, "speed": 8000}}',\\
0.97,POSITION,'{"0": {"position": 1562, "speed": 8000}}',\\
0.98,POSITION,'{"0": {"position": 1551, "speed": 8000}}',\\
0.99,POSITION,'{"0": {"position": 1535, "speed": 8000}}',\\
1.01,POSITION,'{"0": {"position": 1498, "speed": 8000}}',\\
1.02,POSITION,'{"0": {"position": 1462, "speed": 8000}}',\\
1.03,POSITION,'{"0": {"position": 1444, "speed": 8000}}',\\
1.05,POSITION,'{"0": {"position": 1411, "speed": 8000}}',\\
1.06,POSITION,'{"0": {"position": 1381, "speed": 8000}}',\\
1.07,POSITION,'{"0": {"position": 1368, "speed": 8000}}',\\
1.08,POSITION,'{"0": {"position": 1351, "speed": 8000}}',\\
1.1,POSITION,'{"0": {"position": 1346, "speed": 8000}}',\\
1.11,POSITION,'{"0": {"position": 1357, "speed": 8000}}',\\
1.12,POSITION,'{"0": {"position": 1392, "speed": 8000}}',\\
1.14,POSITION,'{"0": {"position": 1417, "speed": 8000}}',\\
1.15,POSITION,'{"0": {"position": 1459, "speed": 8000}}',\\
1.16,POSITION,'{"0": {"position": 1474, "speed": 8000}}',\\
1.17,POSITION,'{"0": {"position": 1489, "speed": 8000}}',\\
1.19,POSITION,'{"0": {"position": 1474, "speed": 8000}}',\\
1.2,POSITION,'{"0": {"position": 1459, "speed": 8000}}',\\
1.21,POSITION,'{"0": {"position": 1416, "speed": 8000}}',\\
1.23,POSITION,'{"0": {"position": 1389, "speed": 8000}}',\\
1.24,POSITION,'{"0": {"position": 1361, "speed": 8000}}',\\
1.25,POSITION,'{"0": {"position": 1204, "speed": 8000}}',\\
1.26,POSITION,'{"0": {"position": 1177, "speed": 8000}}',\\
1.28,POSITION,'{"0": {"position": 1160, "speed": 8000}}',\\
1.29,POSITION,'{"0": {"position": 1118, "speed": 8000}}',\\
1.3,POSITION,'{"0": {"position": 1098, "speed": 8000}}',\\
1.31,POSITION,'{"0": {"position": 1068, "speed": 8000}}',\\
1.33,POSITION,'{"0": {"position": 1058, "speed": 8000}}',\\
1.34,POSITION,'{"0": {"position": 1065, "speed": 8000}}',\\
1.35,POSITION,'{"0": {"position": 1079, "speed": 8000}}',\\
1.36,POSITION,'{"0": {"position": 1119, "speed": 8000}}',\\
1.37,POSITION,'{"0": {"position": 1292, "speed": 8000}}',\\
1.39,POSITION,'{"0": {"position": 1299, "speed": 8000}}',\\
1.4,POSITION,'{"0": {"position": 1330, "speed": 8000}}',\\
1.41,POSITION,'{"0": {"position": 1353, "speed": 8000}}',\\
1.43,POSITION,'{"0": {"position": 1508, "speed": 8000}}',\\
1.44,POSITION,'{"0": {"position": 1549, "speed": 8000}}',\\
1.45,POSITION,'{"0": {"position": 1567, "speed": 8000}}',\\
1.46,POSITION,'{"0": {"position": 1588, "speed": 8000}}',\\
1.48,POSITION,'{"0": {"position": 1583, "speed": 8000}}',\\
1.49,POSITION,'{"0": {"position": 1538, "speed": 8000}}',\\
1.5,POSITION,'{"0": {"position": 1366, "speed": 8000}}',\\
1.52,POSITION,'{"0": {"position": 1331, "speed": 8000}}',\\
1.53,POSITION,'{"0": {"position": 1304, "speed": 8000}}',\\
1.54,POSITION,'{"0": {"position": 1155, "speed": 8000}}',\\
1.56,POSITION,'{"0": {"position": 1137, "speed": 8000}}',\\
1.57,POSITION,'{"0": {"position": 1128, "speed": 8000}}',\\
1.58,POSITION,'{"0": {"position": 1114, "speed": 8000}}',\\
1.59,POSITION,'{"0": {"position": 1109, "speed": 8000}}',\\
1.62,POSITION,'{"0": {"position": 1117, "speed": 8000}}',\\
1.63,POSITION,'{"0": {"position": 1151, "speed": 8000}}',\\
1.65,POSITION,'{"0": {"position": 1313, "speed": 8000}}',\\
1.66,POSITION,'{"0": {"position": 1519, "speed": 8000}}',\\
1.67,POSITION,'{"0": {"position": 1526, "speed": 8000}}',\\
1.68,POSITION,'{"0": {"position": 1546, "speed": 8000}}',\\
1.7,POSITION,'{"0": {"position": 1555, "speed": 8000}}',\\
1.71,POSITION,'{"0": {"position": 1569, "speed": 8000}}',\\
1.72,POSITION,'{"0": {"position": 1575, "speed": 8000}}',\\
1.73,POSITION,'{"0": {"position": 1592, "speed": 8000}}',\\
1.75,POSITION,'{"0": {"position": 1619, "speed": 8000}}',\\
1.76,POSITION,'{"0": {"position": 1640, "speed": 8000}}',\\
1.77,POSITION,'{"0": {"position": 1691, "speed": 8000}}',\\
1.79,POSITION,'{"0": {"position": 1840, "speed": 8000}}',\\
1.8,POSITION,'{"0": {"position": 1859, "speed": 8000}}',\\
1.81,POSITION,'{"0": {"position": 1878, "speed": 8000}}',\\
1.83,POSITION,'{"0": {"position": 1916, "speed": 8000}}',\\
1.84,POSITION,'{"0": {"position": 1963, "speed": 8000}}',\\
1.85,POSITION,'{"0": {"position": 1989, "speed": 8000}}',\\
1.87,POSITION,'{"0": {"position": 2043, "speed": 8000}}',\\
1.88,POSITION,'{"0": {"position": 2070, "speed": 8000}}',\\
1.89,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
2.49,POSITION,'{"0": {"position": 2190, "speed": 8000}}',\\
2.5,POSITION,'{"0": {"position": 2185, "speed": 8000}}',\\
2.52,POSITION,'{"0": {"position": 2181, "speed": 8000}}',\\
2.53,POSITION,'{"0": {"position": 2176, "speed": 8000}}',\\
2.54,POSITION,'{"0": {"position": 2161, "speed": 8000}}',\\
2.55,POSITION,'{"0": {"position": 2149, "speed": 8000}}',\\
2.57,POSITION,'{"0": {"position": 1981, "speed": 8000}}',\\
2.58,POSITION,'{"0": {"position": 1791, "speed": 8000}}',\\
2.6,POSITION,'{"0": {"position": 1573, "speed": 8000}}',\\
2.61,POSITION,'{"0": {"position": 1554, "speed": 8000}}',\\
2.62,POSITION,'{"0": {"position": 1504, "speed": 8000}}',\\
2.63,POSITION,'{"0": {"position": 1483, "speed": 8000}}',\\
2.65,POSITION,'{"0": {"position": 1453, "speed": 8000}}',\\
2.66,POSITION,'{"0": {"position": 1435, "speed": 8000}}',\\
2.67,POSITION,'{"0": {"position": 1433, "speed": 8000}}',\\
2.69,POSITION,'{"0": {"position": 1438, "speed": 8000}}',\\
2.7,POSITION,'{"0": {"position": 1466, "speed": 8000}}',\\
2.71,POSITION,'{"0": {"position": 1632, "speed": 8000}}',\\
2.73,POSITION,'{"0": {"position": 1636, "speed": 8000}}',\\
2.74,POSITION,'{"0": {"position": 1639, "speed": 8000}}',\\
2.75,POSITION,'{"0": {"position": 1603, "speed": 8000}}',\\
2.77,POSITION,'{"0": {"position": 1426, "speed": 8000}}',\\
2.78,POSITION,'{"0": {"position": 1414, "speed": 8000}}',\\
2.79,POSITION,'{"0": {"position": 1232, "speed": 8000}}',\\
2.81,POSITION,'{"0": {"position": 1221, "speed": 8000}}',\\
2.82,POSITION,'{"0": {"position": 1183, "speed": 8000}}',\\
2.83,POSITION,'{"0": {"position": 1136, "speed": 8000}}',\\
2.85,POSITION,'{"0": {"position": 1115, "speed": 8000}}',\\
2.86,POSITION,'{"0": {"position": 1087, "speed": 8000}}',\\
2.87,POSITION,'{"0": {"position": 1097, "speed": 8000}}',\\
2.89,POSITION,'{"0": {"position": 1117, "speed": 8000}}',\\
2.9,POSITION,'{"0": {"position": 1277, "speed": 8000}}',\\
2.91,POSITION,'{"0": {"position": 1309, "speed": 8000}}',\\
2.93,POSITION,'{"0": {"position": 1320, "speed": 8000}}',\\
2.94,POSITION,'{"0": {"position": 1312, "speed": 8000}}',\\
2.95,POSITION,'{"0": {"position": 1277, "speed": 8000}}',\\
2.96,POSITION,'{"0": {"position": 1255, "speed": 8000}}',\\
2.98,POSITION,'{"0": {"position": 1207, "speed": 8000}}',\\
2.99,POSITION,'{"0": {"position": 1183, "speed": 8000}}',\\
3.0,POSITION,'{"0": {"position": 1139, "speed": 8000}}',\\
3.01,POSITION,'{"0": {"position": 1121, "speed": 8000}}',\\
3.03,POSITION,'{"0": {"position": 1097, "speed": 8000}}',\\
3.05,POSITION,'{"0": {"position": 1101, "speed": 8000}}',\\
3.06,POSITION,'{"0": {"position": 1131, "speed": 8000}}',\\
3.08,POSITION,'{"0": {"position": 1331, "speed": 8000}}',\\
3.09,POSITION,'{"0": {"position": 1342, "speed": 8000}}',\\
3.1,POSITION,'{"0": {"position": 1371, "speed": 8000}}',\\
3.12,POSITION,'{"0": {"position": 1399, "speed": 8000}}',\\
3.13,POSITION,'{"0": {"position": 1410, "speed": 8000}}',\\
3.14,POSITION,'{"0": {"position": 1429, "speed": 8000}}',\\
3.15,POSITION,'{"0": {"position": 1442, "speed": 8000}}',\\
3.17,POSITION,'{"0": {"position": 1446, "speed": 8000}}',\\
3.19,POSITION,'{"0": {"position": 1439, "speed": 8000}}',\\
3.2,POSITION,'{"0": {"position": 1406, "speed": 8000}}',\\
3.22,POSITION,'{"0": {"position": 1378, "speed": 8000}}',\\
3.23,POSITION,'{"0": {"position": 1222, "speed": 8000}}',\\
3.24,POSITION,'{"0": {"position": 1210, "speed": 8000}}',\\
3.25,POSITION,'{"0": {"position": 1180, "speed": 8000}}',\\
3.27,POSITION,'{"0": {"position": 1154, "speed": 8000}}',\\
3.28,POSITION,'{"0": {"position": 1146, "speed": 8000}}',\\
3.31,POSITION,'{"0": {"position": 1156, "speed": 8000}}',\\
3.32,POSITION,'{"0": {"position": 1187, "speed": 8000}}',\\
3.33,POSITION,'{"0": {"position": 1206, "speed": 8000}}',\\
3.34,POSITION,'{"0": {"position": 1238, "speed": 8000}}',\\
3.36,POSITION,'{"0": {"position": 1244, "speed": 8000}}',\\
3.37,POSITION,'{"0": {"position": 1227, "speed": 8000}}',\\
3.38,POSITION,'{"0": {"position": 1206, "speed": 8000}}',\\
3.39,POSITION,'{"0": {"position": 1046, "speed": 8000}}',\\
3.41,POSITION,'{"0": {"position": 1027, "speed": 8000}}',\\
3.42,POSITION,'{"0": {"position": 984, "speed": 8000}}',\\
3.43,POSITION,'{"0": {"position": 943, "speed": 8000}}',\\
3.44,POSITION,'{"0": {"position": 928, "speed": 8000}}',\\
3.46,POSITION,'{"0": {"position": 908, "speed": 8000}}',\\
3.47,POSITION,'{"0": {"position": 906, "speed": 8000}}',\\
3.48,POSITION,'{"0": {"position": 916, "speed": 8000}}',\\
3.5,POSITION,'{"0": {"position": 952, "speed": 8000}}',\\
3.51,POSITION,'{"0": {"position": 1107, "speed": 8000}}',\\
3.52,POSITION,'{"0": {"position": 1130, "speed": 8000}}',\\
3.54,POSITION,'{"0": {"position": 1286, "speed": 8000}}',\\
3.55,POSITION,'{"0": {"position": 1306, "speed": 8000}}',\\
3.56,POSITION,'{"0": {"position": 1353, "speed": 8000}}',\\
3.57,POSITION,'{"0": {"position": 1378, "speed": 8000}}',\\
3.59,POSITION,'{"0": {"position": 1405, "speed": 8000}}',\\
3.6,POSITION,'{"0": {"position": 1576, "speed": 8000}}',\\
3.61,POSITION,'{"0": {"position": 1604, "speed": 8000}}',\\
3.62,POSITION,'{"0": {"position": 1631, "speed": 8000}}',\\
3.64,POSITION,'{"0": {"position": 1800, "speed": 8000}}',\\
