time,instruction,arg_1,arg_2
0,PHONEME,E,
0.07,PHONEME,etc,
0.19,PHONEME,E,
0.27,PHONEME,etc,
0.4,PHONEME,rest,
1.23,PHONEME,E,
1.32,PHONEME,FV,
1.36,PHONEME,etc,
1.44,PHONEME,E,
1.48,PHONEME,etc,
1.57,PHONEME,AI,
1.61,PHONEME,etc,
1.69,PHONEME,AI,
1.73,PHONEME,etc,
1.86,PHONEME,O,
1.94,PHONEME,AI,
1.98,PHONEME,etc,
2.11,PHONEME,U,
2.15,PHONEME,etc,
2.27,PHONEME,E,
2.44,PHONEME,etc,
2.69,PHONEME,rest,
3.48,PHONEME,FV,
3.65,PHONEME,AI,
3.82,PHONEME,etc,
4.11,PHONEME,rest,
4.9,PHONEME,etc,
4.98,PHONEME,E,
5.03,PHONEME,L,
5.11,PHONEME,FV,
5.27,PHONEME,AI,
5.48,PHONEME,etc,
5.82,PHONEME,rest,
