time,instruction,arg_1,arg_2
0,POSITION,'{"13": {"position": 1416, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 1419, "speed": 8000}}',
0.05,POSITION,'{"12": {"position": 1446, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1448, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1422, "speed": 8000}}',
0.09,POSITION,'{"13": {"position": 1424, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 1427, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1450, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1430, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1432, "speed": 8000}}',
0.18,POSITION,'{"13": {"position": 1435, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1438, "speed": 8000}}',
0.21,POSITION,'{"13": {"position": 1444, "speed": 8000}}',
0.22,POSITION,'{"13": {"position": 1449, "speed": 8000}}',
0.24,POSITION,'{"13": {"position": 1452, "speed": 8000}}',
0.26,POSITION,'{"13": {"position": 1455, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1461, "speed": 8000}}',
0.29,POSITION,'{"12": {"position": 1453, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1463, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1467, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1470, "speed": 8000}}',
0.33,POSITION,'{"13": {"position": 1472, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 1477, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1480, "speed": 8000}}',
0.36,POSITION,'{"13": {"position": 1488, "speed": 8000}}',
0.38,POSITION,'{"13": {"position": 1493, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1503, "speed": 8000}}',
0.4,POSITION,'{"13": {"position": 1507, "speed": 8000}}',
0.41,POSITION,'{"13": {"position": 1515, "speed": 8000}}',
0.43,POSITION,'{"13": {"position": 1519, "speed": 8000}}',
0.44,POSITION,'{"13": {"position": 1524, "speed": 8000}}',
0.45,POSITION,'{"13": {"position": 1533, "speed": 8000}}',
0.46,POSITION,'{"12": {"position": 1455, "speed": 8000}}',
0.47,POSITION,'{"13": {"position": 1540, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1544, "speed": 8000}}',
0.49,POSITION,'{"13": {"position": 1551, "speed": 8000}}',
0.5,POSITION,'{"13": {"position": 1556, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1564, "speed": 8000}}',
0.53,POSITION,'{"13": {"position": 1568, "speed": 8000}}',
0.54,POSITION,'{"13": {"position": 1575, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1582, "speed": 8000}}',
0.57,POSITION,'{"12": {"position": 1457, "speed": 8000}}',
0.57,POSITION,'{"13": {"position": 1585, "speed": 8000}}',
0.58,POSITION,'{"13": {"position": 1591, "speed": 8000}}',
0.59,POSITION,'{"12": {"position": 1459, "speed": 8000}}',
0.59,POSITION,'{"13": {"position": 1593, "speed": 8000}}',
0.6,POSITION,'{"13": {"position": 1599, "speed": 8000}}',
0.62,POSITION,'{"12": {"position": 1462, "speed": 8000}}',
0.62,POSITION,'{"13": {"position": 1605, "speed": 8000}}',
