time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 1029, "speed": 8000}}',
0.01,POSITION,'{"7": {"position": 1529, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 1023, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1018, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 1016, "speed": 8000}}',
0.04,POSITION,'{"5": {"position": 1014, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1011, "speed": 8000}}',
0.08,POSITION,'{"5": {"position": 1009, "speed": 8000}}',
0.14,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1528, "speed": 8000}}',
0.17,POSITION,'{"7": {"position": 1525, "speed": 8000}, "6": {"position": 1530, "speed": 8000}}',
0.2,POSITION,'{"7": {"position": 1524, "speed": 8000}, "6": {"position": 1532, "speed": 8000}}',
0.21,POSITION,'{"7": {"position": 1522, "speed": 8000}, "6": {"position": 1534, "speed": 8000}}',
0.23,POSITION,'{"7": {"position": 1520, "speed": 8000}, "6": {"position": 1536, "speed": 8000}}',
0.26,POSITION,'{"7": {"position": 1518, "speed": 8000}, "6": {"position": 1539, "speed": 8000}}',
0.27,POSITION,'{"5": {"position": 1005, "speed": 8000}}',
0.28,POSITION,'{"5": {"position": 993, "speed": 8000}}',
0.29,POSITION,'{"7": {"position": 1515, "speed": 8000}, "6": {"position": 1542, "speed": 8000}}',
0.29,POSITION,'{"5": {"position": 950, "speed": 8000}}',
0.3,POSITION,'{"7": {"position": 1514, "speed": 8000}, "6": {"position": 1544, "speed": 8000}}',
0.3,POSITION,'{"5": {"position": 927, "speed": 8000}}',
0.31,POSITION,'{"7": {"position": 1507, "speed": 8000}, "6": {"position": 1553, "speed": 8000}}',
0.31,POSITION,'{"5": {"position": 800, "speed": 8000}}',
0.33,POSITION,'{"7": {"position": 1483, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',
0.34,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',
0.35,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',
0.36,POSITION,'{"7": {"position": 1471, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',
0.37,POSITION,'{"7": {"position": 1469, "speed": 8000}, "6": {"position": 1600, "speed": 8000}}',
0.39,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',
0.4,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',
0.41,POSITION,'{"7": {"position": 1462, "speed": 8000}, "6": {"position": 1609, "speed": 8000}}',
0.43,POSITION,'{"7": {"position": 1460, "speed": 8000}, "6": {"position": 1611, "speed": 8000}}',
0.51,POSITION,'{"7": {"position": 1462, "speed": 8000}, "6": {"position": 1609, "speed": 8000}}',
0.55,POSITION,'{"5": {"position": 809, "speed": 8000}}',
0.56,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',
0.56,POSITION,'{"5": {"position": 815, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 820, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 823, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 827, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 830, "speed": 8000}}',
0.63,POSITION,'{"5": {"position": 832, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 834, "speed": 8000}}',
1.02,POSITION,'{"5": {"position": 832, "speed": 8000}}',
1.04,POSITION,'{"5": {"position": 830, "speed": 8000}}',
1.09,POSITION,'{"5": {"position": 827, "speed": 8000}}',
1.45,POSITION,'{"5": {"position": 829, "speed": 8000}}',
1.48,POSITION,'{"5": {"position": 831, "speed": 8000}}',
1.5,POSITION,'{"5": {"position": 834, "speed": 8000}}',
1.52,POSITION,'{"5": {"position": 839, "speed": 8000}}',
1.54,POSITION,'{"5": {"position": 842, "speed": 8000}}',
1.55,POSITION,'{"5": {"position": 850, "speed": 8000}}',
1.56,POSITION,'{"5": {"position": 855, "speed": 8000}}',
1.58,POSITION,'{"5": {"position": 864, "speed": 8000}}',
1.59,POSITION,'{"5": {"position": 872, "speed": 8000}}',
1.6,POSITION,'{"5": {"position": 875, "speed": 8000}}',
1.61,POSITION,'{"5": {"position": 881, "speed": 8000}}',
1.62,POSITION,'{"5": {"position": 883, "speed": 8000}}',
1.64,POSITION,'{"5": {"position": 890, "speed": 8000}}',
1.65,POSITION,'{"5": {"position": 894, "speed": 8000}}',
1.66,POSITION,'{"5": {"position": 904, "speed": 8000}}',
1.67,POSITION,'{"5": {"position": 911, "speed": 8000}}',
1.69,POSITION,'{"5": {"position": 917, "speed": 8000}}',
1.7,POSITION,'{"5": {"position": 929, "speed": 8000}}',
1.71,POSITION,'{"5": {"position": 939, "speed": 8000}}',
1.72,POSITION,'{"5": {"position": 945, "speed": 8000}}',
1.73,POSITION,'{"5": {"position": 950, "speed": 8000}}',
1.75,POSITION,'{"5": {"position": 963, "speed": 8000}}',
1.76,POSITION,'{"5": {"position": 972, "speed": 8000}}',
1.77,POSITION,'{"5": {"position": 995, "speed": 8000}}',
1.78,POSITION,'{"5": {"position": 1014, "speed": 8000}}',
1.8,POSITION,'{"5": {"position": 1064, "speed": 8000}}',
1.81,POSITION,'{"5": {"position": 1091, "speed": 8000}}',
1.82,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',
1.82,POSITION,'{"5": {"position": 1251, "speed": 8000}}',
1.83,POSITION,'{"7": {"position": 1460, "speed": 8000}, "6": {"position": 1612, "speed": 8000}}',
1.83,POSITION,'{"5": {"position": 1286, "speed": 8000}}',
1.84,POSITION,'{"7": {"position": 1458, "speed": 8000}, "6": {"position": 1614, "speed": 8000}}',
1.84,POSITION,'{"5": {"position": 1310, "speed": 8000}}',
1.86,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',
1.86,POSITION,'{"5": {"position": 1486, "speed": 8000}}',
1.87,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1621, "speed": 8000}}',
1.87,POSITION,'{"5": {"position": 1502, "speed": 8000}}',
1.88,POSITION,'{"5": {"position": 1517, "speed": 8000}}',
1.9,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1623, "speed": 8000}}',
1.9,POSITION,'{"5": {"position": 1550, "speed": 8000}}',
1.91,POSITION,'{"5": {"position": 1566, "speed": 8000}}',
1.92,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',
1.92,POSITION,'{"5": {"position": 1593, "speed": 8000}}',
1.93,POSITION,'{"5": {"position": 1607, "speed": 8000}}',
1.95,POSITION,'{"5": {"position": 1620, "speed": 8000}}',
1.96,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1628, "speed": 8000}}',
1.96,POSITION,'{"5": {"position": 1643, "speed": 8000}}',
1.97,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1630, "speed": 8000}}',
1.97,POSITION,'{"5": {"position": 1660, "speed": 8000}}',
1.99,POSITION,'{"5": {"position": 1665, "speed": 8000}}',
2.0,POSITION,'{"7": {"position": 1444, "speed": 8000}, "6": {"position": 1632, "speed": 8000}}',
2.0,POSITION,'{"5": {"position": 1668, "speed": 8000}}',
2.01,POSITION,'{"5": {"position": 1665, "speed": 8000}}',
2.02,POSITION,'{"5": {"position": 1660, "speed": 8000}}',
2.04,POSITION,'{"5": {"position": 1650, "speed": 8000}}',
2.05,POSITION,'{"5": {"position": 1646, "speed": 8000}}',
2.06,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1630, "speed": 8000}}',
2.06,POSITION,'{"5": {"position": 1634, "speed": 8000}}',
2.07,POSITION,'{"5": {"position": 1629, "speed": 8000}}',
2.09,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',
2.09,POSITION,'{"5": {"position": 1617, "speed": 8000}}',
2.1,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',
2.1,POSITION,'{"5": {"position": 1609, "speed": 8000}}',
2.11,POSITION,'{"5": {"position": 1606, "speed": 8000}}',
2.13,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1623, "speed": 8000}}',
2.13,POSITION,'{"5": {"position": 1601, "speed": 8000}}',
2.14,POSITION,'{"5": {"position": 1597, "speed": 8000}}',
2.15,POSITION,'{"5": {"position": 1595, "speed": 8000}}',
2.16,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1621, "speed": 8000}}',
2.16,POSITION,'{"5": {"position": 1592, "speed": 8000}}',
2.2,POSITION,'{"5": {"position": 1589, "speed": 8000}}',
2.22,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1619, "speed": 8000}}',
2.25,POSITION,'{"5": {"position": 1586, "speed": 8000}}',
2.26,POSITION,'{"5": {"position": 1584, "speed": 8000}}',
2.28,POSITION,'{"5": {"position": 1582, "speed": 8000}}',
2.29,POSITION,'{"5": {"position": 1580, "speed": 8000}}',
2.35,POSITION,'{"5": {"position": 1577, "speed": 8000}}',
2.37,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1617, "speed": 8000}}',
2.37,POSITION,'{"5": {"position": 1575, "speed": 8000}}',
2.39,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',
2.41,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',
2.41,POSITION,'{"5": {"position": 1569, "speed": 8000}}',
2.42,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',
2.42,POSITION,'{"5": {"position": 1555, "speed": 8000}}',
2.43,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',
2.43,POSITION,'{"5": {"position": 1532, "speed": 8000}}',
2.45,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',
2.45,POSITION,'{"5": {"position": 1515, "speed": 8000}}',
2.46,POSITION,'{"7": {"position": 1515, "speed": 8000}, "6": {"position": 1542, "speed": 8000}}',
2.46,POSITION,'{"5": {"position": 1474, "speed": 8000}}',
2.47,POSITION,'{"7": {"position": 1517, "speed": 8000}, "6": {"position": 1540, "speed": 8000}}',
2.47,POSITION,'{"5": {"position": 1448, "speed": 8000}}',
2.48,POSITION,'{"7": {"position": 1522, "speed": 8000}, "6": {"position": 1534, "speed": 8000}}',
2.49,POSITION,'{"5": {"position": 1294, "speed": 8000}}',
2.5,POSITION,'{"7": {"position": 1529, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',
2.5,POSITION,'{"5": {"position": 1267, "speed": 8000}}',
2.51,POSITION,'{"7": {"position": 1532, "speed": 8000}, "6": {"position": 1522, "speed": 8000}}',
2.51,POSITION,'{"5": {"position": 1252, "speed": 8000}}',
2.52,POSITION,'{"7": {"position": 1536, "speed": 8000}, "6": {"position": 1516, "speed": 8000}}',
2.53,POSITION,'{"5": {"position": 1226, "speed": 8000}}',
2.54,POSITION,'{"7": {"position": 1538, "speed": 8000}, "6": {"position": 1514, "speed": 8000}}',
2.54,POSITION,'{"5": {"position": 1214, "speed": 8000}}',
2.55,POSITION,'{"7": {"position": 1540, "speed": 8000}, "6": {"position": 1512, "speed": 8000}}',
2.55,POSITION,'{"5": {"position": 1193, "speed": 8000}}',
2.56,POSITION,'{"7": {"position": 1541, "speed": 8000}, "6": {"position": 1510, "speed": 8000}}',
2.56,POSITION,'{"5": {"position": 1176, "speed": 8000}}',
2.58,POSITION,'{"5": {"position": 1169, "speed": 8000}}',
2.59,POSITION,'{"5": {"position": 1159, "speed": 8000}}',
2.6,POSITION,'{"5": {"position": 1155, "speed": 8000}}',
2.61,POSITION,'{"7": {"position": 1540, "speed": 8000}, "6": {"position": 1512, "speed": 8000}}',
2.61,POSITION,'{"5": {"position": 1149, "speed": 8000}}',
2.62,POSITION,'{"5": {"position": 1147, "speed": 8000}}',
2.64,POSITION,'{"7": {"position": 1538, "speed": 8000}, "6": {"position": 1514, "speed": 8000}}',
2.64,POSITION,'{"5": {"position": 1144, "speed": 8000}}',
2.66,POSITION,'{"7": {"position": 1536, "speed": 8000}, "6": {"position": 1517, "speed": 8000}}',
2.66,POSITION,'{"5": {"position": 1142, "speed": 8000}}',
2.68,POSITION,'{"5": {"position": 1138, "speed": 8000}}',
2.69,POSITION,'{"7": {"position": 1534, "speed": 8000}, "6": {"position": 1519, "speed": 8000}}',
2.69,POSITION,'{"5": {"position": 1136, "speed": 8000}}',
2.7,POSITION,'{"5": {"position": 1134, "speed": 8000}}',
2.71,POSITION,'{"5": {"position": 1132, "speed": 8000}}',
2.73,POSITION,'{"7": {"position": 1533, "speed": 8000}, "6": {"position": 1521, "speed": 8000}}',
2.74,POSITION,'{"5": {"position": 1130, "speed": 8000}}',
2.75,POSITION,'{"5": {"position": 1128, "speed": 8000}}',
2.76,POSITION,'{"5": {"position": 1125, "speed": 8000}}',
2.78,POSITION,'{"7": {"position": 1531, "speed": 8000}, "6": {"position": 1522, "speed": 8000}}',
2.78,POSITION,'{"5": {"position": 1119, "speed": 8000}}',
2.8,POSITION,'{"5": {"position": 1115, "speed": 8000}}',
2.81,POSITION,'{"5": {"position": 1106, "speed": 8000}}',
2.82,POSITION,'{"5": {"position": 1103, "speed": 8000}}',
2.83,POSITION,'{"7": {"position": 1530, "speed": 8000}, "6": {"position": 1524, "speed": 8000}}',
2.83,POSITION,'{"5": {"position": 1095, "speed": 8000}}',
2.85,POSITION,'{"5": {"position": 1089, "speed": 8000}}',
2.86,POSITION,'{"5": {"position": 1086, "speed": 8000}}',
2.87,POSITION,'{"5": {"position": 1081, "speed": 8000}}',
2.88,POSITION,'{"5": {"position": 1079, "speed": 8000}}',
2.9,POSITION,'{"5": {"position": 1074, "speed": 8000}}',
2.91,POSITION,'{"5": {"position": 1072, "speed": 8000}}',
2.92,POSITION,'{"5": {"position": 1069, "speed": 8000}}',
2.93,POSITION,'{"7": {"position": 1529, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',
2.93,POSITION,'{"5": {"position": 1064, "speed": 8000}}',
2.94,POSITION,'{"5": {"position": 1058, "speed": 8000}}',
2.96,POSITION,'{"5": {"position": 1055, "speed": 8000}}',
2.97,POSITION,'{"5": {"position": 1053, "speed": 8000}}',
2.98,POSITION,'{"5": {"position": 1048, "speed": 8000}}',
2.99,POSITION,'{"5": {"position": 1046, "speed": 8000}}',
3.0,POSITION,'{"5": {"position": 1042, "speed": 8000}}',
3.02,POSITION,'{"5": {"position": 1039, "speed": 8000}}',
3.03,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1527, "speed": 8000}}',
3.03,POSITION,'{"5": {"position": 1032, "speed": 8000}}',
3.04,POSITION,'{"5": {"position": 1028, "speed": 8000}}',
3.05,POSITION,'{"5": {"position": 1022, "speed": 8000}}',
3.07,POSITION,'{"5": {"position": 1020, "speed": 8000}}',
3.08,POSITION,'{"7": {"position": 1526, "speed": 8000}, "6": {"position": 1529, "speed": 8000}}',
3.08,POSITION,'{"5": {"position": 1014, "speed": 8000}}',
3.1,POSITION,'{"5": {"position": 1008, "speed": 8000}}',
3.11,POSITION,'{"5": {"position": 999, "speed": 8000}}',
3.13,POSITION,'{"5": {"position": 989, "speed": 8000}}',
3.14,POSITION,'{"7": {"position": 1524, "speed": 8000}, "6": {"position": 1531, "speed": 8000}}',
3.14,POSITION,'{"5": {"position": 983, "speed": 8000}}',
3.15,POSITION,'{"5": {"position": 972, "speed": 8000}}',
3.16,POSITION,'{"5": {"position": 963, "speed": 8000}}',
3.17,POSITION,'{"5": {"position": 959, "speed": 8000}}',
3.19,POSITION,'{"7": {"position": 1523, "speed": 8000}, "6": {"position": 1533, "speed": 8000}}',
3.19,POSITION,'{"5": {"position": 955, "speed": 8000}}',
3.2,POSITION,'{"5": {"position": 948, "speed": 8000}}',
3.21,POSITION,'{"5": {"position": 943, "speed": 8000}}',
3.23,POSITION,'{"5": {"position": 937, "speed": 8000}}',
3.25,POSITION,'{"5": {"position": 934, "speed": 8000}}',
3.26,POSITION,'{"5": {"position": 929, "speed": 8000}}',
3.27,POSITION,'{"5": {"position": 923, "speed": 8000}}',
3.28,POSITION,'{"7": {"position": 1521, "speed": 8000}, "6": {"position": 1535, "speed": 8000}}',
3.28,POSITION,'{"5": {"position": 921, "speed": 8000}}',
3.3,POSITION,'{"5": {"position": 916, "speed": 8000}}',
3.31,POSITION,'{"5": {"position": 914, "speed": 8000}}',
3.32,POSITION,'{"5": {"position": 911, "speed": 8000}}',
3.35,POSITION,'{"5": {"position": 908, "speed": 8000}}',
3.37,POSITION,'{"7": {"position": 1520, "speed": 8000}, "6": {"position": 1537, "speed": 8000}}',
3.37,POSITION,'{"5": {"position": 906, "speed": 8000}}',
3.38,POSITION,'{"5": {"position": 904, "speed": 8000}}',
3.39,POSITION,'{"5": {"position": 902, "speed": 8000}}',
3.4,POSITION,'{"5": {"position": 900, "speed": 8000}}',
3.42,POSITION,'{"5": {"position": 898, "speed": 8000}}',
3.43,POSITION,'{"7": {"position": 1518, "speed": 8000}, "6": {"position": 1538, "speed": 8000}}',
3.43,POSITION,'{"5": {"position": 896, "speed": 8000}}',
3.44,POSITION,'{"5": {"position": 894, "speed": 8000}}',
3.46,POSITION,'{"5": {"position": 891, "speed": 8000}}',
3.48,POSITION,'{"7": {"position": 1517, "speed": 8000}, "6": {"position": 1540, "speed": 8000}}',
3.48,POSITION,'{"5": {"position": 889, "speed": 8000}}',
3.5,POSITION,'{"5": {"position": 887, "speed": 8000}}',
3.52,POSITION,'{"7": {"position": 1516, "speed": 8000}, "6": {"position": 1542, "speed": 8000}}',
3.53,POSITION,'{"5": {"position": 884, "speed": 8000}}',
3.55,POSITION,'{"7": {"position": 1514, "speed": 8000}, "6": {"position": 1543, "speed": 8000}}',
3.55,POSITION,'{"5": {"position": 879, "speed": 8000}}',
3.56,POSITION,'{"5": {"position": 876, "speed": 8000}}',
3.57,POSITION,'{"7": {"position": 1513, "speed": 8000}, "6": {"position": 1546, "speed": 8000}}',
3.58,POSITION,'{"5": {"position": 870, "speed": 8000}}',
3.59,POSITION,'{"5": {"position": 867, "speed": 8000}}',
3.6,POSITION,'{"7": {"position": 1511, "speed": 8000}, "6": {"position": 1548, "speed": 8000}}',
3.6,POSITION,'{"5": {"position": 861, "speed": 8000}}',
3.61,POSITION,'{"5": {"position": 855, "speed": 8000}}',
3.63,POSITION,'{"5": {"position": 853, "speed": 8000}}',
3.64,POSITION,'{"7": {"position": 1509, "speed": 8000}, "6": {"position": 1550, "speed": 8000}}',
3.64,POSITION,'{"5": {"position": 848, "speed": 8000}}',
3.65,POSITION,'{"5": {"position": 846, "speed": 8000}}',
3.66,POSITION,'{"5": {"position": 842, "speed": 8000}}',
3.67,POSITION,'{"7": {"position": 1508, "speed": 8000}, "6": {"position": 1552, "speed": 8000}}',
3.68,POSITION,'{"5": {"position": 840, "speed": 8000}}',
3.69,POSITION,'{"5": {"position": 837, "speed": 8000}}',
3.7,POSITION,'{"5": {"position": 835, "speed": 8000}}',
3.71,POSITION,'{"5": {"position": 833, "speed": 8000}}',
3.72,POSITION,'{"7": {"position": 1506, "speed": 8000}, "6": {"position": 1554, "speed": 8000}}',
3.74,POSITION,'{"5": {"position": 830, "speed": 8000}}',
3.76,POSITION,'{"7": {"position": 1504, "speed": 8000}, "6": {"position": 1557, "speed": 8000}}',
3.76,POSITION,'{"5": {"position": 828, "speed": 8000}}',
3.77,POSITION,'{"5": {"position": 826, "speed": 8000}}',
3.78,POSITION,'{"7": {"position": 1501, "speed": 8000}, "6": {"position": 1560, "speed": 8000}}',
3.79,POSITION,'{"5": {"position": 823, "speed": 8000}}',
3.8,POSITION,'{"5": {"position": 818, "speed": 8000}}',
3.81,POSITION,'{"7": {"position": 1500, "speed": 8000}, "6": {"position": 1562, "speed": 8000}}',
3.81,POSITION,'{"5": {"position": 816, "speed": 8000}}',
3.82,POSITION,'{"5": {"position": 812, "speed": 8000}}',
3.84,POSITION,'{"5": {"position": 810, "speed": 8000}}',
3.85,POSITION,'{"5": {"position": 807, "speed": 8000}}',
3.86,POSITION,'{"7": {"position": 1498, "speed": 8000}, "6": {"position": 1564, "speed": 8000}}',
3.86,POSITION,'{"5": {"position": 800, "speed": 8000}}',
3.9,POSITION,'{"7": {"position": 1496, "speed": 8000}, "6": {"position": 1566, "speed": 8000}}',
3.92,POSITION,'{"7": {"position": 1494, "speed": 8000}, "6": {"position": 1568, "speed": 8000}}',
3.93,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',
3.96,POSITION,'{"7": {"position": 1492, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',
4.01,POSITION,'{"7": {"position": 1490, "speed": 8000}, "6": {"position": 1574, "speed": 8000}}',
4.06,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1576, "speed": 8000}}',
4.09,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',
4.13,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1580, "speed": 8000}}',
4.17,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',
4.34,POSITION,'{"5": {"position": 802, "speed": 8000}}',
4.36,POSITION,'{"5": {"position": 809, "speed": 8000}}',
4.37,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',
4.37,POSITION,'{"5": {"position": 840, "speed": 8000}}',
4.38,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',
4.38,POSITION,'{"5": {"position": 862, "speed": 8000}}',
4.39,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1621, "speed": 8000}}',
4.4,POSITION,'{"5": {"position": 1016, "speed": 8000}}',
4.41,POSITION,'{"7": {"position": 1429, "speed": 8000}, "6": {"position": 1650, "speed": 8000}}',
4.41,POSITION,'{"5": {"position": 1065, "speed": 8000}}',
4.42,POSITION,'{"7": {"position": 1425, "speed": 8000}, "6": {"position": 1655, "speed": 8000}}',
4.42,POSITION,'{"5": {"position": 1226, "speed": 8000}}',
4.43,POSITION,'{"7": {"position": 1401, "speed": 8000}, "6": {"position": 1685, "speed": 8000}}',
4.43,POSITION,'{"5": {"position": 1256, "speed": 8000}}',
4.45,POSITION,'{"7": {"position": 1399, "speed": 8000}, "6": {"position": 1688, "speed": 8000}}',
4.45,POSITION,'{"5": {"position": 1398, "speed": 8000}}',
4.46,POSITION,'{"7": {"position": 1393, "speed": 8000}, "6": {"position": 1696, "speed": 8000}}',
4.46,POSITION,'{"5": {"position": 1417, "speed": 8000}}',
4.47,POSITION,'{"7": {"position": 1388, "speed": 8000}, "6": {"position": 1701, "speed": 8000}}',
4.47,POSITION,'{"5": {"position": 1445, "speed": 8000}}',
4.49,POSITION,'{"7": {"position": 1387, "speed": 8000}, "6": {"position": 1703, "speed": 8000}}',
4.49,POSITION,'{"5": {"position": 1458, "speed": 8000}}',
4.5,POSITION,'{"7": {"position": 1385, "speed": 8000}, "6": {"position": 1705, "speed": 8000}}',
4.5,POSITION,'{"5": {"position": 1478, "speed": 8000}}',
4.51,POSITION,'{"5": {"position": 1486, "speed": 8000}}',
4.52,POSITION,'{"7": {"position": 1383, "speed": 8000}, "6": {"position": 1708, "speed": 8000}}',
4.53,POSITION,'{"5": {"position": 1497, "speed": 8000}}',
4.54,POSITION,'{"5": {"position": 1501, "speed": 8000}}',
4.55,POSITION,'{"7": {"position": 1384, "speed": 8000}, "6": {"position": 1706, "speed": 8000}}',
4.56,POSITION,'{"7": {"position": 1386, "speed": 8000}, "6": {"position": 1704, "speed": 8000}}',
4.56,POSITION,'{"5": {"position": 1493, "speed": 8000}}',
4.58,POSITION,'{"7": {"position": 1390, "speed": 8000}, "6": {"position": 1698, "speed": 8000}}',
4.58,POSITION,'{"5": {"position": 1475, "speed": 8000}}',
4.59,POSITION,'{"7": {"position": 1395, "speed": 8000}, "6": {"position": 1692, "speed": 8000}}',
4.59,POSITION,'{"5": {"position": 1453, "speed": 8000}}',
4.6,POSITION,'{"7": {"position": 1398, "speed": 8000}, "6": {"position": 1689, "speed": 8000}}',
4.6,POSITION,'{"5": {"position": 1443, "speed": 8000}}',
4.62,POSITION,'{"7": {"position": 1402, "speed": 8000}, "6": {"position": 1684, "speed": 8000}}',
4.62,POSITION,'{"5": {"position": 1429, "speed": 8000}}',
4.63,POSITION,'{"7": {"position": 1406, "speed": 8000}, "6": {"position": 1679, "speed": 8000}}',
4.63,POSITION,'{"5": {"position": 1419, "speed": 8000}}',
4.64,POSITION,'{"7": {"position": 1407, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',
4.64,POSITION,'{"5": {"position": 1415, "speed": 8000}}',
4.66,POSITION,'{"7": {"position": 1409, "speed": 8000}, "6": {"position": 1675, "speed": 8000}}',
4.66,POSITION,'{"5": {"position": 1410, "speed": 8000}}',
4.67,POSITION,'{"7": {"position": 1411, "speed": 8000}, "6": {"position": 1673, "speed": 8000}}',
4.67,POSITION,'{"5": {"position": 1406, "speed": 8000}}',
4.68,POSITION,'{"5": {"position": 1404, "speed": 8000}}',
4.69,POSITION,'{"7": {"position": 1412, "speed": 8000}, "6": {"position": 1671, "speed": 8000}}',
4.69,POSITION,'{"5": {"position": 1401, "speed": 8000}}',
4.71,POSITION,'{"5": {"position": 1399, "speed": 8000}}',
4.72,POSITION,'{"7": {"position": 1414, "speed": 8000}, "6": {"position": 1669, "speed": 8000}}',
4.72,POSITION,'{"5": {"position": 1392, "speed": 8000}}',
4.73,POSITION,'{"7": {"position": 1415, "speed": 8000}, "6": {"position": 1667, "speed": 8000}}',
4.74,POSITION,'{"5": {"position": 1385, "speed": 8000}}',
4.75,POSITION,'{"5": {"position": 1378, "speed": 8000}}',
4.76,POSITION,'{"7": {"position": 1417, "speed": 8000}, "6": {"position": 1665, "speed": 8000}}',
4.76,POSITION,'{"5": {"position": 1375, "speed": 8000}}',
4.78,POSITION,'{"5": {"position": 1369, "speed": 8000}}',
4.79,POSITION,'{"7": {"position": 1419, "speed": 8000}, "6": {"position": 1663, "speed": 8000}}',
4.79,POSITION,'{"5": {"position": 1367, "speed": 8000}}',
