time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1964, "speed": 8000}}',\\
0.01,POSITION,'{"0": {"position": 1986, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 2001, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1995, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1956, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 1810, "speed": 8000}}',\\
0.09,POSITION,'{"0": {"position": 1785, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1614, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1607, "speed": 8000}}',\\
0.13,POSITION,'{"0": {"position": 1582, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1562, "speed": 8000}}',\\
0.16,POSITION,'{"0": {"position": 1559, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1566, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1593, "speed": 8000}}',\\
0.2,POSITION,'{"0": {"position": 1618, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1622, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1611, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1568, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1543, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1490, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1463, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1411, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1391, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1375, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1367, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1389, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1406, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1426, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1460, "speed": 8000}}',\\
0.39,POSITION,'{"0": {"position": 1482, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1496, "speed": 8000}}',\\
0.41,POSITION,'{"0": {"position": 1501, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1507, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1511, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1525, "speed": 8000}}',\\
0.47,POSITION,'{"0": {"position": 1537, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1573, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1746, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1754, "speed": 8000}}',\\
0.52,POSITION,'{"0": {"position": 1782, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1802, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1850, "speed": 8000}}',\\
0.55,POSITION,'{"0": {"position": 1878, "speed": 8000}}',\\
0.57,POSITION,'{"0": {"position": 2064, "speed": 8000}}',\\
0.58,POSITION,'{"0": {"position": 2068, "speed": 8000}}',\\
0.59,POSITION,'{"0": {"position": 2088, "speed": 8000}}',\\
0.6,POSITION,'{"0": {"position": 2101, "speed": 8000}}',\\
0.62,POSITION,'{"0": {"position": 2130, "speed": 8000}}',\\
0.63,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
1.06,POSITION,'{"0": {"position": 2178, "speed": 8000}}',\\
1.07,POSITION,'{"0": {"position": 2171, "speed": 8000}}',\\
1.09,POSITION,'{"0": {"position": 2152, "speed": 8000}}',\\
1.1,POSITION,'{"0": {"position": 2142, "speed": 8000}}',\\
1.11,POSITION,'{"0": {"position": 2118, "speed": 8000}}',\\
1.13,POSITION,'{"0": {"position": 2086, "speed": 8000}}',\\
1.14,POSITION,'{"0": {"position": 2066, "speed": 8000}}',\\
1.15,POSITION,'{"0": {"position": 1903, "speed": 8000}}',\\
1.17,POSITION,'{"0": {"position": 1884, "speed": 8000}}',\\
1.18,POSITION,'{"0": {"position": 1865, "speed": 8000}}',\\
1.19,POSITION,'{"0": {"position": 1815, "speed": 8000}}',\\
