time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1429, "speed": 8000}}',
0.0,POSITION,'{"13": {"position": 1601, "speed": 8000}}',
0.02,POSITION,'{"12": {"position": 1438, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 1584, "speed": 8000}}',
0.03,POSITION,'{"12": {"position": 1442, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 1576, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 1447, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1559, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 1450, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1546, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1541, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1452, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1538, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 1535, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 1533, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1454, "speed": 8000}}',
0.22,POSITION,'{"12": {"position": 1451, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 1447, "speed": 8000}}',
0.24,POSITION,'{"12": {"position": 1437, "speed": 8000}}',
0.25,POSITION,'{"13": {"position": 1530, "speed": 8000}}',
0.26,POSITION,'{"12": {"position": 1432, "speed": 8000}}',
0.26,POSITION,'{"13": {"position": 1527, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 1423, "speed": 8000}}',
0.27,POSITION,'{"13": {"position": 1521, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1417, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1519, "speed": 8000}}',
0.3,POSITION,'{"12": {"position": 1414, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1517, "speed": 8000}}',
0.31,POSITION,'{"12": {"position": 1409, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1519, "speed": 8000}}',
0.32,POSITION,'{"12": {"position": 1404, "speed": 8000}}',
0.33,POSITION,'{"13": {"position": 1522, "speed": 8000}}',
0.34,POSITION,'{"12": {"position": 1400, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 1524, "speed": 8000}}',
0.35,POSITION,'{"12": {"position": 1393, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1527, "speed": 8000}}',
0.36,POSITION,'{"12": {"position": 1386, "speed": 8000}}',
0.36,POSITION,'{"13": {"position": 1529, "speed": 8000}}',
0.38,POSITION,'{"12": {"position": 1382, "speed": 8000}}',
0.39,POSITION,'{"12": {"position": 1375, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1533, "speed": 8000}}',
0.4,POSITION,'{"12": {"position": 1372, "speed": 8000}}',
0.4,POSITION,'{"13": {"position": 1536, "speed": 8000}}',
0.42,POSITION,'{"12": {"position": 1365, "speed": 8000}}',
0.42,POSITION,'{"13": {"position": 1541, "speed": 8000}}',
0.43,POSITION,'{"12": {"position": 1361, "speed": 8000}}',
0.43,POSITION,'{"13": {"position": 1543, "speed": 8000}}',
0.44,POSITION,'{"12": {"position": 1350, "speed": 8000}}',
0.44,POSITION,'{"13": {"position": 1547, "speed": 8000}}',
0.46,POSITION,'{"12": {"position": 1339, "speed": 8000}}',
0.46,POSITION,'{"13": {"position": 1551, "speed": 8000}}',
0.47,POSITION,'{"12": {"position": 1334, "speed": 8000}}',
0.48,POSITION,'{"12": {"position": 1326, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1554, "speed": 8000}}',
0.49,POSITION,'{"12": {"position": 1319, "speed": 8000}}',
0.51,POSITION,'{"12": {"position": 1315, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1556, "speed": 8000}}',
0.52,POSITION,'{"12": {"position": 1305, "speed": 8000}}',
0.52,POSITION,'{"13": {"position": 1559, "speed": 8000}}',
0.53,POSITION,'{"12": {"position": 1299, "speed": 8000}}',
0.53,POSITION,'{"13": {"position": 1563, "speed": 8000}}',
0.55,POSITION,'{"12": {"position": 1289, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1572, "speed": 8000}}',
0.56,POSITION,'{"12": {"position": 1282, "speed": 8000}}',
0.56,POSITION,'{"13": {"position": 1580, "speed": 8000}}',
