time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 1181, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1178, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1595, "speed": 8000}}',
0.36,POSITION,'{"12": {"position": 1181, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1597, "speed": 8000}}',
0.42,POSITION,'{"12": {"position": 1183, "speed": 8000}}',
0.48,POSITION,'{"12": {"position": 1185, "speed": 8000}}',
0.53,POSITION,'{"12": {"position": 1187, "speed": 8000}}',
0.61,POSITION,'{"13": {"position": 1593, "speed": 8000}}',
0.62,POSITION,'{"13": {"position": 1583, "speed": 8000}}',
0.64,POSITION,'{"12": {"position": 1190, "speed": 8000}}',
0.64,POSITION,'{"13": {"position": 1578, "speed": 8000}}',
0.65,POSITION,'{"12": {"position": 1194, "speed": 8000}}',
0.65,POSITION,'{"13": {"position": 1571, "speed": 8000}}',
0.66,POSITION,'{"12": {"position": 1198, "speed": 8000}}',
0.66,POSITION,'{"13": {"position": 1566, "speed": 8000}}',
0.69,POSITION,'{"12": {"position": 1204, "speed": 8000}}',
0.69,POSITION,'{"13": {"position": 1560, "speed": 8000}}',
0.7,POSITION,'{"12": {"position": 1206, "speed": 8000}}',
0.7,POSITION,'{"13": {"position": 1558, "speed": 8000}}',
0.71,POSITION,'{"12": {"position": 1214, "speed": 8000}}',
0.71,POSITION,'{"13": {"position": 1553, "speed": 8000}}',
0.73,POSITION,'{"12": {"position": 1224, "speed": 8000}}',
0.73,POSITION,'{"13": {"position": 1546, "speed": 8000}}',
0.74,POSITION,'{"12": {"position": 1230, "speed": 8000}}',
0.74,POSITION,'{"13": {"position": 1542, "speed": 8000}}',
0.75,POSITION,'{"12": {"position": 1242, "speed": 8000}}',
0.75,POSITION,'{"13": {"position": 1534, "speed": 8000}}',
0.77,POSITION,'{"12": {"position": 1248, "speed": 8000}}',
0.77,POSITION,'{"13": {"position": 1530, "speed": 8000}}',
0.78,POSITION,'{"12": {"position": 1261, "speed": 8000}}',
0.78,POSITION,'{"13": {"position": 1520, "speed": 8000}}',
0.79,POSITION,'{"12": {"position": 1273, "speed": 8000}}',
0.79,POSITION,'{"13": {"position": 1512, "speed": 8000}}',
0.81,POSITION,'{"12": {"position": 1280, "speed": 8000}}',
0.81,POSITION,'{"13": {"position": 1508, "speed": 8000}}',
0.82,POSITION,'{"12": {"position": 1293, "speed": 8000}}',
0.82,POSITION,'{"13": {"position": 1503, "speed": 8000}}',
0.83,POSITION,'{"12": {"position": 1301, "speed": 8000}}',
0.83,POSITION,'{"13": {"position": 1501, "speed": 8000}}',
0.85,POSITION,'{"12": {"position": 1321, "speed": 8000}}',
0.85,POSITION,'{"13": {"position": 1497, "speed": 8000}}',
0.86,POSITION,'{"12": {"position": 1338, "speed": 8000}}',
0.86,POSITION,'{"13": {"position": 1494, "speed": 8000}}',
0.87,POSITION,'{"12": {"position": 1344, "speed": 8000}}',
0.87,POSITION,'{"13": {"position": 1491, "speed": 8000}}',
0.89,POSITION,'{"12": {"position": 1353, "speed": 8000}}',
0.89,POSITION,'{"13": {"position": 1487, "speed": 8000}}',
0.9,POSITION,'{"12": {"position": 1359, "speed": 8000}}',
0.9,POSITION,'{"13": {"position": 1485, "speed": 8000}}',
0.91,POSITION,'{"12": {"position": 1361, "speed": 8000}}',
0.91,POSITION,'{"13": {"position": 1482, "speed": 8000}}',
0.92,POSITION,'{"12": {"position": 1365, "speed": 8000}}',
0.92,POSITION,'{"13": {"position": 1480, "speed": 8000}}',
0.95,POSITION,'{"12": {"position": 1367, "speed": 8000}}',
0.95,POSITION,'{"13": {"position": 1478, "speed": 8000}}',
0.96,POSITION,'{"12": {"position": 1370, "speed": 8000}}',
0.97,POSITION,'{"13": {"position": 1475, "speed": 8000}}',
0.98,POSITION,'{"12": {"position": 1372, "speed": 8000}}',
1.0,POSITION,'{"13": {"position": 1470, "speed": 8000}}',
1.01,POSITION,'{"13": {"position": 1467, "speed": 8000}}',
1.02,POSITION,'{"13": {"position": 1461, "speed": 8000}}',
1.03,POSITION,'{"13": {"position": 1457, "speed": 8000}}',
1.05,POSITION,'{"13": {"position": 1448, "speed": 8000}}',
1.06,POSITION,'{"13": {"position": 1444, "speed": 8000}}',
1.07,POSITION,'{"12": {"position": 1375, "speed": 8000}}',
1.07,POSITION,'{"13": {"position": 1437, "speed": 8000}}',
1.08,POSITION,'{"13": {"position": 1434, "speed": 8000}}',
1.1,POSITION,'{"12": {"position": 1377, "speed": 8000}}',
1.1,POSITION,'{"13": {"position": 1428, "speed": 8000}}',
1.11,POSITION,'{"13": {"position": 1425, "speed": 8000}}',
1.12,POSITION,'{"13": {"position": 1418, "speed": 8000}}',
1.13,POSITION,'{"12": {"position": 1379, "speed": 8000}}',
1.13,POSITION,'{"13": {"position": 1413, "speed": 8000}}',
1.15,POSITION,'{"13": {"position": 1403, "speed": 8000}}',
1.16,POSITION,'{"13": {"position": 1398, "speed": 8000}}',
1.17,POSITION,'{"13": {"position": 1389, "speed": 8000}}',
1.18,POSITION,'{"12": {"position": 1382, "speed": 8000}}',
