time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 816, "speed": 8000}}',
0.01,POSITION,'{"7": {"position": 1395, "speed": 8000}, "6": {"position": 1692, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 819, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 822, "speed": 8000}}',
0.05,POSITION,'{"7": {"position": 1394, "speed": 8000}, "6": {"position": 1694, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 824, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 826, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 828, "speed": 8000}}',
0.14,POSITION,'{"5": {"position": 832, "speed": 8000}}',
0.15,POSITION,'{"5": {"position": 836, "speed": 8000}}',
0.17,POSITION,'{"5": {"position": 838, "speed": 8000}}',
0.18,POSITION,'{"5": {"position": 844, "speed": 8000}}',
0.19,POSITION,'{"5": {"position": 847, "speed": 8000}}',
0.2,POSITION,'{"5": {"position": 853, "speed": 8000}}',
0.22,POSITION,'{"5": {"position": 859, "speed": 8000}}',
0.23,POSITION,'{"5": {"position": 861, "speed": 8000}}',
0.24,POSITION,'{"7": {"position": 1395, "speed": 8000}, "6": {"position": 1692, "speed": 8000}}',
0.24,POSITION,'{"5": {"position": 863, "speed": 8000}}',
0.25,POSITION,'{"5": {"position": 868, "speed": 8000}}',
0.27,POSITION,'{"5": {"position": 870, "speed": 8000}}',
0.28,POSITION,'{"7": {"position": 1397, "speed": 8000}, "6": {"position": 1690, "speed": 8000}}',
0.28,POSITION,'{"5": {"position": 879, "speed": 8000}}',
0.29,POSITION,'{"5": {"position": 884, "speed": 8000}}',
0.3,POSITION,'{"7": {"position": 1399, "speed": 8000}, "6": {"position": 1688, "speed": 8000}}',
0.31,POSITION,'{"5": {"position": 900, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 917, "speed": 8000}}',
0.33,POSITION,'{"7": {"position": 1400, "speed": 8000}, "6": {"position": 1686, "speed": 8000}}',
0.33,POSITION,'{"5": {"position": 928, "speed": 8000}}',
0.34,POSITION,'{"5": {"position": 957, "speed": 8000}}',
0.36,POSITION,'{"7": {"position": 1403, "speed": 8000}, "6": {"position": 1683, "speed": 8000}}',
0.36,POSITION,'{"5": {"position": 1141, "speed": 8000}}',
0.37,POSITION,'{"5": {"position": 1155, "speed": 8000}}',
0.38,POSITION,'{"7": {"position": 1407, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',
0.38,POSITION,'{"5": {"position": 1320, "speed": 8000}}',
0.39,POSITION,'{"7": {"position": 1409, "speed": 8000}, "6": {"position": 1675, "speed": 8000}}',
0.4,POSITION,'{"5": {"position": 1499, "speed": 8000}}',
0.41,POSITION,'{"7": {"position": 1413, "speed": 8000}, "6": {"position": 1670, "speed": 8000}}',
0.41,POSITION,'{"5": {"position": 1727, "speed": 8000}}',
0.42,POSITION,'{"7": {"position": 1414, "speed": 8000}, "6": {"position": 1668, "speed": 8000}}',
0.42,POSITION,'{"5": {"position": 1905, "speed": 8000}}',
0.43,POSITION,'{"5": {"position": 1920, "speed": 8000}}',
0.45,POSITION,'{"7": {"position": 1412, "speed": 8000}, "6": {"position": 1671, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1964, "speed": 8000}}',
0.46,POSITION,'{"5": {"position": 1986, "speed": 8000}}',
0.47,POSITION,'{"7": {"position": 1409, "speed": 8000}, "6": {"position": 1675, "speed": 8000}}',
0.47,POSITION,'{"5": {"position": 2023, "speed": 8000}}',
0.48,POSITION,'{"7": {"position": 1407, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',
0.49,POSITION,'{"5": {"position": 2051, "speed": 8000}}',
0.5,POSITION,'{"5": {"position": 2061, "speed": 8000}}',
0.51,POSITION,'{"5": {"position": 2069, "speed": 8000}}',
0.52,POSITION,'{"7": {"position": 1406, "speed": 8000}, "6": {"position": 1679, "speed": 8000}}',
0.52,POSITION,'{"5": {"position": 2073, "speed": 8000}}',
0.55,POSITION,'{"5": {"position": 2053, "speed": 8000}}',
0.56,POSITION,'{"5": {"position": 2039, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 2009, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 1995, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 1969, "speed": 8000}}',
0.61,POSITION,'{"7": {"position": 1408, "speed": 8000}, "6": {"position": 1676, "speed": 8000}}',
0.61,POSITION,'{"5": {"position": 1951, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 1945, "speed": 8000}}',
0.63,POSITION,'{"7": {"position": 1410, "speed": 8000}, "6": {"position": 1674, "speed": 8000}}',
0.64,POSITION,'{"5": {"position": 1938, "speed": 8000}}',
0.65,POSITION,'{"5": {"position": 1936, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 1932, "speed": 8000}}',
0.67,POSITION,'{"7": {"position": 1412, "speed": 8000}, "6": {"position": 1672, "speed": 8000}}',
0.67,POSITION,'{"5": {"position": 1930, "speed": 8000}}',
0.72,POSITION,'{"5": {"position": 1927, "speed": 8000}}',
0.74,POSITION,'{"5": {"position": 1925, "speed": 8000}}',
0.75,POSITION,'{"7": {"position": 1413, "speed": 8000}, "6": {"position": 1670, "speed": 8000}}',
0.77,POSITION,'{"5": {"position": 1920, "speed": 8000}}',
0.78,POSITION,'{"5": {"position": 1917, "speed": 8000}}',
0.79,POSITION,'{"5": {"position": 1912, "speed": 8000}}',
0.8,POSITION,'{"7": {"position": 1415, "speed": 8000}, "6": {"position": 1668, "speed": 8000}}',
0.84,POSITION,'{"7": {"position": 1416, "speed": 8000}, "6": {"position": 1666, "speed": 8000}}',
0.84,POSITION,'{"5": {"position": 1916, "speed": 8000}}',
0.85,POSITION,'{"5": {"position": 1923, "speed": 8000}}',
0.87,POSITION,'{"5": {"position": 1927, "speed": 8000}}',
0.88,POSITION,'{"7": {"position": 1418, "speed": 8000}, "6": {"position": 1664, "speed": 8000}}',
0.88,POSITION,'{"5": {"position": 1935, "speed": 8000}}',
0.89,POSITION,'{"5": {"position": 1941, "speed": 8000}}',
0.9,POSITION,'{"5": {"position": 1944, "speed": 8000}}',
0.92,POSITION,'{"7": {"position": 1420, "speed": 8000}, "6": {"position": 1662, "speed": 8000}}',
0.92,POSITION,'{"5": {"position": 1948, "speed": 8000}}',
0.93,POSITION,'{"5": {"position": 1950, "speed": 8000}}',
0.94,POSITION,'{"7": {"position": 1423, "speed": 8000}, "6": {"position": 1658, "speed": 8000}}',
0.94,POSITION,'{"5": {"position": 1955, "speed": 8000}}',
0.96,POSITION,'{"7": {"position": 1425, "speed": 8000}, "6": {"position": 1655, "speed": 8000}}',
0.96,POSITION,'{"5": {"position": 1957, "speed": 8000}}',
0.97,POSITION,'{"7": {"position": 1427, "speed": 8000}, "6": {"position": 1653, "speed": 8000}}',
0.97,POSITION,'{"5": {"position": 1960, "speed": 8000}}',
0.98,POSITION,'{"7": {"position": 1429, "speed": 8000}, "6": {"position": 1650, "speed": 8000}}',
1.0,POSITION,'{"7": {"position": 1431, "speed": 8000}, "6": {"position": 1648, "speed": 8000}}',
1.0,POSITION,'{"5": {"position": 1962, "speed": 8000}}',
1.01,POSITION,'{"7": {"position": 1432, "speed": 8000}, "6": {"position": 1646, "speed": 8000}}',
1.03,POSITION,'{"7": {"position": 1435, "speed": 8000}, "6": {"position": 1643, "speed": 8000}}',
1.06,POSITION,'{"7": {"position": 1438, "speed": 8000}, "6": {"position": 1639, "speed": 8000}}',
1.06,POSITION,'{"5": {"position": 1964, "speed": 8000}}',
1.08,POSITION,'{"7": {"position": 1442, "speed": 8000}, "6": {"position": 1634, "speed": 8000}}',
1.1,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1630, "speed": 8000}}',
1.11,POSITION,'{"5": {"position": 1960, "speed": 8000}}',
1.13,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',
1.13,POSITION,'{"5": {"position": 1956, "speed": 8000}}',
1.15,POSITION,'{"5": {"position": 1949, "speed": 8000}}',
1.16,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',
1.16,POSITION,'{"5": {"position": 1944, "speed": 8000}}',
1.17,POSITION,'{"5": {"position": 1935, "speed": 8000}}',
1.18,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1623, "speed": 8000}}',
1.18,POSITION,'{"5": {"position": 1929, "speed": 8000}}',
1.19,POSITION,'{"5": {"position": 1919, "speed": 8000}}',
1.21,POSITION,'{"5": {"position": 1915, "speed": 8000}}',
1.22,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1621, "speed": 8000}}',
1.22,POSITION,'{"5": {"position": 1907, "speed": 8000}}',
1.24,POSITION,'{"5": {"position": 1896, "speed": 8000}}',
1.25,POSITION,'{"5": {"position": 1890, "speed": 8000}}',
1.26,POSITION,'{"5": {"position": 1877, "speed": 8000}}',
1.27,POSITION,'{"5": {"position": 1871, "speed": 8000}}',
1.29,POSITION,'{"5": {"position": 1859, "speed": 8000}}',
1.3,POSITION,'{"5": {"position": 1854, "speed": 8000}}',
1.31,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1619, "speed": 8000}}',
1.31,POSITION,'{"5": {"position": 1841, "speed": 8000}}',
1.32,POSITION,'{"5": {"position": 1835, "speed": 8000}}',
1.34,POSITION,'{"5": {"position": 1822, "speed": 8000}}',
1.35,POSITION,'{"5": {"position": 1811, "speed": 8000}}',
1.36,POSITION,'{"5": {"position": 1801, "speed": 8000}}',
1.38,POSITION,'{"5": {"position": 1796, "speed": 8000}}',
