time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1532, "speed": 8000}}',\\
0.02,POSITION,'{"0": {"position": 1518, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1523, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1534, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1565, "speed": 8000}}',\\
0.07,POSITION,'{"0": {"position": 1614, "speed": 8000}}',\\
0.09,POSITION,'{"0": {"position": 1639, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1675, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1663, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1618, "speed": 8000}}',\\
0.15,POSITION,'{"0": {"position": 1472, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1461, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1452, "speed": 8000}}',\\
0.19,POSITION,'{"0": {"position": 1438, "speed": 8000}}',\\
0.2,POSITION,'{"0": {"position": 1433, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1435, "speed": 8000}}',\\
0.23,POSITION,'{"0": {"position": 1451, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1466, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1500, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1530, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1541, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1537, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1514, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1486, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1471, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1442, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1416, "speed": 8000}}',\\
0.38,POSITION,'{"0": {"position": 1401, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1411, "speed": 8000}}',\\
0.42,POSITION,'{"0": {"position": 1419, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1429, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1445, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1449, "speed": 8000}}',\\
0.47,POSITION,'{"0": {"position": 1446, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1437, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1410, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1368, "speed": 8000}}',\\
0.51,POSITION,'{"0": {"position": 1346, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1305, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1285, "speed": 8000}}',\\
0.55,POSITION,'{"0": {"position": 1256, "speed": 8000}}',\\
0.57,POSITION,'{"0": {"position": 1251, "speed": 8000}}',\\
