time,instruction,arg_1,arg_2
0.3,POSITION,'{"0": {"position": 2173, "speed": 8000}}',"\"\""
0.31,POSITION,'{"0": {"position": 2159, "speed": 8000}}',"\"\""
0.33,POSITION,'{"0": {"position": 1996, "speed": 8000}}',"\"\""
0.34,POSITION,'{"0": {"position": 1984, "speed": 8000}}',"\"\""
0.36,POSITION,'{"0": {"position": 1788, "speed": 8000}}',"\"\""
0.37,POSITION,'{"0": {"position": 1615, "speed": 8000}}',"\"\""
0.38,POSITION,'{"0": {"position": 1572, "speed": 8000}}',"\"\""
0.4,POSITION,'{"0": {"position": 1419, "speed": 8000}}',"\"\""
0.41,POSITION,'{"0": {"position": 1401, "speed": 8000}}',"\"\""
0.42,POSITION,'{"0": {"position": 1381, "speed": 8000}}',"\"\""
0.44,POSITION,'{"0": {"position": 1378, "speed": 8000}}',"\"\""
0.45,POSITION,'{"0": {"position": 1397, "speed": 8000}}',"\"\""
0.46,POSITION,'{"0": {"position": 1422, "speed": 8000}}',"\"\""
0.47,POSITION,'{"0": {"position": 1599, "speed": 8000}}',"\"\""
0.49,POSITION,'{"0": {"position": 1751, "speed": 8000}}',"\"\""
0.5,POSITION,'{"0": {"position": 1770, "speed": 8000}}',"\"\""
0.51,POSITION,'{"0": {"position": 1789, "speed": 8000}}',"\"\""
0.52,POSITION,'{"0": {"position": 1818, "speed": 8000}}',"\"\""
0.54,POSITION,'{"0": {"position": 1824, "speed": 8000}}',"\"\""
0.55,POSITION,'{"0": {"position": 1811, "speed": 8000}}',"\"\""
0.56,POSITION,'{"0": {"position": 1649, "speed": 8000}}',"\"\""
0.57,POSITION,'{"0": {"position": 1641, "speed": 8000}}',"\"\""
0.59,POSITION,'{"0": {"position": 1606, "speed": 8000}}',"\"\""
0.6,POSITION,'{"0": {"position": 1586, "speed": 8000}}',"\"\""
0.61,POSITION,'{"0": {"position": 1547, "speed": 8000}}',"\"\""
0.62,POSITION,'{"0": {"position": 1532, "speed": 8000}}',"\"\""
0.64,POSITION,'{"0": {"position": 1518, "speed": 8000}}',"\"\""
0.65,POSITION,'{"0": {"position": 1523, "speed": 8000}}',"\"\""
0.67,POSITION,'{"0": {"position": 1534, "speed": 8000}}',"\"\""
0.68,POSITION,'{"0": {"position": 1565, "speed": 8000}}',"\"\""
0.69,POSITION,'{"0": {"position": 1614, "speed": 8000}}',"\"\""
0.71,POSITION,'{"0": {"position": 1639, "speed": 8000}}',"\"\""
0.72,POSITION,'{"0": {"position": 1675, "speed": 8000}}',"\"\""
0.74,POSITION,'{"0": {"position": 1663, "speed": 8000}}',"\"\""
0.76,POSITION,'{"0": {"position": 1618, "speed": 8000}}',"\"\""
0.77,POSITION,'{"0": {"position": 1472, "speed": 8000}}',"\"\""
0.79,POSITION,'{"0": {"position": 1461, "speed": 8000}}',"\"\""
0.8,POSITION,'{"0": {"position": 1452, "speed": 8000}}',"\"\""
0.81,POSITION,'{"0": {"position": 1438, "speed": 8000}}',"\"\""
0.82,POSITION,'{"0": {"position": 1433, "speed": 8000}}',"\"\""
0.84,POSITION,'{"0": {"position": 1435, "speed": 8000}}',"\"\""
0.85,POSITION,'{"0": {"position": 1451, "speed": 8000}}',"\"\""
0.86,POSITION,'{"0": {"position": 1466, "speed": 8000}}',"\"\""
0.88,POSITION,'{"0": {"position": 1500, "speed": 8000}}',"\"\""
0.89,POSITION,'{"0": {"position": 1530, "speed": 8000}}',"\"\""
0.91,POSITION,'{"0": {"position": 1541, "speed": 8000}}',"\"\""
0.92,POSITION,'{"0": {"position": 1537, "speed": 8000}}',"\"\""
0.93,POSITION,'{"0": {"position": 1514, "speed": 8000}}',"\"\""
0.94,POSITION,'{"0": {"position": 1486, "speed": 8000}}',"\"\""
0.96,POSITION,'{"0": {"position": 1471, "speed": 8000}}',"\"\""
0.97,POSITION,'{"0": {"position": 1442, "speed": 8000}}',"\"\""
0.99,POSITION,'{"0": {"position": 1416, "speed": 8000}}',"\"\""
1.0,POSITION,'{"0": {"position": 1401, "speed": 8000}}',"\"\""
1.02,POSITION,'{"0": {"position": 1411, "speed": 8000}}',"\"\""
1.04,POSITION,'{"0": {"position": 1419, "speed": 8000}}',"\"\""
1.05,POSITION,'{"0": {"position": 1429, "speed": 8000}}',"\"\""
1.06,POSITION,'{"0": {"position": 1445, "speed": 8000}}',"\"\""
1.07,POSITION,'{"0": {"position": 1449, "speed": 8000}}',"\"\""
1.09,POSITION,'{"0": {"position": 1446, "speed": 8000}}',"\"\""
1.1,POSITION,'{"0": {"position": 1437, "speed": 8000}}',"\"\""
1.11,POSITION,'{"0": {"position": 1410, "speed": 8000}}',"\"\""
1.12,POSITION,'{"0": {"position": 1368, "speed": 8000}}',"\"\""
1.13,POSITION,'{"0": {"position": 1346, "speed": 8000}}',"\"\""
1.15,POSITION,'{"0": {"position": 1305, "speed": 8000}}',"\"\""
