time,instruction,arg_1,arg_2
0.87,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 2176, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1954, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1720, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1693, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1468, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1407, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1583, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1599, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1657, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1637, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1376, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1327, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1304, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1269, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1261, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1268, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1463, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1643, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1659, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1709, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1760, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1785, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1834, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 2012, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 2046, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 2068, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 2155, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 1989, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 1828, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 1658, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1641, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1635, "speed": 8000}}',""
1.61,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1652, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 1594, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 1452, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1432, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 1418, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1414, "speed": 8000}}',""
1.75,POSITION,'{"0": {"position": 1420, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 1497, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1701, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 1707, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 1736, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 1771, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1826, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1852, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 1859, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 1848, "speed": 8000}}',""
1.92,POSITION,'{"0": {"position": 1833, "speed": 8000}}',""
