time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 2133, "speed": 8000}}',
0,POSITION,'{"13": {"position": 820, "speed": 8000}}',
0.01,POSITION,'{"12": {"position": 2139, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 817, "speed": 8000}}',
0.03,POSITION,'{"12": {"position": 2143, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 813, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 2145, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 800, "speed": 8000}}',
0.05,POSITION,'{"12": {"position": 2148, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 2157, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 2167, "speed": 8000}}',
0.09,POSITION,'{"12": {"position": 2200, "speed": 8000}}',
2.15,POSITION,'{"13": {"position": 805, "speed": 8000}}',
2.16,POSITION,'{"13": {"position": 808, "speed": 8000}}',
2.18,POSITION,'{"12": {"position": 2197, "speed": 8000}}',
2.18,POSITION,'{"13": {"position": 814, "speed": 8000}}',
2.19,POSITION,'{"13": {"position": 817, "speed": 8000}}',
2.2,POSITION,'{"12": {"position": 2191, "speed": 8000}}',
2.2,POSITION,'{"13": {"position": 822, "speed": 8000}}',
2.21,POSITION,'{"12": {"position": 2188, "speed": 8000}}',
2.22,POSITION,'{"13": {"position": 824, "speed": 8000}}',
2.23,POSITION,'{"12": {"position": 2182, "speed": 8000}}',
2.23,POSITION,'{"13": {"position": 828, "speed": 8000}}',
2.24,POSITION,'{"12": {"position": 2176, "speed": 8000}}',
2.24,POSITION,'{"13": {"position": 834, "speed": 8000}}',
2.25,POSITION,'{"12": {"position": 2173, "speed": 8000}}',
2.26,POSITION,'{"13": {"position": 838, "speed": 8000}}',
2.27,POSITION,'{"12": {"position": 2166, "speed": 8000}}',
2.27,POSITION,'{"13": {"position": 846, "speed": 8000}}',
2.28,POSITION,'{"12": {"position": 2160, "speed": 8000}}',
2.28,POSITION,'{"13": {"position": 852, "speed": 8000}}',
2.29,POSITION,'{"12": {"position": 2157, "speed": 8000}}',
2.29,POSITION,'{"13": {"position": 855, "speed": 8000}}',
2.31,POSITION,'{"12": {"position": 2154, "speed": 8000}}',
2.31,POSITION,'{"13": {"position": 858, "speed": 8000}}',
2.34,POSITION,'{"12": {"position": 2150, "speed": 8000}}',
2.34,POSITION,'{"13": {"position": 861, "speed": 8000}}',
2.37,POSITION,'{"12": {"position": 2148, "speed": 8000}}',
2.37,POSITION,'{"13": {"position": 863, "speed": 8000}}',
2.38,POSITION,'{"12": {"position": 2146, "speed": 8000}}',
2.38,POSITION,'{"13": {"position": 867, "speed": 8000}}',
2.39,POSITION,'{"12": {"position": 2144, "speed": 8000}}',
2.41,POSITION,'{"12": {"position": 2142, "speed": 8000}}',
2.41,POSITION,'{"13": {"position": 869, "speed": 8000}}',
2.42,POSITION,'{"13": {"position": 871, "speed": 8000}}',
2.43,POSITION,'{"12": {"position": 2140, "speed": 8000}}',
2.48,POSITION,'{"12": {"position": 2138, "speed": 8000}}',
2.5,POSITION,'{"12": {"position": 2133, "speed": 8000}}',
2.51,POSITION,'{"12": {"position": 2131, "speed": 8000}}',
2.53,POSITION,'{"12": {"position": 2129, "speed": 8000}}',
2.55,POSITION,'{"12": {"position": 2127, "speed": 8000}}',
2.56,POSITION,'{"13": {"position": 873, "speed": 8000}}',
2.58,POSITION,'{"12": {"position": 2124, "speed": 8000}}',
2.6,POSITION,'{"12": {"position": 2121, "speed": 8000}}',
2.63,POSITION,'{"12": {"position": 2117, "speed": 8000}}',
2.66,POSITION,'{"12": {"position": 2114, "speed": 8000}}',
2.69,POSITION,'{"12": {"position": 2111, "speed": 8000}}',
2.69,POSITION,'{"13": {"position": 870, "speed": 8000}}',
2.71,POSITION,'{"13": {"position": 867, "speed": 8000}}',
2.72,POSITION,'{"12": {"position": 2109, "speed": 8000}}',
2.73,POSITION,'{"13": {"position": 865, "speed": 8000}}',
2.77,POSITION,'{"13": {"position": 863, "speed": 8000}}',
2.79,POSITION,'{"13": {"position": 860, "speed": 8000}}',
2.83,POSITION,'{"12": {"position": 2113, "speed": 8000}}',
2.83,POSITION,'{"13": {"position": 858, "speed": 8000}}',
2.84,POSITION,'{"12": {"position": 2115, "speed": 8000}}',
2.86,POSITION,'{"13": {"position": 855, "speed": 8000}}',
2.87,POSITION,'{"13": {"position": 853, "speed": 8000}}',
2.89,POSITION,'{"12": {"position": 2118, "speed": 8000}}',
2.9,POSITION,'{"13": {"position": 850, "speed": 8000}}',
2.91,POSITION,'{"13": {"position": 846, "speed": 8000}}',
2.93,POSITION,'{"13": {"position": 841, "speed": 8000}}',
2.94,POSITION,'{"13": {"position": 839, "speed": 8000}}',
2.96,POSITION,'{"13": {"position": 832, "speed": 8000}}',
2.97,POSITION,'{"13": {"position": 827, "speed": 8000}}',
2.98,POSITION,'{"13": {"position": 800, "speed": 8000}}',
2.99,POSITION,'{"12": {"position": 2116, "speed": 8000}}',
3.11,POSITION,'{"12": {"position": 2118, "speed": 8000}}',
3.15,POSITION,'{"12": {"position": 2121, "speed": 8000}}',
3.21,POSITION,'{"12": {"position": 2123, "speed": 8000}}',
3.24,POSITION,'{"12": {"position": 2125, "speed": 8000}}',
3.3,POSITION,'{"12": {"position": 2127, "speed": 8000}}',
3.44,POSITION,'{"12": {"position": 2129, "speed": 8000}}',
3.5,POSITION,'{"12": {"position": 2131, "speed": 8000}}',
3.54,POSITION,'{"12": {"position": 2134, "speed": 8000}}',
3.6,POSITION,'{"12": {"position": 2136, "speed": 8000}}',
3.62,POSITION,'{"12": {"position": 2139, "speed": 8000}}',
3.64,POSITION,'{"12": {"position": 2142, "speed": 8000}}',
3.68,POSITION,'{"12": {"position": 2144, "speed": 8000}}',
3.7,POSITION,'{"12": {"position": 2146, "speed": 8000}}',
3.72,POSITION,'{"12": {"position": 2148, "speed": 8000}}',
3.73,POSITION,'{"12": {"position": 2152, "speed": 8000}}',
3.74,POSITION,'{"12": {"position": 2154, "speed": 8000}}',
3.75,POSITION,'{"12": {"position": 2160, "speed": 8000}}',
3.76,POSITION,'{"12": {"position": 2164, "speed": 8000}}',
3.78,POSITION,'{"12": {"position": 2170, "speed": 8000}}',
3.79,POSITION,'{"12": {"position": 2174, "speed": 8000}}',
3.8,POSITION,'{"12": {"position": 2179, "speed": 8000}}',
3.81,POSITION,'{"12": {"position": 2182, "speed": 8000}}',
3.83,POSITION,'{"12": {"position": 2200, "speed": 8000}}',
4.94,POSITION,'{"13": {"position": 803, "speed": 8000}}',
4.96,POSITION,'{"13": {"position": 808, "speed": 8000}}',
4.97,POSITION,'{"13": {"position": 810, "speed": 8000}}',
4.98,POSITION,'{"13": {"position": 816, "speed": 8000}}',
4.99,POSITION,'{"13": {"position": 819, "speed": 8000}}',
