time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 923, "speed": 8000}}',
0.23,POSITION,'{"5": {"position": 926, "speed": 8000}}',
0.24,POSITION,'{"5": {"position": 933, "speed": 8000}}',
0.26,POSITION,'{"7": {"position": 1508, "speed": 8000}, "6": {"position": 1551, "speed": 8000}}',
0.26,POSITION,'{"5": {"position": 937, "speed": 8000}}',
0.27,POSITION,'{"7": {"position": 1511, "speed": 8000}, "6": {"position": 1548, "speed": 8000}}',
0.27,POSITION,'{"5": {"position": 956, "speed": 8000}}',
0.28,POSITION,'{"7": {"position": 1512, "speed": 8000}, "6": {"position": 1546, "speed": 8000}}',
0.28,POSITION,'{"5": {"position": 968, "speed": 8000}}',
0.3,POSITION,'{"7": {"position": 1515, "speed": 8000}, "6": {"position": 1542, "speed": 8000}}',
0.3,POSITION,'{"5": {"position": 997, "speed": 8000}}',
0.31,POSITION,'{"7": {"position": 1518, "speed": 8000}, "6": {"position": 1538, "speed": 8000}}',
0.31,POSITION,'{"5": {"position": 1033, "speed": 8000}}',
0.32,POSITION,'{"7": {"position": 1520, "speed": 8000}, "6": {"position": 1536, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 1052, "speed": 8000}}',
0.33,POSITION,'{"7": {"position": 1524, "speed": 8000}, "6": {"position": 1531, "speed": 8000}}',
0.33,POSITION,'{"5": {"position": 1089, "speed": 8000}}',
0.35,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1528, "speed": 8000}}',
0.35,POSITION,'{"5": {"position": 1109, "speed": 8000}}',
0.36,POSITION,'{"7": {"position": 1531, "speed": 8000}, "6": {"position": 1522, "speed": 8000}}',
0.36,POSITION,'{"5": {"position": 1149, "speed": 8000}}',
0.37,POSITION,'{"7": {"position": 1534, "speed": 8000}, "6": {"position": 1519, "speed": 8000}}',
0.37,POSITION,'{"5": {"position": 1169, "speed": 8000}}',
0.38,POSITION,'{"7": {"position": 1538, "speed": 8000}, "6": {"position": 1514, "speed": 8000}}',
0.39,POSITION,'{"5": {"position": 1203, "speed": 8000}}',
0.4,POSITION,'{"7": {"position": 1540, "speed": 8000}, "6": {"position": 1512, "speed": 8000}}',
0.4,POSITION,'{"5": {"position": 1217, "speed": 8000}}',
0.41,POSITION,'{"7": {"position": 1543, "speed": 8000}, "6": {"position": 1508, "speed": 8000}}',
0.41,POSITION,'{"5": {"position": 1242, "speed": 8000}}',
0.42,POSITION,'{"7": {"position": 1544, "speed": 8000}, "6": {"position": 1506, "speed": 8000}}',
0.42,POSITION,'{"5": {"position": 1263, "speed": 8000}}',
0.44,POSITION,'{"5": {"position": 1270, "speed": 8000}}',
0.45,POSITION,'{"7": {"position": 1546, "speed": 8000}, "6": {"position": 1504, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1281, "speed": 8000}}',
0.46,POSITION,'{"5": {"position": 1288, "speed": 8000}}',
0.47,POSITION,'{"5": {"position": 1290, "speed": 8000}}',
0.5,POSITION,'{"7": {"position": 1547, "speed": 8000}, "6": {"position": 1502, "speed": 8000}}',
0.5,POSITION,'{"5": {"position": 1292, "speed": 8000}}',
0.54,POSITION,'{"7": {"position": 1546, "speed": 8000}, "6": {"position": 1504, "speed": 8000}}',
0.55,POSITION,'{"7": {"position": 1544, "speed": 8000}, "6": {"position": 1506, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 1290, "speed": 8000}}',
0.58,POSITION,'{"7": {"position": 1542, "speed": 8000}, "6": {"position": 1509, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 1286, "speed": 8000}}',
0.59,POSITION,'{"7": {"position": 1540, "speed": 8000}, "6": {"position": 1511, "speed": 8000}}',
0.59,POSITION,'{"5": {"position": 1284, "speed": 8000}}',
0.61,POSITION,'{"7": {"position": 1537, "speed": 8000}, "6": {"position": 1515, "speed": 8000}}',
0.61,POSITION,'{"5": {"position": 1282, "speed": 8000}}',
0.62,POSITION,'{"7": {"position": 1533, "speed": 8000}, "6": {"position": 1520, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 1292, "speed": 8000}}',
0.64,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1528, "speed": 8000}}',
0.64,POSITION,'{"5": {"position": 1323, "speed": 8000}}',
0.65,POSITION,'{"7": {"position": 1499, "speed": 8000}, "6": {"position": 1563, "speed": 8000}}',
0.65,POSITION,'{"5": {"position": 1367, "speed": 8000}}',
0.66,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 1395, "speed": 8000}}',
0.68,POSITION,'{"7": {"position": 1492, "speed": 8000}, "6": {"position": 1571, "speed": 8000}}',
0.68,POSITION,'{"5": {"position": 1447, "speed": 8000}}',
0.69,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',
0.69,POSITION,'{"5": {"position": 1472, "speed": 8000}}',
0.7,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',
0.7,POSITION,'{"5": {"position": 1511, "speed": 8000}}',
0.71,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',
0.71,POSITION,'{"5": {"position": 1525, "speed": 8000}}',
0.73,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1588, "speed": 8000}}',
0.73,POSITION,'{"5": {"position": 1546, "speed": 8000}}',
0.74,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',
0.74,POSITION,'{"5": {"position": 1560, "speed": 8000}}',
0.75,POSITION,'{"5": {"position": 1566, "speed": 8000}}',
0.76,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',
0.77,POSITION,'{"5": {"position": 1574, "speed": 8000}}',
0.78,POSITION,'{"5": {"position": 1577, "speed": 8000}}',
0.79,POSITION,'{"5": {"position": 1579, "speed": 8000}}',
0.82,POSITION,'{"5": {"position": 1575, "speed": 8000}}',
0.83,POSITION,'{"5": {"position": 1570, "speed": 8000}}',
0.85,POSITION,'{"5": {"position": 1560, "speed": 8000}}',
0.86,POSITION,'{"5": {"position": 1556, "speed": 8000}}',
0.87,POSITION,'{"5": {"position": 1546, "speed": 8000}}',
0.88,POSITION,'{"5": {"position": 1542, "speed": 8000}}',
0.89,POSITION,'{"5": {"position": 1536, "speed": 8000}}',
0.91,POSITION,'{"5": {"position": 1533, "speed": 8000}}',
0.92,POSITION,'{"5": {"position": 1527, "speed": 8000}}',
0.93,POSITION,'{"5": {"position": 1524, "speed": 8000}}',
0.94,POSITION,'{"5": {"position": 1518, "speed": 8000}}',
0.96,POSITION,'{"5": {"position": 1515, "speed": 8000}}',
0.97,POSITION,'{"5": {"position": 1511, "speed": 8000}}',
0.98,POSITION,'{"5": {"position": 1506, "speed": 8000}}',
0.99,POSITION,'{"5": {"position": 1504, "speed": 8000}}',
1.01,POSITION,'{"5": {"position": 1500, "speed": 8000}}',
1.02,POSITION,'{"5": {"position": 1498, "speed": 8000}}',
1.03,POSITION,'{"5": {"position": 1495, "speed": 8000}}',
1.06,POSITION,'{"5": {"position": 1492, "speed": 8000}}',
1.07,POSITION,'{"5": {"position": 1489, "speed": 8000}}',
1.08,POSITION,'{"5": {"position": 1484, "speed": 8000}}',
1.09,POSITION,'{"5": {"position": 1480, "speed": 8000}}',
1.11,POSITION,'{"5": {"position": 1468, "speed": 8000}}',
