time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1419, "speed": 8000}}',\\
0.01,POSITION,'{"0": {"position": 1441, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1492, "speed": 8000}}',\\
0.04,POSITION,'{"0": {"position": 1530, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1540, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1537, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 1525, "speed": 8000}}',\\
0.09,POSITION,'{"0": {"position": 1491, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1448, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1306, "speed": 8000}}',\\
0.13,POSITION,'{"0": {"position": 1287, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1251, "speed": 8000}}',\\
0.15,POSITION,'{"0": {"position": 1233, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1203, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1196, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1224, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1387, "speed": 8000}}',\\
0.23,POSITION,'{"0": {"position": 1401, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1426, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1435, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1439, "speed": 8000}}',\\
0.28,POSITION,'{"0": {"position": 1422, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1404, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1354, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1193, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1183, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1161, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1143, "speed": 8000}}',\\
0.38,POSITION,'{"0": {"position": 1137, "speed": 8000}}',\\
0.39,POSITION,'{"0": {"position": 1139, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1149, "speed": 8000}}',\\
0.41,POSITION,'{"0": {"position": 1187, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1355, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1391, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1419, "speed": 8000}}',\\
0.46,POSITION,'{"0": {"position": 1588, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1598, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1652, "speed": 8000}}',\\
0.51,POSITION,'{"0": {"position": 1670, "speed": 8000}}',\\
0.52,POSITION,'{"0": {"position": 1710, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1759, "speed": 8000}}',\\
0.55,POSITION,'{"0": {"position": 1900, "speed": 8000}}',\\
0.56,POSITION,'{"0": {"position": 1922, "speed": 8000}}',\\
0.58,POSITION,'{"0": {"position": 1943, "speed": 8000}}',\\
0.59,POSITION,'{"0": {"position": 1958, "speed": 8000}}',\\
0.61,POSITION,'{"0": {"position": 1964, "speed": 8000}}',\\
0.62,POSITION,'{"0": {"position": 1973, "speed": 8000}}',\\
0.63,POSITION,'{"0": {"position": 1984, "speed": 8000}}',\\
0.65,POSITION,'{"0": {"position": 1998, "speed": 8000}}',\\
0.66,POSITION,'{"0": {"position": 2009, "speed": 8000}}',\\
0.67,POSITION,'{"0": {"position": 2030, "speed": 8000}}',\\
0.69,POSITION,'{"0": {"position": 2039, "speed": 8000}}',\\
0.7,POSITION,'{"0": {"position": 2059, "speed": 8000}}',\\
0.72,POSITION,'{"0": {"position": 2083, "speed": 8000}}',\\
0.73,POSITION,'{"0": {"position": 2095, "speed": 8000}}',\\
0.74,POSITION,'{"0": {"position": 2119, "speed": 8000}}',\\
0.76,POSITION,'{"0": {"position": 2139, "speed": 8000}}',\\
0.77,POSITION,'{"0": {"position": 2148, "speed": 8000}}',\\
0.78,POSITION,'{"0": {"position": 2161, "speed": 8000}}',\\
0.8,POSITION,'{"0": {"position": 2171, "speed": 8000}}',\\
0.81,POSITION,'{"0": {"position": 2176, "speed": 8000}}',\\
0.82,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
1.25,POSITION,'{"0": {"position": 2188, "speed": 8000}}',\\
1.26,POSITION,'{"0": {"position": 2180, "speed": 8000}}',\\
1.27,POSITION,'{"0": {"position": 2144, "speed": 8000}}',\\
1.29,POSITION,'{"0": {"position": 1956, "speed": 8000}}',\\
1.3,POSITION,'{"0": {"position": 1771, "speed": 8000}}',\\
1.31,POSITION,'{"0": {"position": 1584, "speed": 8000}}',\\
1.32,POSITION,'{"0": {"position": 1422, "speed": 8000}}',\\
1.34,POSITION,'{"0": {"position": 1411, "speed": 8000}}',\\
1.35,POSITION,'{"0": {"position": 1371, "speed": 8000}}',\\
1.36,POSITION,'{"0": {"position": 1351, "speed": 8000}}',\\
1.38,POSITION,'{"0": {"position": 1321, "speed": 8000}}',\\
1.39,POSITION,'{"0": {"position": 1311, "speed": 8000}}',\\
1.41,POSITION,'{"0": {"position": 1332, "speed": 8000}}',\\
1.42,POSITION,'{"0": {"position": 1351, "speed": 8000}}',\\
1.43,POSITION,'{"0": {"position": 1524, "speed": 8000}}',\\
1.44,POSITION,'{"0": {"position": 1534, "speed": 8000}}',\\
1.45,POSITION,'{"0": {"position": 1567, "speed": 8000}}',\\
1.47,POSITION,'{"0": {"position": 1581, "speed": 8000}}',\\
1.48,POSITION,'{"0": {"position": 1601, "speed": 8000}}',\\
1.5,POSITION,'{"0": {"position": 1607, "speed": 8000}}',\\
1.51,POSITION,'{"0": {"position": 1600, "speed": 8000}}',\\
1.52,POSITION,'{"0": {"position": 1574, "speed": 8000}}',\\
1.53,POSITION,'{"0": {"position": 1557, "speed": 8000}}',\\
1.55,POSITION,'{"0": {"position": 1514, "speed": 8000}}',\\
1.56,POSITION,'{"0": {"position": 1328, "speed": 8000}}',\\
1.57,POSITION,'{"0": {"position": 1318, "speed": 8000}}',\\
1.58,POSITION,'{"0": {"position": 1281, "speed": 8000}}',\\
1.6,POSITION,'{"0": {"position": 1259, "speed": 8000}}',\\
1.61,POSITION,'{"0": {"position": 1212, "speed": 8000}}',\\
1.62,POSITION,'{"0": {"position": 1172, "speed": 8000}}',\\
1.64,POSITION,'{"0": {"position": 1160, "speed": 8000}}',\\
1.65,POSITION,'{"0": {"position": 1158, "speed": 8000}}',\\
1.67,POSITION,'{"0": {"position": 1188, "speed": 8000}}',\\
1.68,POSITION,'{"0": {"position": 1212, "speed": 8000}}',\\
1.69,POSITION,'{"0": {"position": 1361, "speed": 8000}}',\\
1.71,POSITION,'{"0": {"position": 1369, "speed": 8000}}',\\
1.74,POSITION,'{"0": {"position": 1340, "speed": 8000}}',\\
1.75,POSITION,'{"0": {"position": 1318, "speed": 8000}}',\\
1.77,POSITION,'{"0": {"position": 1169, "speed": 8000}}',\\
1.78,POSITION,'{"0": {"position": 1130, "speed": 8000}}',\\
1.79,POSITION,'{"0": {"position": 1106, "speed": 8000}}',\\
1.8,POSITION,'{"0": {"position": 1059, "speed": 8000}}',\\
1.82,POSITION,'{"0": {"position": 1037, "speed": 8000}}',\\
1.83,POSITION,'{"0": {"position": 1003, "speed": 8000}}',\\
1.84,POSITION,'{"0": {"position": 991, "speed": 8000}}',\\
1.85,POSITION,'{"0": {"position": 980, "speed": 8000}}',\\
1.87,POSITION,'{"0": {"position": 996, "speed": 8000}}',\\
1.88,POSITION,'{"0": {"position": 1018, "speed": 8000}}',\\
1.89,POSITION,'{"0": {"position": 1178, "speed": 8000}}',\\
1.91,POSITION,'{"0": {"position": 1348, "speed": 8000}}',\\
1.92,POSITION,'{"0": {"position": 1356, "speed": 8000}}',\\
1.93,POSITION,'{"0": {"position": 1384, "speed": 8000}}',\\
1.95,POSITION,'{"0": {"position": 1418, "speed": 8000}}',\\
1.96,POSITION,'{"0": {"position": 1439, "speed": 8000}}',\\
1.97,POSITION,'{"0": {"position": 1484, "speed": 8000}}',\\
1.99,POSITION,'{"0": {"position": 1631, "speed": 8000}}',\\
2.0,POSITION,'{"0": {"position": 1642, "speed": 8000}}',\\
2.01,POSITION,'{"0": {"position": 1691, "speed": 8000}}',\\
2.02,POSITION,'{"0": {"position": 1859, "speed": 8000}}',\\
2.04,POSITION,'{"0": {"position": 1867, "speed": 8000}}',\\
2.05,POSITION,'{"0": {"position": 1887, "speed": 8000}}',\\
2.06,POSITION,'{"0": {"position": 1899, "speed": 8000}}',\\
2.08,POSITION,'{"0": {"position": 1921, "speed": 8000}}',\\
2.09,POSITION,'{"0": {"position": 1947, "speed": 8000}}',\\
2.1,POSITION,'{"0": {"position": 1961, "speed": 8000}}',\\
2.12,POSITION,'{"0": {"position": 2002, "speed": 8000}}',\\
2.13,POSITION,'{"0": {"position": 2041, "speed": 8000}}',\\
2.14,POSITION,'{"0": {"position": 2074, "speed": 8000}}',\\
2.16,POSITION,'{"0": {"position": 2087, "speed": 8000}}',\\
2.17,POSITION,'{"0": {"position": 2108, "speed": 8000}}',\\
2.18,POSITION,'{"0": {"position": 2118, "speed": 8000}}',\\
2.19,POSITION,'{"0": {"position": 2140, "speed": 8000}}',\\
2.21,POSITION,'{"0": {"position": 2152, "speed": 8000}}',\\
2.22,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
3.6,POSITION,'{"0": {"position": 2198, "speed": 8000}}',\\
3.64,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
3.96,POSITION,'{"0": {"position": 2164, "speed": 8000}}',\\
3.98,POSITION,'{"0": {"position": 2146, "speed": 8000}}',\\
3.99,POSITION,'{"0": {"position": 1979, "speed": 8000}}',\\
4.0,POSITION,'{"0": {"position": 1784, "speed": 8000}}',\\
4.02,POSITION,'{"0": {"position": 1770, "speed": 8000}}',\\
4.03,POSITION,'{"0": {"position": 1719, "speed": 8000}}',\\
4.04,POSITION,'{"0": {"position": 1696, "speed": 8000}}',\\
4.06,POSITION,'{"0": {"position": 1663, "speed": 8000}}',\\
4.07,POSITION,'{"0": {"position": 1657, "speed": 8000}}',\\
4.08,POSITION,'{"0": {"position": 1674, "speed": 8000}}',\\
4.09,POSITION,'{"0": {"position": 1716, "speed": 8000}}',\\
4.11,POSITION,'{"0": {"position": 1735, "speed": 8000}}',\\
4.12,POSITION,'{"0": {"position": 1755, "speed": 8000}}',\\
4.13,POSITION,'{"0": {"position": 1727, "speed": 8000}}',\\
4.15,POSITION,'{"0": {"position": 1572, "speed": 8000}}',\\
4.16,POSITION,'{"0": {"position": 1529, "speed": 8000}}',\\
4.17,POSITION,'{"0": {"position": 1366, "speed": 8000}}',\\
4.19,POSITION,'{"0": {"position": 1331, "speed": 8000}}',\\
4.2,POSITION,'{"0": {"position": 1281, "speed": 8000}}',\\
4.22,POSITION,'{"0": {"position": 1246, "speed": 8000}}',\\
4.23,POSITION,'{"0": {"position": 1236, "speed": 8000}}',\\
4.24,POSITION,'{"0": {"position": 1240, "speed": 8000}}',\\
4.25,POSITION,'{"0": {"position": 1255, "speed": 8000}}',\\
4.27,POSITION,'{"0": {"position": 1444, "speed": 8000}}',\\
4.28,POSITION,'{"0": {"position": 1467, "speed": 8000}}',\\
4.3,POSITION,'{"0": {"position": 1481, "speed": 8000}}',\\
4.31,POSITION,'{"0": {"position": 1505, "speed": 8000}}',\\
4.32,POSITION,'{"0": {"position": 1513, "speed": 8000}}',\\
4.33,POSITION,'{"0": {"position": 1511, "speed": 8000}}',\\
4.34,POSITION,'{"0": {"position": 1498, "speed": 8000}}',\\
4.36,POSITION,'{"0": {"position": 1467, "speed": 8000}}',\\
4.37,POSITION,'{"0": {"position": 1419, "speed": 8000}}',\\
4.38,POSITION,'{"0": {"position": 1277, "speed": 8000}}',\\
