time,instruction,arg_1,arg_2
0,PHONEME,rest,
0.02,PHONEME,etc,
0.23,PHONEME,O,
0.44,PHONEME,MBP,
0.56,PHONEME,etc,
0.69,PHONEME,AI,
0.81,PHONEME,etc,
0.94,PHONEME,rest,
1.6,PHONEME,MBP,
1.65,PHONEME,AI,
1.69,PHONEME,L,
1.73,PHONEME,etc,
1.77,PHONEME,AI,
1.81,PHONEME,FV,
1.85,PHONEME,AI,
1.94,PHONEME,MBP,
2.02,PHONEME,AI,
2.1,PHONEME,L,
2.19,PHONEME,etc,
2.27,PHONEME,AI,
2.35,PHONEME,etc,
2.52,PHONEME,AI,
2.56,PHONEME,FV,
2.65,PHONEME,L,
2.69,PHONEME,E,
2.77,PHONEME,etc,
2.89,PHONEME,AI,
2.94,PHONEME,FV,
3.02,PHONEME,WQ,
3.19,PHONEME,AI,
3.31,PHONEME,E,
3.48,PHONEME,etc,
3.6,PHONEME,rest,
4.52,PHONEME,L,
4.6,PHONEME,AI,
4.65,PHONEME,etc,
4.77,PHONEME,E,
4.81,PHONEME,WQ,
4.98,PHONEME,AI,
5.15,PHONEME,etc,
5.31,PHONEME,rest,
6.02,PHONEME,AI,
6.1,PHONEME,MBP,
6.15,PHONEME,AI,
6.23,PHONEME,etc,
6.27,PHONEME,E,
6.31,PHONEME,AI,
6.35,PHONEME,etc,
6.44,PHONEME,U,
6.48,PHONEME,etc,
6.73,PHONEME,AI,
6.89,PHONEME,etc,
7.1,PHONEME,rest,
