time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 1702, "speed": 8000}}',
0.01,POSITION,'{"12": {"position": 1700, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1694, "speed": 8000}}',
0.09,POSITION,'{"12": {"position": 1691, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1687, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1685, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 1682, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 1539, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1679, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1542, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 1544, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1673, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 1546, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1670, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1665, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1548, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1663, "speed": 8000}}',
0.21,POSITION,'{"12": {"position": 1659, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 1657, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1541, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 1655, "speed": 8000}}',
0.25,POSITION,'{"13": {"position": 1536, "speed": 8000}}',
0.26,POSITION,'{"13": {"position": 1531, "speed": 8000}}',
0.27,POSITION,'{"13": {"position": 1518, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1653, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1506, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1501, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1493, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1489, "speed": 8000}}',
0.33,POSITION,'{"12": {"position": 1656, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 1481, "speed": 8000}}',
