time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 934, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 914, "speed": 8000}}',
0.02,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1558, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 800, "speed": 8000}}',
0.04,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',
0.05,POSITION,'{"7": {"position": 1494, "speed": 8000}, "6": {"position": 1569, "speed": 8000}}',
0.06,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',
0.07,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',
0.08,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',
0.1,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',
0.11,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',
0.13,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1588, "speed": 8000}}',
0.36,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',
0.37,POSITION,'{"5": {"position": 826, "speed": 8000}}',
0.41,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',
0.41,POSITION,'{"5": {"position": 1207, "speed": 8000}}',
0.43,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1588, "speed": 8000}}',
0.43,POSITION,'{"5": {"position": 1398, "speed": 8000}}',
0.45,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1470, "speed": 8000}}',
0.46,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1599, "speed": 8000}}',
0.46,POSITION,'{"5": {"position": 1493, "speed": 8000}}',
0.47,POSITION,'{"7": {"position": 1468, "speed": 8000}, "6": {"position": 1601, "speed": 8000}}',
0.47,POSITION,'{"5": {"position": 1514, "speed": 8000}}',
0.49,POSITION,'{"7": {"position": 1466, "speed": 8000}, "6": {"position": 1604, "speed": 8000}}',
0.49,POSITION,'{"5": {"position": 1547, "speed": 8000}}',
0.5,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1606, "speed": 8000}}',
0.5,POSITION,'{"5": {"position": 1570, "speed": 8000}}',
0.51,POSITION,'{"5": {"position": 1579, "speed": 8000}}',
0.52,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1608, "speed": 8000}}',
0.53,POSITION,'{"5": {"position": 1592, "speed": 8000}}',
