time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 1904, "speed": 8000}}',\\
0.02,POSITION,'{"0": {"position": 1932, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1940, "speed": 8000}}',\\
0.04,POSITION,'{"0": {"position": 1927, "speed": 8000}}',\\
0.05,POSITION,'{"0": {"position": 1901, "speed": 8000}}',\\
0.07,POSITION,'{"0": {"position": 1706, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 1545, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1515, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1474, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1452, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1415, "speed": 8000}}',\\
0.15,POSITION,'{"0": {"position": 1403, "speed": 8000}}',\\
0.16,POSITION,'{"0": {"position": 1396, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1418, "speed": 8000}}',\\
0.19,POSITION,'{"0": {"position": 1439, "speed": 8000}}',\\
0.2,POSITION,'{"0": {"position": 1624, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1634, "speed": 8000}}',\\
0.23,POSITION,'{"0": {"position": 1641, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1650, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1647, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1644, "speed": 8000}}',\\
0.28,POSITION,'{"0": {"position": 1635, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1621, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1610, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1579, "speed": 8000}}',\\
0.33,POSITION,'{"0": {"position": 1562, "speed": 8000}}',\\
0.34,POSITION,'{"0": {"position": 1525, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1510, "speed": 8000}}',\\
