time,instruction,arg_1,arg_2
0,PHONEME,E,
0.08,PHONEME,etc,
0.17,PHONEME,E,
0.21,PHONEME,L,
0.37,PHONEME,E,
0.54,PHONEME,FV,
0.67,PHONEME,etc,
0.83,PHONEME,rest,
2.29,PHONEME,etc,
2.33,PHONEME,AI,
2.42,PHONEME,etc,
2.5,PHONEME,L,
2.58,PHONEME,AI,
2.63,PHONEME,etc,
2.83,PHONEME,AI,
2.92,PHONEME,etc,
3.04,PHONEME,rest,
4.71,PHONEME,AI,
4.75,PHONEME,etc,
5.0,PHONEME,etc,
5.08,PHONEME,AI,
5.17,PHONEME,etc,
5.29,PHONEME,AI,
5.37,PHONEME,etc,
5.46,PHONEME,E,
5.54,PHONEME,etc,
5.63,PHONEME,rest,
