time,instruction,arg_1,arg_2
0,POSITION,'{"13": {"position": 935, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 942, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 951, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 956, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 2196, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 964, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 2193, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 969, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 2191, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 972, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 2185, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 978, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 2178, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 983, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 2175, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 985, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 2166, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 992, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 2161, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 995, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 2147, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 1006, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 2129, "speed": 8000}}',
0.17,POSITION,'{"13": {"position": 1022, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 2119, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1033, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 2098, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 1056, "speed": 8000}}',
0.21,POSITION,'{"12": {"position": 2088, "speed": 8000}}',
0.21,POSITION,'{"13": {"position": 1066, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 2068, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1085, "speed": 8000}}',
0.24,POSITION,'{"12": {"position": 2048, "speed": 8000}}',
0.24,POSITION,'{"13": {"position": 1105, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 2036, "speed": 8000}}',
0.25,POSITION,'{"13": {"position": 1114, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 2008, "speed": 8000}}',
0.27,POSITION,'{"13": {"position": 1132, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1995, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1144, "speed": 8000}}',
0.29,POSITION,'{"12": {"position": 1965, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1167, "speed": 8000}}',
0.31,POSITION,'{"12": {"position": 1934, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1189, "speed": 8000}}',
0.32,POSITION,'{"12": {"position": 1920, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1202, "speed": 8000}}',
0.33,POSITION,'{"12": {"position": 1894, "speed": 8000}}',
0.33,POSITION,'{"13": {"position": 1226, "speed": 8000}}',
0.35,POSITION,'{"12": {"position": 1869, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1244, "speed": 8000}}',
0.36,POSITION,'{"12": {"position": 1855, "speed": 8000}}',
0.36,POSITION,'{"13": {"position": 1250, "speed": 8000}}',
