time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 1362, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 1359, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1356, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 1353, "speed": 8000}}',
0.25,POSITION,'{"5": {"position": 1350, "speed": 8000}}',
0.48,POSITION,'{"5": {"position": 1348, "speed": 8000}}',
0.54,POSITION,'{"5": {"position": 1350, "speed": 8000}}',
0.55,POSITION,'{"5": {"position": 1356, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 1365, "speed": 8000}}',
0.58,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 1387, "speed": 8000}}',
0.59,POSITION,'{"5": {"position": 1399, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 1424, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 1438, "speed": 8000}}',
0.63,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',
0.63,POSITION,'{"5": {"position": 1464, "speed": 8000}}',
0.64,POSITION,'{"5": {"position": 1485, "speed": 8000}}',
0.65,POSITION,'{"5": {"position": 1495, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 1506, "speed": 8000}}',
0.68,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1624, "speed": 8000}}',
0.68,POSITION,'{"5": {"position": 1530, "speed": 8000}}',
0.69,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1621, "speed": 8000}}',
0.69,POSITION,'{"5": {"position": 1548, "speed": 8000}}',
0.7,POSITION,'{"5": {"position": 1554, "speed": 8000}}',
0.71,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',
0.71,POSITION,'{"5": {"position": 1565, "speed": 8000}}',
0.73,POSITION,'{"7": {"position": 1456, "speed": 8000}, "6": {"position": 1616, "speed": 8000}}',
0.73,POSITION,'{"5": {"position": 1568, "speed": 8000}}',
0.74,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',
0.74,POSITION,'{"5": {"position": 1573, "speed": 8000}}',
0.76,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',
0.76,POSITION,'{"5": {"position": 1575, "speed": 8000}}',
0.78,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',
0.79,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',
0.79,POSITION,'{"5": {"position": 1577, "speed": 8000}}',
0.8,POSITION,'{"7": {"position": 1469, "speed": 8000}, "6": {"position": 1601, "speed": 8000}}',
0.81,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1596, "speed": 8000}}',
0.83,POSITION,'{"7": {"position": 1474, "speed": 8000}, "6": {"position": 1594, "speed": 8000}}',
0.83,POSITION,'{"5": {"position": 1574, "speed": 8000}}',
0.84,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1591, "speed": 8000}}',
0.84,POSITION,'{"5": {"position": 1568, "speed": 8000}}',
0.85,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1589, "speed": 8000}}',
0.85,POSITION,'{"5": {"position": 1563, "speed": 8000}}',
0.87,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',
0.87,POSITION,'{"5": {"position": 1553, "speed": 8000}}',
0.88,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1583, "speed": 8000}}',
0.88,POSITION,'{"5": {"position": 1543, "speed": 8000}}',
0.89,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1581, "speed": 8000}}',
0.89,POSITION,'{"5": {"position": 1535, "speed": 8000}}',
0.9,POSITION,'{"7": {"position": 1486, "speed": 8000}, "6": {"position": 1579, "speed": 8000}}',
0.91,POSITION,'{"5": {"position": 1530, "speed": 8000}}',
0.92,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1577, "speed": 8000}}',
0.92,POSITION,'{"5": {"position": 1519, "speed": 8000}}',
0.93,POSITION,'{"5": {"position": 1512, "speed": 8000}}',
0.94,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',
0.94,POSITION,'{"5": {"position": 1496, "speed": 8000}}',
0.96,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1573, "speed": 8000}}',
0.96,POSITION,'{"5": {"position": 1479, "speed": 8000}}',
0.97,POSITION,'{"5": {"position": 1472, "speed": 8000}}',
0.98,POSITION,'{"7": {"position": 1492, "speed": 8000}, "6": {"position": 1571, "speed": 8000}}',
0.98,POSITION,'{"5": {"position": 1457, "speed": 8000}}',
