time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 2066, "speed": 8000}}',\\
0.01,POSITION,'{"0": {"position": 2042, "speed": 8000}}',\\
0.02,POSITION,'{"0": {"position": 2027, "speed": 8000}}',\\
0.03,POSITION,'{"0": {"position": 1986, "speed": 8000}}',\\
0.04,POSITION,'{"0": {"position": 1832, "speed": 8000}}',\\
0.06,POSITION,'{"0": {"position": 1793, "speed": 8000}}',\\
0.07,POSITION,'{"0": {"position": 1575, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 1547, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 1360, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1325, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1311, "speed": 8000}}',\\
0.13,POSITION,'{"0": {"position": 1293, "speed": 8000}}',\\
0.16,POSITION,'{"0": {"position": 1304, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1347, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1495, "speed": 8000}}',\\
0.2,POSITION,'{"0": {"position": 1526, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1716, "speed": 8000}}',\\
0.23,POSITION,'{"0": {"position": 1727, "speed": 8000}}',\\
0.24,POSITION,'{"0": {"position": 1761, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1793, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1802, "speed": 8000}}',\\
0.28,POSITION,'{"0": {"position": 1797, "speed": 8000}}',\\
0.29,POSITION,'{"0": {"position": 1633, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1598, "speed": 8000}}',\\
0.32,POSITION,'{"0": {"position": 1446, "speed": 8000}}',\\
0.33,POSITION,'{"0": {"position": 1422, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1383, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1366, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1342, "speed": 8000}}',\\
0.38,POSITION,'{"0": {"position": 1338, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1348, "speed": 8000}}',\\
0.41,POSITION,'{"0": {"position": 1357, "speed": 8000}}',\\
0.43,POSITION,'{"0": {"position": 1368, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1360, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1349, "speed": 8000}}',\\
0.46,POSITION,'{"0": {"position": 1316, "speed": 8000}}',\\
0.47,POSITION,'{"0": {"position": 1297, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1255, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1218, "speed": 8000}}',\\
0.51,POSITION,'{"0": {"position": 1202, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1180, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1168, "speed": 8000}}',\\
0.57,POSITION,'{"0": {"position": 1180, "speed": 8000}}',\\
0.58,POSITION,'{"0": {"position": 1195, "speed": 8000}}',\\
0.59,POSITION,'{"0": {"position": 1359, "speed": 8000}}',\\
0.6,POSITION,'{"0": {"position": 1368, "speed": 8000}}',\\
0.62,POSITION,'{"0": {"position": 1403, "speed": 8000}}',\\
0.63,POSITION,'{"0": {"position": 1451, "speed": 8000}}',\\
0.64,POSITION,'{"0": {"position": 1478, "speed": 8000}}',\\
0.66,POSITION,'{"0": {"position": 1625, "speed": 8000}}',\\
0.67,POSITION,'{"0": {"position": 1637, "speed": 8000}}',\\
0.68,POSITION,'{"0": {"position": 1679, "speed": 8000}}',\\
0.7,POSITION,'{"0": {"position": 1845, "speed": 8000}}',\\
0.71,POSITION,'{"0": {"position": 1853, "speed": 8000}}',\\
0.72,POSITION,'{"0": {"position": 1882, "speed": 8000}}',\\
0.74,POSITION,'{"0": {"position": 1900, "speed": 8000}}',\\
0.75,POSITION,'{"0": {"position": 1936, "speed": 8000}}',\\
0.76,POSITION,'{"0": {"position": 1955, "speed": 8000}}',\\
0.77,POSITION,'{"0": {"position": 1998, "speed": 8000}}',\\
0.79,POSITION,'{"0": {"position": 2040, "speed": 8000}}',\\
0.8,POSITION,'{"0": {"position": 2062, "speed": 8000}}',\\
0.81,POSITION,'{"0": {"position": 2107, "speed": 8000}}',\\
0.82,POSITION,'{"0": {"position": 2136, "speed": 8000}}',\\
0.84,POSITION,'{"0": {"position": 2147, "speed": 8000}}',\\
0.85,POSITION,'{"0": {"position": 2165, "speed": 8000}}',\\
0.86,POSITION,'{"0": {"position": 2171, "speed": 8000}}',\\
0.87,POSITION,'{"0": {"position": 2181, "speed": 8000}}',\\
0.89,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
2.36,POSITION,'{"0": {"position": 2185, "speed": 8000}}',\\
2.37,POSITION,'{"0": {"position": 2169, "speed": 8000}}',\\
2.39,POSITION,'{"0": {"position": 1961, "speed": 8000}}',\\
2.4,POSITION,'{"0": {"position": 1947, "speed": 8000}}',\\
2.41,POSITION,'{"0": {"position": 1898, "speed": 8000}}',\\
2.42,POSITION,'{"0": {"position": 1871, "speed": 8000}}',\\
2.44,POSITION,'{"0": {"position": 1828, "speed": 8000}}',\\
2.45,POSITION,'{"0": {"position": 1816, "speed": 8000}}',\\
2.46,POSITION,'{"0": {"position": 1819, "speed": 8000}}',\\
2.47,POSITION,'{"0": {"position": 1835, "speed": 8000}}',\\
2.49,POSITION,'{"0": {"position": 1885, "speed": 8000}}',\\
2.5,POSITION,'{"0": {"position": 1909, "speed": 8000}}',\\
2.51,POSITION,'{"0": {"position": 1940, "speed": 8000}}',\\
2.52,POSITION,'{"0": {"position": 1938, "speed": 8000}}',\\
2.54,POSITION,'{"0": {"position": 1757, "speed": 8000}}',\\
2.55,POSITION,'{"0": {"position": 1527, "speed": 8000}}',\\
2.57,POSITION,'{"0": {"position": 1307, "speed": 8000}}',\\
2.58,POSITION,'{"0": {"position": 1296, "speed": 8000}}',\\
2.59,POSITION,'{"0": {"position": 1263, "speed": 8000}}',\\
2.61,POSITION,'{"0": {"position": 1241, "speed": 8000}}',\\
2.62,POSITION,'{"0": {"position": 1243, "speed": 8000}}',\\
2.63,POSITION,'{"0": {"position": 1280, "speed": 8000}}',\\
2.64,POSITION,'{"0": {"position": 1446, "speed": 8000}}',\\
2.66,POSITION,'{"0": {"position": 1475, "speed": 8000}}',\\
2.67,POSITION,'{"0": {"position": 1495, "speed": 8000}}',\\
2.68,POSITION,'{"0": {"position": 1526, "speed": 8000}}',\\
2.69,POSITION,'{"0": {"position": 1528, "speed": 8000}}',\\
2.71,POSITION,'{"0": {"position": 1514, "speed": 8000}}',\\
2.72,POSITION,'{"0": {"position": 1493, "speed": 8000}}',\\
2.73,POSITION,'{"0": {"position": 1332, "speed": 8000}}',\\
2.74,POSITION,'{"0": {"position": 1181, "speed": 8000}}',\\
2.76,POSITION,'{"0": {"position": 1156, "speed": 8000}}',\\
2.77,POSITION,'{"0": {"position": 989, "speed": 8000}}',\\
2.78,POSITION,'{"0": {"position": 972, "speed": 8000}}',\\
2.8,POSITION,'{"0": {"position": 930, "speed": 8000}}',\\
2.81,POSITION,'{"0": {"position": 888, "speed": 8000}}',\\
2.83,POSITION,'{"0": {"position": 800, "speed": 8000}}',\\
2.85,POSITION,'{"0": {"position": 816, "speed": 8000}}',\\
2.87,POSITION,'{"0": {"position": 856, "speed": 8000}}',\\
2.88,POSITION,'{"0": {"position": 1000, "speed": 8000}}',\\
2.89,POSITION,'{"0": {"position": 1025, "speed": 8000}}',\\
2.9,POSITION,'{"0": {"position": 1048, "speed": 8000}}',\\
2.92,POSITION,'{"0": {"position": 1229, "speed": 8000}}',\\
2.93,POSITION,'{"0": {"position": 1256, "speed": 8000}}',\\
2.95,POSITION,'{"0": {"position": 1410, "speed": 8000}}',\\
2.96,POSITION,'{"0": {"position": 1430, "speed": 8000}}',\\
2.97,POSITION,'{"0": {"position": 1452, "speed": 8000}}',\\
2.98,POSITION,'{"0": {"position": 1501, "speed": 8000}}',\\
3.0,POSITION,'{"0": {"position": 1545, "speed": 8000}}',\\
3.01,POSITION,'{"0": {"position": 1563, "speed": 8000}}',\\
3.02,POSITION,'{"0": {"position": 1595, "speed": 8000}}',\\
3.04,POSITION,'{"0": {"position": 1614, "speed": 8000}}',\\
3.05,POSITION,'{"0": {"position": 1660, "speed": 8000}}',\\
3.06,POSITION,'{"0": {"position": 1686, "speed": 8000}}',\\
3.07,POSITION,'{"0": {"position": 1740, "speed": 8000}}',\\
3.08,POSITION,'{"0": {"position": 1789, "speed": 8000}}',\\
3.1,POSITION,'{"0": {"position": 1809, "speed": 8000}}',\\
3.11,POSITION,'{"0": {"position": 1840, "speed": 8000}}',\\
3.12,POSITION,'{"0": {"position": 1852, "speed": 8000}}',\\
3.13,POSITION,'{"0": {"position": 1879, "speed": 8000}}',\\
3.15,POSITION,'{"0": {"position": 1894, "speed": 8000}}',\\
3.16,POSITION,'{"0": {"position": 1929, "speed": 8000}}',\\
3.17,POSITION,'{"0": {"position": 1971, "speed": 8000}}',\\
3.19,POSITION,'{"0": {"position": 1992, "speed": 8000}}',\\
3.2,POSITION,'{"0": {"position": 2028, "speed": 8000}}',\\
3.21,POSITION,'{"0": {"position": 2044, "speed": 8000}}',\\
3.22,POSITION,'{"0": {"position": 2070, "speed": 8000}}',\\
3.23,POSITION,'{"0": {"position": 2082, "speed": 8000}}',\\
3.25,POSITION,'{"0": {"position": 2094, "speed": 8000}}',\\
3.26,POSITION,'{"0": {"position": 2123, "speed": 8000}}',\\
3.28,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
4.41,POSITION,'{"0": {"position": 2196, "speed": 8000}}',\\
4.42,POSITION,'{"0": {"position": 2193, "speed": 8000}}',\\
4.44,POSITION,'{"0": {"position": 2181, "speed": 8000}}',\\
4.45,POSITION,'{"0": {"position": 2174, "speed": 8000}}',\\
4.46,POSITION,'{"0": {"position": 2161, "speed": 8000}}',\\
4.48,POSITION,'{"0": {"position": 2153, "speed": 8000}}',\\
4.49,POSITION,'{"0": {"position": 2147, "speed": 8000}}',\\
4.5,POSITION,'{"0": {"position": 2145, "speed": 8000}}',\\
4.53,POSITION,'{"0": {"position": 2147, "speed": 8000}}',\\
4.54,POSITION,'{"0": {"position": 2151, "speed": 8000}}',\\
4.55,POSITION,'{"0": {"position": 2159, "speed": 8000}}',\\
4.56,POSITION,'{"0": {"position": 2162, "speed": 8000}}',\\
4.58,POSITION,'{"0": {"position": 2168, "speed": 8000}}',\\
4.59,POSITION,'{"0": {"position": 2173, "speed": 8000}}',\\
4.61,POSITION,'{"0": {"position": 2175, "speed": 8000}}',\\
4.64,POSITION,'{"0": {"position": 2177, "speed": 8000}}',\\
4.66,POSITION,'{"0": {"position": 2175, "speed": 8000}}',\\
4.67,POSITION,'{"0": {"position": 2169, "speed": 8000}}',\\
4.69,POSITION,'{"0": {"position": 2142, "speed": 8000}}',\\
4.7,POSITION,'{"0": {"position": 2123, "speed": 8000}}',\\
4.71,POSITION,'{"0": {"position": 1955, "speed": 8000}}',\\
4.72,POSITION,'{"0": {"position": 1943, "speed": 8000}}',\\
