time,instruction,arg_1,arg_2
0,POSITION,'{"12": {"position": 1381, "speed": 8000}}',
0,POSITION,'{"13": {"position": 1514, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 1518, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1521, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1384, "speed": 8000}}',
0.09,POSITION,'{"12": {"position": 1387, "speed": 8000}}',
0.09,POSITION,'{"13": {"position": 1524, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 1391, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 1395, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1400, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1404, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1406, "speed": 8000}}',
0.18,POSITION,'{"12": {"position": 1411, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1414, "speed": 8000}}',
0.22,POSITION,'{"12": {"position": 1417, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 1419, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1526, "speed": 8000}}',
0.3,POSITION,'{"12": {"position": 1422, "speed": 8000}}',
0.5,POSITION,'{"13": {"position": 1520, "speed": 8000}}',
0.52,POSITION,'{"13": {"position": 1515, "speed": 8000}}',
0.53,POSITION,'{"13": {"position": 1504, "speed": 8000}}',
0.54,POSITION,'{"13": {"position": 1499, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1490, "speed": 8000}}',
0.56,POSITION,'{"13": {"position": 1485, "speed": 8000}}',
0.58,POSITION,'{"13": {"position": 1475, "speed": 8000}}',
0.59,POSITION,'{"13": {"position": 1462, "speed": 8000}}',
0.6,POSITION,'{"13": {"position": 1456, "speed": 8000}}',
0.61,POSITION,'{"13": {"position": 1451, "speed": 8000}}',
0.63,POSITION,'{"13": {"position": 1443, "speed": 8000}}',
0.64,POSITION,'{"12": {"position": 1424, "speed": 8000}}',
0.64,POSITION,'{"13": {"position": 1435, "speed": 8000}}',
0.65,POSITION,'{"13": {"position": 1430, "speed": 8000}}',
0.66,POSITION,'{"13": {"position": 1412, "speed": 8000}}',
0.67,POSITION,'{"12": {"position": 1426, "speed": 8000}}',
0.68,POSITION,'{"13": {"position": 1403, "speed": 8000}}',
0.69,POSITION,'{"13": {"position": 1383, "speed": 8000}}',
0.7,POSITION,'{"13": {"position": 1371, "speed": 8000}}',
0.71,POSITION,'{"13": {"position": 1347, "speed": 8000}}',
0.73,POSITION,'{"13": {"position": 1335, "speed": 8000}}',
0.74,POSITION,'{"12": {"position": 1428, "speed": 8000}}',
0.74,POSITION,'{"13": {"position": 1310, "speed": 8000}}',
0.75,POSITION,'{"13": {"position": 1296, "speed": 8000}}',
0.76,POSITION,'{"12": {"position": 1431, "speed": 8000}}',
0.76,POSITION,'{"13": {"position": 1262, "speed": 8000}}',
0.78,POSITION,'{"13": {"position": 1242, "speed": 8000}}',
0.79,POSITION,'{"12": {"position": 1433, "speed": 8000}}',
0.79,POSITION,'{"13": {"position": 1206, "speed": 8000}}',
0.8,POSITION,'{"12": {"position": 1437, "speed": 8000}}',
0.8,POSITION,'{"13": {"position": 1172, "speed": 8000}}',
0.82,POSITION,'{"13": {"position": 1158, "speed": 8000}}',
0.83,POSITION,'{"12": {"position": 1440, "speed": 8000}}',
0.83,POSITION,'{"13": {"position": 1125, "speed": 8000}}',
0.84,POSITION,'{"12": {"position": 1443, "speed": 8000}}',
0.84,POSITION,'{"13": {"position": 1094, "speed": 8000}}',
0.85,POSITION,'{"13": {"position": 1078, "speed": 8000}}',
0.87,POSITION,'{"12": {"position": 1445, "speed": 8000}}',
0.87,POSITION,'{"13": {"position": 1050, "speed": 8000}}',
0.88,POSITION,'{"13": {"position": 1037, "speed": 8000}}',
0.89,POSITION,'{"13": {"position": 1017, "speed": 8000}}',
0.9,POSITION,'{"13": {"position": 1009, "speed": 8000}}',
0.92,POSITION,'{"12": {"position": 1447, "speed": 8000}}',
0.92,POSITION,'{"13": {"position": 996, "speed": 8000}}',
0.93,POSITION,'{"13": {"position": 980, "speed": 8000}}',
0.94,POSITION,'{"13": {"position": 971, "speed": 8000}}',
0.95,POSITION,'{"13": {"position": 962, "speed": 8000}}',
0.96,POSITION,'{"13": {"position": 948, "speed": 8000}}',
0.98,POSITION,'{"13": {"position": 943, "speed": 8000}}',
0.99,POSITION,'{"13": {"position": 935, "speed": 8000}}',
1.0,POSITION,'{"13": {"position": 932, "speed": 8000}}',
1.01,POSITION,'{"13": {"position": 928, "speed": 8000}}',
1.03,POSITION,'{"13": {"position": 925, "speed": 8000}}',
1.04,POSITION,'{"13": {"position": 920, "speed": 8000}}',
1.05,POSITION,'{"13": {"position": 917, "speed": 8000}}',
1.06,POSITION,'{"13": {"position": 910, "speed": 8000}}',
1.08,POSITION,'{"12": {"position": 1450, "speed": 8000}}',
1.08,POSITION,'{"13": {"position": 907, "speed": 8000}}',
1.09,POSITION,'{"13": {"position": 901, "speed": 8000}}',
1.1,POSITION,'{"12": {"position": 1452, "speed": 8000}}',
1.1,POSITION,'{"13": {"position": 899, "speed": 8000}}',
1.11,POSITION,'{"13": {"position": 895, "speed": 8000}}',
1.13,POSITION,'{"13": {"position": 892, "speed": 8000}}',
1.14,POSITION,'{"13": {"position": 887, "speed": 8000}}',
1.15,POSITION,'{"13": {"position": 885, "speed": 8000}}',
1.16,POSITION,'{"13": {"position": 882, "speed": 8000}}',
1.17,POSITION,'{"12": {"position": 1454, "speed": 8000}}',
1.17,POSITION,'{"13": {"position": 880, "speed": 8000}}',
1.21,POSITION,'{"13": {"position": 878, "speed": 8000}}',
1.26,POSITION,'{"13": {"position": 876, "speed": 8000}}',
1.33,POSITION,'{"13": {"position": 878, "speed": 8000}}',
1.34,POSITION,'{"13": {"position": 880, "speed": 8000}}',
1.35,POSITION,'{"12": {"position": 1451, "speed": 8000}}',
1.36,POSITION,'{"13": {"position": 882, "speed": 8000}}',
1.37,POSITION,'{"12": {"position": 1449, "speed": 8000}}',
1.41,POSITION,'{"13": {"position": 885, "speed": 8000}}',
1.53,POSITION,'{"13": {"position": 887, "speed": 8000}}',
1.55,POSITION,'{"13": {"position": 889, "speed": 8000}}',
1.57,POSITION,'{"13": {"position": 894, "speed": 8000}}',
1.58,POSITION,'{"12": {"position": 1447, "speed": 8000}}',
1.58,POSITION,'{"13": {"position": 897, "speed": 8000}}',
1.59,POSITION,'{"13": {"position": 904, "speed": 8000}}',
1.6,POSITION,'{"13": {"position": 907, "speed": 8000}}',
1.62,POSITION,'{"13": {"position": 912, "speed": 8000}}',
1.63,POSITION,'{"12": {"position": 1445, "speed": 8000}}',
1.63,POSITION,'{"13": {"position": 915, "speed": 8000}}',
1.64,POSITION,'{"13": {"position": 917, "speed": 8000}}',
1.65,POSITION,'{"13": {"position": 920, "speed": 8000}}',
1.67,POSITION,'{"12": {"position": 1443, "speed": 8000}}',
1.67,POSITION,'{"13": {"position": 922, "speed": 8000}}',
1.68,POSITION,'{"13": {"position": 926, "speed": 8000}}',
1.69,POSITION,'{"13": {"position": 928, "speed": 8000}}',
1.7,POSITION,'{"13": {"position": 932, "speed": 8000}}',
1.72,POSITION,'{"13": {"position": 934, "speed": 8000}}',
1.73,POSITION,'{"13": {"position": 942, "speed": 8000}}',
1.74,POSITION,'{"13": {"position": 947, "speed": 8000}}',
1.75,POSITION,'{"12": {"position": 1440, "speed": 8000}}',
1.75,POSITION,'{"13": {"position": 958, "speed": 8000}}',
1.77,POSITION,'{"13": {"position": 962, "speed": 8000}}',
1.78,POSITION,'{"13": {"position": 969, "speed": 8000}}',
1.79,POSITION,'{"13": {"position": 972, "speed": 8000}}',
1.8,POSITION,'{"13": {"position": 977, "speed": 8000}}',
1.82,POSITION,'{"13": {"position": 979, "speed": 8000}}',
1.83,POSITION,'{"13": {"position": 983, "speed": 8000}}',
1.84,POSITION,'{"13": {"position": 985, "speed": 8000}}',
1.85,POSITION,'{"13": {"position": 988, "speed": 8000}}',
1.87,POSITION,'{"12": {"position": 1437, "speed": 8000}}',
1.87,POSITION,'{"13": {"position": 994, "speed": 8000}}',
1.88,POSITION,'{"13": {"position": 997, "speed": 8000}}',
1.89,POSITION,'{"13": {"position": 1001, "speed": 8000}}',
1.9,POSITION,'{"13": {"position": 1003, "speed": 8000}}',
1.92,POSITION,'{"13": {"position": 1007, "speed": 8000}}',
1.94,POSITION,'{"13": {"position": 1009, "speed": 8000}}',
1.95,POSITION,'{"13": {"position": 1011, "speed": 8000}}',
1.96,POSITION,'{"13": {"position": 1013, "speed": 8000}}',
1.99,POSITION,'{"13": {"position": 1017, "speed": 8000}}',
2.0,POSITION,'{"13": {"position": 1019, "speed": 8000}}',
2.01,POSITION,'{"13": {"position": 1022, "speed": 8000}}',
2.02,POSITION,'{"12": {"position": 1434, "speed": 8000}}',
2.02,POSITION,'{"13": {"position": 1027, "speed": 8000}}',
2.03,POSITION,'{"13": {"position": 1029, "speed": 8000}}',
2.05,POSITION,'{"13": {"position": 1033, "speed": 8000}}',
2.06,POSITION,'{"12": {"position": 1432, "speed": 8000}}',
2.07,POSITION,'{"13": {"position": 1038, "speed": 8000}}',
2.09,POSITION,'{"13": {"position": 1041, "speed": 8000}}',
2.1,POSITION,'{"13": {"position": 1044, "speed": 8000}}',
2.12,POSITION,'{"13": {"position": 1046, "speed": 8000}}',
2.13,POSITION,'{"13": {"position": 1049, "speed": 8000}}',
2.14,POSITION,'{"13": {"position": 1051, "speed": 8000}}',
2.15,POSITION,'{"12": {"position": 1429, "speed": 8000}}',
2.16,POSITION,'{"13": {"position": 1060, "speed": 8000}}',
2.17,POSITION,'{"13": {"position": 1072, "speed": 8000}}',
2.18,POSITION,'{"13": {"position": 1078, "speed": 8000}}',
2.19,POSITION,'{"13": {"position": 1086, "speed": 8000}}',
2.2,POSITION,'{"13": {"position": 1089, "speed": 8000}}',
2.22,POSITION,'{"13": {"position": 1093, "speed": 8000}}',
2.23,POSITION,'{"13": {"position": 1095, "speed": 8000}}',
2.24,POSITION,'{"13": {"position": 1098, "speed": 8000}}',
2.26,POSITION,'{"13": {"position": 1100, "speed": 8000}}',
2.28,POSITION,'{"13": {"position": 1102, "speed": 8000}}',
2.35,POSITION,'{"13": {"position": 1105, "speed": 8000}}',
2.36,POSITION,'{"13": {"position": 1109, "speed": 8000}}',
2.38,POSITION,'{"13": {"position": 1111, "speed": 8000}}',
2.39,POSITION,'{"13": {"position": 1115, "speed": 8000}}',
2.41,POSITION,'{"13": {"position": 1118, "speed": 8000}}',
2.42,POSITION,'{"13": {"position": 1120, "speed": 8000}}',
2.44,POSITION,'{"12": {"position": 1426, "speed": 8000}}',
2.44,POSITION,'{"13": {"position": 1122, "speed": 8000}}',
2.45,POSITION,'{"13": {"position": 1126, "speed": 8000}}',
2.46,POSITION,'{"12": {"position": 1424, "speed": 8000}}',
2.46,POSITION,'{"13": {"position": 1128, "speed": 8000}}',
2.48,POSITION,'{"13": {"position": 1132, "speed": 8000}}',
2.49,POSITION,'{"13": {"position": 1134, "speed": 8000}}',
2.5,POSITION,'{"13": {"position": 1138, "speed": 8000}}',
2.52,POSITION,'{"13": {"position": 1141, "speed": 8000}}',
2.53,POSITION,'{"13": {"position": 1147, "speed": 8000}}',
2.55,POSITION,'{"13": {"position": 1149, "speed": 8000}}',
2.56,POSITION,'{"13": {"position": 1154, "speed": 8000}}',
2.57,POSITION,'{"13": {"position": 1157, "speed": 8000}}',
2.58,POSITION,'{"12": {"position": 1421, "speed": 8000}}',
2.58,POSITION,'{"13": {"position": 1162, "speed": 8000}}',
2.6,POSITION,'{"13": {"position": 1165, "speed": 8000}}',
2.61,POSITION,'{"13": {"position": 1174, "speed": 8000}}',
2.62,POSITION,'{"13": {"position": 1178, "speed": 8000}}',
2.63,POSITION,'{"13": {"position": 1186, "speed": 8000}}',
2.64,POSITION,'{"13": {"position": 1189, "speed": 8000}}',
2.66,POSITION,'{"13": {"position": 1193, "speed": 8000}}',
2.68,POSITION,'{"13": {"position": 1196, "speed": 8000}}',
2.7,POSITION,'{"13": {"position": 1198, "speed": 8000}}',
2.72,POSITION,'{"13": {"position": 1201, "speed": 8000}}',
2.73,POSITION,'{"12": {"position": 1418, "speed": 8000}}',
2.73,POSITION,'{"13": {"position": 1204, "speed": 8000}}',
2.74,POSITION,'{"13": {"position": 1208, "speed": 8000}}',
2.75,POSITION,'{"13": {"position": 1210, "speed": 8000}}',
2.77,POSITION,'{"13": {"position": 1215, "speed": 8000}}',
2.78,POSITION,'{"13": {"position": 1219, "speed": 8000}}',
2.79,POSITION,'{"12": {"position": 1415, "speed": 8000}}',
2.79,POSITION,'{"13": {"position": 1223, "speed": 8000}}',
2.8,POSITION,'{"13": {"position": 1231, "speed": 8000}}',
2.82,POSITION,'{"13": {"position": 1236, "speed": 8000}}',
2.83,POSITION,'{"12": {"position": 1413, "speed": 8000}}',
2.83,POSITION,'{"13": {"position": 1242, "speed": 8000}}',
2.84,POSITION,'{"13": {"position": 1244, "speed": 8000}}',
2.85,POSITION,'{"13": {"position": 1248, "speed": 8000}}',
2.87,POSITION,'{"13": {"position": 1250, "speed": 8000}}',
2.89,POSITION,'{"13": {"position": 1252, "speed": 8000}}',
2.9,POSITION,'{"13": {"position": 1255, "speed": 8000}}',
2.91,POSITION,'{"13": {"position": 1257, "speed": 8000}}',
