time,instruction,arg_1,arg_2
37.0,POSITION,'{"0": {"position": 2200, "speed": 8000}}',"\"\""
38.07,POSITION,'{"0": {"position": 2185, "speed": 8000}}',"\"\""
38.08,POSITION,'{"0": {"position": 2158, "speed": 8000}}',"\"\""
38.1,POSITION,'{"0": {"position": 2130, "speed": 8000}}',"\"\""
38.11,POSITION,'{"0": {"position": 1940, "speed": 8000}}',"\"\""
38.12,POSITION,'{"0": {"position": 1914, "speed": 8000}}',"\"\""
38.13,POSITION,'{"0": {"position": 1729, "speed": 8000}}',"\"\""
38.14,POSITION,'{"0": {"position": 1723, "speed": 8000}}',"\"\""
38.16,POSITION,'{"0": {"position": 1704, "speed": 8000}}',"\"\""
38.17,POSITION,'{"0": {"position": 1699, "speed": 8000}}',"\"\""
38.18,POSITION,'{"0": {"position": 1711, "speed": 8000}}',"\"\""
38.19,POSITION,'{"0": {"position": 1727, "speed": 8000}}',"\"\""
38.21,POSITION,'{"0": {"position": 1773, "speed": 8000}}',"\"\""
38.22,POSITION,'{"0": {"position": 1803, "speed": 8000}}',"\"\""
38.25,POSITION,'{"0": {"position": 1636, "speed": 8000}}',"\"\""
38.26,POSITION,'{"0": {"position": 1466, "speed": 8000}}',"\"\""
38.27,POSITION,'{"0": {"position": 1452, "speed": 8000}}',"\"\""
38.28,POSITION,'{"0": {"position": 1277, "speed": 8000}}',"\"\""
38.3,POSITION,'{"0": {"position": 1273, "speed": 8000}}',"\"\""
38.31,POSITION,'{"0": {"position": 1265, "speed": 8000}}',"\"\""
38.33,POSITION,'{"0": {"position": 1284, "speed": 8000}}',"\"\""
38.35,POSITION,'{"0": {"position": 1303, "speed": 8000}}',"\"\""
38.36,POSITION,'{"0": {"position": 1328, "speed": 8000}}',"\"\""
38.37,POSITION,'{"0": {"position": 1480, "speed": 8000}}',"\"\""
38.38,POSITION,'{"0": {"position": 1500, "speed": 8000}}',"\"\""
38.4,POSITION,'{"0": {"position": 1551, "speed": 8000}}',"\"\""
38.41,POSITION,'{"0": {"position": 1586, "speed": 8000}}',"\"\""
38.42,POSITION,'{"0": {"position": 1590, "speed": 8000}}',"\"\""
38.44,POSITION,'{"0": {"position": 1552, "speed": 8000}}',"\"\""
38.45,POSITION,'{"0": {"position": 1370, "speed": 8000}}',"\"\""
38.46,POSITION,'{"0": {"position": 1346, "speed": 8000}}',"\"\""
38.48,POSITION,'{"0": {"position": 1186, "speed": 8000}}',"\"\""
38.49,POSITION,'{"0": {"position": 1161, "speed": 8000}}',"\"\""
38.5,POSITION,'{"0": {"position": 1149, "speed": 8000}}',"\"\""
38.51,POSITION,'{"0": {"position": 1137, "speed": 8000}}',"\"\""
38.53,POSITION,'{"0": {"position": 1143, "speed": 8000}}',"\"\""
38.54,POSITION,'{"0": {"position": 1182, "speed": 8000}}',"\"\""
38.55,POSITION,'{"0": {"position": 1383, "speed": 8000}}',"\"\""
38.56,POSITION,'{"0": {"position": 1408, "speed": 8000}}',"\"\""
38.58,POSITION,'{"0": {"position": 1457, "speed": 8000}}',"\"\""
38.59,POSITION,'{"0": {"position": 1477, "speed": 8000}}',"\"\""
38.6,POSITION,'{"0": {"position": 1488, "speed": 8000}}',"\"\""
38.62,POSITION,'{"0": {"position": 1483, "speed": 8000}}',"\"\""
38.63,POSITION,'{"0": {"position": 1447, "speed": 8000}}',"\"\""
38.64,POSITION,'{"0": {"position": 1419, "speed": 8000}}',"\"\""
38.65,POSITION,'{"0": {"position": 1265, "speed": 8000}}',"\"\""
38.66,POSITION,'{"0": {"position": 1255, "speed": 8000}}',"\"\""
38.68,POSITION,'{"0": {"position": 1232, "speed": 8000}}',"\"\""
38.69,POSITION,'{"0": {"position": 1220, "speed": 8000}}',"\"\""
38.7,POSITION,'{"0": {"position": 1225, "speed": 8000}}',"\"\""
38.72,POSITION,'{"0": {"position": 1255, "speed": 8000}}',"\"\""
38.73,POSITION,'{"0": {"position": 1437, "speed": 8000}}',"\"\""
38.75,POSITION,'{"0": {"position": 1440, "speed": 8000}}',"\"\""
38.76,POSITION,'{"0": {"position": 1443, "speed": 8000}}',"\"\""
38.77,POSITION,'{"0": {"position": 1441, "speed": 8000}}',"\"\""
38.78,POSITION,'{"0": {"position": 1406, "speed": 8000}}',"\"\""
38.8,POSITION,'{"0": {"position": 1245, "speed": 8000}}',"\"\""
38.81,POSITION,'{"0": {"position": 1227, "speed": 8000}}',"\"\""
38.82,POSITION,'{"0": {"position": 1179, "speed": 8000}}',"\"\""
38.84,POSITION,'{"0": {"position": 1038, "speed": 8000}}',"\"\""
38.85,POSITION,'{"0": {"position": 1030, "speed": 8000}}',"\"\""
38.86,POSITION,'{"0": {"position": 1028, "speed": 8000}}',"\"\""
38.88,POSITION,'{"0": {"position": 1042, "speed": 8000}}',"\"\""
38.89,POSITION,'{"0": {"position": 1084, "speed": 8000}}',"\"\""
38.9,POSITION,'{"0": {"position": 1232, "speed": 8000}}',"\"\""
38.91,POSITION,'{"0": {"position": 1260, "speed": 8000}}',"\"\""
38.93,POSITION,'{"0": {"position": 1285, "speed": 8000}}',"\"\""
38.94,POSITION,'{"0": {"position": 1339, "speed": 8000}}',"\"\""
38.95,POSITION,'{"0": {"position": 1391, "speed": 8000}}',"\"\""
38.96,POSITION,'{"0": {"position": 1416, "speed": 8000}}',"\"\""
38.98,POSITION,'{"0": {"position": 1468, "speed": 8000}}',"\"\""
38.99,POSITION,'{"0": {"position": 1623, "speed": 8000}}',"\"\""
39.0,POSITION,'{"0": {"position": 1637, "speed": 8000}}',"\"\""
39.01,POSITION,'{"0": {"position": 1652, "speed": 8000}}',"\"\""
39.03,POSITION,'{"0": {"position": 1674, "speed": 8000}}',"\"\""
39.05,POSITION,'{"0": {"position": 1666, "speed": 8000}}',"\"\""
39.07,POSITION,'{"0": {"position": 1637, "speed": 8000}}',"\"\""
39.08,POSITION,'{"0": {"position": 1596, "speed": 8000}}',"\"\""
39.09,POSITION,'{"0": {"position": 1573, "speed": 8000}}',"\"\""
39.11,POSITION,'{"0": {"position": 1529, "speed": 8000}}',"\"\""
39.12,POSITION,'{"0": {"position": 1508, "speed": 8000}}',"\"\""
39.13,POSITION,'{"0": {"position": 1472, "speed": 8000}}',"\"\""
39.15,POSITION,'{"0": {"position": 1460, "speed": 8000}}',"\"\""
39.16,POSITION,'{"0": {"position": 1455, "speed": 8000}}',"\"\""
39.17,POSITION,'{"0": {"position": 1464, "speed": 8000}}',"\"\""
39.18,POSITION,'{"0": {"position": 1484, "speed": 8000}}',"\"\""
39.19,POSITION,'{"0": {"position": 1490, "speed": 8000}}',"\"\""
39.21,POSITION,'{"0": {"position": 1481, "speed": 8000}}',"\"\""
39.22,POSITION,'{"0": {"position": 1446, "speed": 8000}}',"\"\""
39.23,POSITION,'{"0": {"position": 1419, "speed": 8000}}',"\"\""
39.25,POSITION,'{"0": {"position": 1263, "speed": 8000}}',"\"\""
39.26,POSITION,'{"0": {"position": 1234, "speed": 8000}}',"\"\""
39.27,POSITION,'{"0": {"position": 1216, "speed": 8000}}',"\"\""
39.29,POSITION,'{"0": {"position": 1188, "speed": 8000}}',"\"\""
39.3,POSITION,'{"0": {"position": 1175, "speed": 8000}}',"\"\""
39.33,POSITION,'{"0": {"position": 1193, "speed": 8000}}',"\"\""
