time,instruction,arg_1,arg_2
0,POSITION,'{"0": {"position": 2200, "speed": 8000}}',\\
0.07,POSITION,'{"0": {"position": 2185, "speed": 8000}}',\\
0.08,POSITION,'{"0": {"position": 2158, "speed": 8000}}',\\
0.1,POSITION,'{"0": {"position": 2130, "speed": 8000}}',\\
0.11,POSITION,'{"0": {"position": 1940, "speed": 8000}}',\\
0.12,POSITION,'{"0": {"position": 1914, "speed": 8000}}',\\
0.13,POSITION,'{"0": {"position": 1729, "speed": 8000}}',\\
0.14,POSITION,'{"0": {"position": 1723, "speed": 8000}}',\\
0.16,POSITION,'{"0": {"position": 1704, "speed": 8000}}',\\
0.17,POSITION,'{"0": {"position": 1699, "speed": 8000}}',\\
0.18,POSITION,'{"0": {"position": 1711, "speed": 8000}}',\\
0.19,POSITION,'{"0": {"position": 1727, "speed": 8000}}',\\
0.21,POSITION,'{"0": {"position": 1773, "speed": 8000}}',\\
0.22,POSITION,'{"0": {"position": 1803, "speed": 8000}}',\\
0.25,POSITION,'{"0": {"position": 1636, "speed": 8000}}',\\
0.26,POSITION,'{"0": {"position": 1466, "speed": 8000}}',\\
0.27,POSITION,'{"0": {"position": 1452, "speed": 8000}}',\\
0.28,POSITION,'{"0": {"position": 1277, "speed": 8000}}',\\
0.3,POSITION,'{"0": {"position": 1273, "speed": 8000}}',\\
0.31,POSITION,'{"0": {"position": 1265, "speed": 8000}}',\\
0.33,POSITION,'{"0": {"position": 1284, "speed": 8000}}',\\
0.35,POSITION,'{"0": {"position": 1303, "speed": 8000}}',\\
0.36,POSITION,'{"0": {"position": 1328, "speed": 8000}}',\\
0.37,POSITION,'{"0": {"position": 1480, "speed": 8000}}',\\
0.38,POSITION,'{"0": {"position": 1500, "speed": 8000}}',\\
0.4,POSITION,'{"0": {"position": 1551, "speed": 8000}}',\\
0.41,POSITION,'{"0": {"position": 1586, "speed": 8000}}',\\
0.42,POSITION,'{"0": {"position": 1590, "speed": 8000}}',\\
0.44,POSITION,'{"0": {"position": 1552, "speed": 8000}}',\\
0.45,POSITION,'{"0": {"position": 1370, "speed": 8000}}',\\
0.46,POSITION,'{"0": {"position": 1346, "speed": 8000}}',\\
0.48,POSITION,'{"0": {"position": 1186, "speed": 8000}}',\\
0.49,POSITION,'{"0": {"position": 1161, "speed": 8000}}',\\
0.5,POSITION,'{"0": {"position": 1149, "speed": 8000}}',\\
0.51,POSITION,'{"0": {"position": 1137, "speed": 8000}}',\\
0.53,POSITION,'{"0": {"position": 1143, "speed": 8000}}',\\
0.54,POSITION,'{"0": {"position": 1182, "speed": 8000}}',\\
