time,instruction,arg_1,arg_2
0,PHONEME,O,1
0.15,PHONEME,etc,200
0.25,PHONEME,MBP,
0.29,PHONEME,E,
0.33,PHONEME,etc,
0.54,PHONEME,U,
0.62,PHONEME,AI,
0.67,PHONEME,etc,
0.75,PHONEME,E,
0.79,PHONEME,etc,
0.92,PHONEME,AI,
0.96,PHONEME,etc,
1.08,PHONEME,AI,
1.12,PHONEME,FV,80
1.21,PHONEME,E,
1.33,PHONEME,L,
1.42,PHONEME,AI,
1.54,PHONEME,etc,
1.62,PHONEME,rest,
2.25,PHONEME,O,
2.29,PHONEME,etc,
2.46,PHONEME,U,
2.58,PHONEME,etc,
2.71,PHONEME,AI,
2.88,PHONEME,etc,
2.96,PHONEME,AI,
3.0,PHONEME,etc,
3.12,PHONEME,rest,
3.25,PHONEME,L,
3.29,PHONEME,E,
3.38,PHONEME,etc,
3.42,PHONEME,AI,
3.46,PHONEME,etc,
3.58,PHONEME,AI,
3.71,PHONEME,MBP,
3.79,PHONEME,AI,
3.8,PHONEME,rest,800
