time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1563, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1457, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1554, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1548, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1545, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1543, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1472, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1545, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1548, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1550, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1565, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1568, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1570, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1468, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1573, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1466, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1575, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1464, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1578, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1462, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1581, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1585, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1454, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1588, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1446, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1443, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1592, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1436, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1596, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1433, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1427, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1603, "speed": 8000}}',""
