time,instruction,arg_1,arg_2
0.38,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 2009, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1987, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1761, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1342, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1182, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 994, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 983, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 967, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 925, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 905, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 877, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 869, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 887, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 911, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1102, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1128, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1302, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1322, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1509, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1545, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1729, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1893, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1927, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1954, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 2029, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 2078, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 2145, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 2127, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1748, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1547, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1316, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1295, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1123, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1086, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1071, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1057, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1064, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1229, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1701, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1847, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1863, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1822, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1367, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1183, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1175, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1170, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1178, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1350, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1577, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 1599, "speed": 8000}}',""
1.48,POSITION,'{"0": {"position": 1615, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1584, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1433, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 1396, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 1243, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 1220, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 1187, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1193, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1244, "speed": 8000}}',""
