time,instruction,arg_1,arg_2
0.27,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 2167, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 2147, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1972, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1784, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1343, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 1173, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1149, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1124, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 975, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 961, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 922, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 902, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 868, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 857, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 851, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 861, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 903, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1071, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1240, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1431, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1445, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1702, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1750, "speed": 8000}}',""
