time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 939, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1907, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 933, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1897, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 926, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1891, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 917, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1884, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 914, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1879, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 908, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1871, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 905, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1866, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 902, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1856, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 900, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1846, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1841, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 898, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1830, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 896, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1826, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1815, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 892, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1802, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 890, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1797, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 883, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1786, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 874, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1777, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 871, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1773, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 865, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1766, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 860, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1759, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 857, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 850, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1748, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 845, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1744, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 800, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1738, "speed": 8000}}',""
