time,instruction,arg_1,arg_2
0.54,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 2169, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 2152, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1938, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1628, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1612, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1427, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1423, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1428, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1444, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1709, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1821, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1625, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1603, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1428, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1378, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1380, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1391, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1429, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1618, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1627, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1673, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1701, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1860, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1886, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1921, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1938, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1978, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 2017, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 2054, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 2069, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 2094, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 2104, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 2148, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 2152, "speed": 8000}}',""
