time,instruction,arg_1,arg_2
0.05,POSITION,'{"12": {"position": 893, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 891, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 888, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 885, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 883, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 880, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 883, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1837, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 885, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1835, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 889, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1831, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 892, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1828, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 901, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1821, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 916, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1814, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 929, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1810, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 934, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 942, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1807, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 946, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1805, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 962, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1799, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 977, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1793, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1027, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1775, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1190, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1760, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1229, "speed": 8000}}',""
