time,instruction,arg_1,arg_2
0.32,POSITION,'{"12": {"position": 1492, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1488, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1486, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1484, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1482, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1477, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1474, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1470, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1457, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1507, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1503, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1495, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1430, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1492, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1419, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1487, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1404, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1393, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1499, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1321, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1514, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1284, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1528, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1267, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1533, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1235, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1541, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1220, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1545, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1196, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1177, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1164, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1159, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1563, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1152, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1568, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1148, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1572, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1146, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1575, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1580, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1144, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1595, "speed": 8000}}',""
0.93,POSITION,'{"12": {"position": 1142, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1615, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 1629, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1655, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1669, "speed": 8000}}',""
0.99,POSITION,'{"13": {"position": 1695, "speed": 8000}}',""
1.0,POSITION,'{"12": {"position": 1139, "speed": 8000}}',""
1.0,POSITION,'{"13": {"position": 1719, "speed": 8000}}',""
1.01,POSITION,'{"12": {"position": 1136, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1729, "speed": 8000}}',""
1.02,POSITION,'{"12": {"position": 1130, "speed": 8000}}',""
1.03,POSITION,'{"13": {"position": 1750, "speed": 8000}}',""
1.04,POSITION,'{"12": {"position": 1123, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1766, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1118, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1771, "speed": 8000}}',""
1.06,POSITION,'{"12": {"position": 1102, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1780, "speed": 8000}}',""
1.08,POSITION,'{"12": {"position": 1081, "speed": 8000}}',""
1.08,POSITION,'{"13": {"position": 1785, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1070, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 1789, "speed": 8000}}',""
1.1,POSITION,'{"12": {"position": 1047, "speed": 8000}}',""
1.1,POSITION,'{"13": {"position": 1795, "speed": 8000}}',""
1.12,POSITION,'{"12": {"position": 1037, "speed": 8000}}',""
1.12,POSITION,'{"13": {"position": 1799, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1018, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 1809, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1000, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 1818, "speed": 8000}}',""
1.16,POSITION,'{"12": {"position": 992, "speed": 8000}}',""
1.16,POSITION,'{"13": {"position": 1822, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 980, "speed": 8000}}',""
1.17,POSITION,'{"13": {"position": 1830, "speed": 8000}}',""
1.18,POSITION,'{"12": {"position": 975, "speed": 8000}}',""
1.18,POSITION,'{"13": {"position": 1835, "speed": 8000}}',""
1.2,POSITION,'{"12": {"position": 967, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 1846, "speed": 8000}}',""
1.21,POSITION,'{"12": {"position": 962, "speed": 8000}}',""
1.21,POSITION,'{"13": {"position": 1864, "speed": 8000}}',""
1.22,POSITION,'{"12": {"position": 959, "speed": 8000}}',""
1.23,POSITION,'{"13": {"position": 1875, "speed": 8000}}',""
1.24,POSITION,'{"12": {"position": 955, "speed": 8000}}',""
1.24,POSITION,'{"13": {"position": 1900, "speed": 8000}}',""
1.25,POSITION,'{"12": {"position": 953, "speed": 8000}}',""
1.25,POSITION,'{"13": {"position": 1922, "speed": 8000}}',""
1.26,POSITION,'{"13": {"position": 1932, "speed": 8000}}',""
1.28,POSITION,'{"12": {"position": 951, "speed": 8000}}',""
1.28,POSITION,'{"13": {"position": 1948, "speed": 8000}}',""
1.29,POSITION,'{"12": {"position": 949, "speed": 8000}}',""
1.29,POSITION,'{"13": {"position": 1961, "speed": 8000}}',""
1.31,POSITION,'{"12": {"position": 946, "speed": 8000}}',""
1.31,POSITION,'{"13": {"position": 1973, "speed": 8000}}',""
