time,instruction,arg_1,arg_2
0.05,POSITION,'{"5": {"position": 1378, "speed": 8000}}',""
0.07,POSITION,'{"5": {"position": 1376, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1373, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1370, "speed": 8000}}',""
0.31,POSITION,'{"5": {"position": 1368, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1366, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1364, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 1359, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1356, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1350, "speed": 8000}}',""
0.41,POSITION,'{"5": {"position": 1346, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1338, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1331, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1327, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1323, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1316, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1311, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1308, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1303, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1298, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1289, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1285, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1279, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1275, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1268, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1264, "speed": 8000}}',""
0.61,POSITION,'{"7": {"position": 1546, "speed": 8000}, "6": {"position": 1503, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1262, "speed": 8000}}',""
0.62,POSITION,'{"7": {"position": 1544, "speed": 8000}, "6": {"position": 1507, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1260, "speed": 8000}}',""
0.63,POSITION,'{"7": {"position": 1542, "speed": 8000}, "6": {"position": 1508, "speed": 8000}}',""
0.65,POSITION,'{"7": {"position": 1539, "speed": 8000}, "6": {"position": 1512, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 1263, "speed": 8000}}',""
0.66,POSITION,'{"7": {"position": 1537, "speed": 8000}, "6": {"position": 1515, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1265, "speed": 8000}}',""
0.67,POSITION,'{"7": {"position": 1534, "speed": 8000}, "6": {"position": 1518, "speed": 8000}}',""
0.67,POSITION,'{"5": {"position": 1277, "speed": 8000}}',""
0.68,POSITION,'{"7": {"position": 1532, "speed": 8000}, "6": {"position": 1522, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1294, "speed": 8000}}',""
0.7,POSITION,'{"7": {"position": 1530, "speed": 8000}, "6": {"position": 1523, "speed": 8000}}',""
0.7,POSITION,'{"5": {"position": 1307, "speed": 8000}}',""
0.71,POSITION,'{"7": {"position": 1529, "speed": 8000}, "6": {"position": 1525, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 1319, "speed": 8000}}',""
0.72,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1528, "speed": 8000}}',""
0.72,POSITION,'{"5": {"position": 1348, "speed": 8000}}',""
0.74,POSITION,'{"7": {"position": 1525, "speed": 8000}, "6": {"position": 1530, "speed": 8000}}',""
0.74,POSITION,'{"5": {"position": 1376, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 1389, "speed": 8000}}',""
0.76,POSITION,'{"7": {"position": 1524, "speed": 8000}, "6": {"position": 1532, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 1412, "speed": 8000}}',""
0.77,POSITION,'{"5": {"position": 1423, "speed": 8000}}',""
0.79,POSITION,'{"5": {"position": 1445, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1456, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1477, "speed": 8000}}',""
0.82,POSITION,'{"5": {"position": 1485, "speed": 8000}}',""
0.84,POSITION,'{"7": {"position": 1522, "speed": 8000}, "6": {"position": 1533, "speed": 8000}}',""
0.84,POSITION,'{"5": {"position": 1500, "speed": 8000}}',""
0.85,POSITION,'{"5": {"position": 1511, "speed": 8000}}',""
0.86,POSITION,'{"5": {"position": 1516, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1526, "speed": 8000}}',""
0.89,POSITION,'{"5": {"position": 1531, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1544, "speed": 8000}}',""
0.91,POSITION,'{"5": {"position": 1549, "speed": 8000}}',""
0.92,POSITION,'{"5": {"position": 1557, "speed": 8000}}',""
0.94,POSITION,'{"5": {"position": 1563, "speed": 8000}}',""
0.95,POSITION,'{"5": {"position": 1566, "speed": 8000}}',""
0.96,POSITION,'{"5": {"position": 1569, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1577, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1581, "speed": 8000}}',""
1.0,POSITION,'{"5": {"position": 1590, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1594, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1600, "speed": 8000}}',""
1.03,POSITION,'{"5": {"position": 1602, "speed": 8000}}',""
1.05,POSITION,'{"5": {"position": 1605, "speed": 8000}}',""
1.07,POSITION,'{"5": {"position": 1607, "speed": 8000}}',""
1.08,POSITION,'{"5": {"position": 1609, "speed": 8000}}',""
1.09,POSITION,'{"5": {"position": 1611, "speed": 8000}}',""
1.12,POSITION,'{"5": {"position": 1613, "speed": 8000}}',""
1.14,POSITION,'{"5": {"position": 1615, "speed": 8000}}',""
1.27,POSITION,'{"5": {"position": 1612, "speed": 8000}}',""
1.3,POSITION,'{"5": {"position": 1609, "speed": 8000}}',""
1.31,POSITION,'{"5": {"position": 1606, "speed": 8000}}',""
1.33,POSITION,'{"5": {"position": 1604, "speed": 8000}}',""
1.34,POSITION,'{"5": {"position": 1602, "speed": 8000}}',""
1.36,POSITION,'{"5": {"position": 1600, "speed": 8000}}',""
1.37,POSITION,'{"5": {"position": 1598, "speed": 8000}}',""
1.51,POSITION,'{"7": {"position": 1521, "speed": 8000}, "6": {"position": 1536, "speed": 8000}}',""
1.54,POSITION,'{"7": {"position": 1518, "speed": 8000}, "6": {"position": 1538, "speed": 8000}}',""
1.56,POSITION,'{"7": {"position": 1516, "speed": 8000}, "6": {"position": 1541, "speed": 8000}}',""
1.58,POSITION,'{"7": {"position": 1514, "speed": 8000}, "6": {"position": 1544, "speed": 8000}}',""
1.62,POSITION,'{"7": {"position": 1513, "speed": 8000}, "6": {"position": 1546, "speed": 8000}}',""
1.63,POSITION,'{"5": {"position": 1601, "speed": 8000}}',""
1.68,POSITION,'{"7": {"position": 1511, "speed": 8000}, "6": {"position": 1547, "speed": 8000}}',""
1.74,POSITION,'{"5": {"position": 1599, "speed": 8000}}',""
1.78,POSITION,'{"5": {"position": 1594, "speed": 8000}}',""
1.8,POSITION,'{"5": {"position": 1589, "speed": 8000}}',""
1.82,POSITION,'{"5": {"position": 1587, "speed": 8000}}',""
1.84,POSITION,'{"5": {"position": 1585, "speed": 8000}}',""
1.85,POSITION,'{"7": {"position": 1510, "speed": 8000}, "6": {"position": 1549, "speed": 8000}}',""
1.85,POSITION,'{"5": {"position": 1589, "speed": 8000}}',""
1.86,POSITION,'{"5": {"position": 1594, "speed": 8000}}',""
1.88,POSITION,'{"7": {"position": 1508, "speed": 8000}, "6": {"position": 1552, "speed": 8000}}',""
1.88,POSITION,'{"5": {"position": 1608, "speed": 8000}}',""
1.89,POSITION,'{"7": {"position": 1505, "speed": 8000}, "6": {"position": 1555, "speed": 8000}}',""
1.89,POSITION,'{"5": {"position": 1620, "speed": 8000}}',""
1.9,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1558, "speed": 8000}}',""
1.91,POSITION,'{"5": {"position": 1634, "speed": 8000}}',""
1.92,POSITION,'{"5": {"position": 1641, "speed": 8000}}',""
1.93,POSITION,'{"7": {"position": 1500, "speed": 8000}, "6": {"position": 1561, "speed": 8000}}',""
1.93,POSITION,'{"5": {"position": 1654, "speed": 8000}}',""
1.94,POSITION,'{"5": {"position": 1659, "speed": 8000}}',""
1.96,POSITION,'{"5": {"position": 1666, "speed": 8000}}',""
1.97,POSITION,'{"7": {"position": 1499, "speed": 8000}, "6": {"position": 1563, "speed": 8000}}',""
1.97,POSITION,'{"5": {"position": 1669, "speed": 8000}}',""
1.98,POSITION,'{"5": {"position": 1676, "speed": 8000}}',""
1.99,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',""
1.99,POSITION,'{"5": {"position": 1680, "speed": 8000}}',""
2.01,POSITION,'{"7": {"position": 1495, "speed": 8000}, "6": {"position": 1567, "speed": 8000}}',""
2.01,POSITION,'{"5": {"position": 1687, "speed": 8000}}',""
2.02,POSITION,'{"5": {"position": 1690, "speed": 8000}}',""
2.03,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
2.03,POSITION,'{"5": {"position": 1694, "speed": 8000}}',""
