time,instruction,arg_1,arg_2
0.08,POSITION,'{"5": {"position": 1485, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1483, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1626, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 1479, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1477, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1475, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1470, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1624, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1462, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1460, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1458, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 1455, "speed": 8000}}',""
0.27,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1628, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 1453, "speed": 8000}}',""
0.29,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1631, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1455, "speed": 8000}}',""
0.31,POSITION,'{"7": {"position": 1443, "speed": 8000}, "6": {"position": 1632, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1464, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1480, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1487, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1499, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 1503, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1512, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1515, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1525, "speed": 8000}}',""
0.41,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1631, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1530, "speed": 8000}}',""
0.43,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1544, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1554, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1557, "speed": 8000}}',""
0.47,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1626, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1562, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1560, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1551, "speed": 8000}}',""
0.52,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1619, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1539, "speed": 8000}}',""
0.53,POSITION,'{"7": {"position": 1456, "speed": 8000}, "6": {"position": 1617, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1532, "speed": 8000}}',""
0.54,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1612, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1507, "speed": 8000}}',""
0.56,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1481, "speed": 8000}}',""
0.57,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1465, "speed": 8000}}',""
0.58,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1599, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1426, "speed": 8000}}',""
0.6,POSITION,'{"7": {"position": 1474, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1375, "speed": 8000}}',""
0.61,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1349, "speed": 8000}}',""
0.62,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1583, "speed": 8000}}',""
0.63,POSITION,'{"5": {"position": 1297, "speed": 8000}}',""
0.64,POSITION,'{"7": {"position": 1486, "speed": 8000}, "6": {"position": 1579, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1256, "speed": 8000}}',""
0.65,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 1226, "speed": 8000}}',""
0.67,POSITION,'{"5": {"position": 1215, "speed": 8000}}',""
0.68,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1573, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 1200, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1202, "speed": 8000}}',""
