time,instruction,arg_1,arg_2
0.38,POSITION,'{"0": {"position": 2184, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 2173, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 2007, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1981, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1961, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1941, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1915, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1931, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1958, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2165, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 2147, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1944, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1749, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1536, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1488, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1461, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1460, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1456, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1426, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1271, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1250, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1092, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1046, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 906, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 888, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 869, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 864, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 878, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1042, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1062, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1245, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1402, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1437, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1578, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1608, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1634, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1801, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1846, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1998, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 2022, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 2036, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 2066, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 2098, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 2160, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1813, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1628, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1609, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1604, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1624, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1775, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1956, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1975, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 2027, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 2048, "speed": 8000}}',""
1.48,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
