time,instruction,arg_1,arg_2
0.42,POSITION,'{"0": {"position": 2126, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1905, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1888, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1727, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1703, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1649, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1628, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1616, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1621, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1667, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1837, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1814, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1659, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1489, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1315, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1137, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1124, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1106, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1075, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1067, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1086, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1297, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1460, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1520, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1545, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1715, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1731, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1898, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1931, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 2074, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 2092, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 2107, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 2133, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1948, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1711, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1691, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1663, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 1567, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 1583, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1793, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1809, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 1968, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 2019, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 2017, "speed": 8000}}',""
1.56,POSITION,'{"0": {"position": 1989, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1752, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1558, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1501, "speed": 8000}}',""
1.64,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 1554, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 1723, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 1747, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 1762, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1779, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 1766, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 1740, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1589, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1562, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 1544, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 1547, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 1580, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1649, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
