time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1170, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1639, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1174, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1181, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1634, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1186, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1627, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1623, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1189, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1616, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1192, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1609, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1605, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1195, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1603, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1198, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1599, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1202, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1596, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1204, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1590, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1207, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1584, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1581, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1578, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1576, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1209, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1574, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1211, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1214, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1568, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1217, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1220, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1223, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1227, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1230, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1235, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1554, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1238, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1243, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1245, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1247, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1252, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1256, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1258, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1546, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1267, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1539, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1274, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1535, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1293, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1521, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1320, "speed": 8000}}',""
