time,instruction,arg_1,arg_2
0.06,POSITION,'{"0": {"position": 2196, "speed": 8000}}',""
0.08,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.09,POSITION,'{"0": {"position": 2183, "speed": 8000}}',""
0.1,POSITION,'{"0": {"position": 2159, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 2149, "speed": 8000}}',""
0.13,POSITION,'{"0": {"position": 2142, "speed": 8000}}',""
0.14,POSITION,'{"0": {"position": 2155, "speed": 8000}}',""
0.15,POSITION,'{"0": {"position": 2162, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 2184, "speed": 8000}}',""
0.24,POSITION,'{"0": {"position": 2172, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 1961, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1625, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1266, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 1106, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 919, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 825, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 843, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1200, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1342, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1562, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1577, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1765, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1924, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1962, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1985, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 2023, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2033, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 2015, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1865, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1709, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1690, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1519, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1482, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1475, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1487, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1681, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1693, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1722, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1728, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1683, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1509, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1469, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1291, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1260, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1236, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1215, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1183, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1189, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1216, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1461, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1622, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1629, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1584, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1381, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1355, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1193, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1190, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1207, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1357, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1569, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1582, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1619, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1643, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1614, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1424, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1406, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1359, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1318, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1303, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1300, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1319, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1650, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1684, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1702, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1728, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1734, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1730, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1702, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1678, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1491, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1459, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1433, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1436, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1470, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1547, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1564, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1567, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 1352, "speed": 8000}}',""
1.48,POSITION,'{"0": {"position": 1317, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1295, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1259, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 1249, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 1254, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1258, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 1260, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1252, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1246, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1232, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1226, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1217, "speed": 8000}}',""
1.64,POSITION,'{"0": {"position": 1214, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 1217, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 1224, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 1256, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1573, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1748, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 1761, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 1961, "speed": 8000}}',""
