time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1248, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1623, "speed": 8000}}',""
0.01,POSITION,'{"12": {"position": 1254, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1617, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1256, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1614, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1258, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1610, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1262, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1605, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1266, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1603, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1271, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1598, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1277, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1593, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1282, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1585, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1285, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1581, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1291, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1575, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1298, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1305, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1567, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1312, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1316, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1325, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1330, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1339, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1555, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1345, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1348, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1354, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1356, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1360, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1363, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1366, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1545, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1369, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1371, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1543, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1540, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1374, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1537, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1377, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1534, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1382, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1531, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1387, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1527, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1389, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1523, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1393, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1521, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1517, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1513, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1401, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1510, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1405, "speed": 8000}}',""
