time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1623, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1481, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1619, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1617, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1492, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1497, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1607, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1501, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1602, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1504, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1597, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1506, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1595, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1593, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1590, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1593, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1597, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1598, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1588, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1564, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1548, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1542, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1533, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1520, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1514, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1511, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1508, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1502, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
