time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 1427, "speed": 8000}}',""
0.01,POSITION,'{"5": {"position": 1425, "speed": 8000}}',""
0.03,POSITION,'{"5": {"position": 1423, "speed": 8000}}',""
0.07,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1599, "speed": 8000}}',""
0.07,POSITION,'{"5": {"position": 1420, "speed": 8000}}',""
0.11,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1424, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1473, "speed": 8000}, "6": {"position": 1595, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1428, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1434, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1439, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1442, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1444, "speed": 8000}}',""
0.24,POSITION,'{"7": {"position": 1476, "speed": 8000}, "6": {"position": 1591, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 1447, "speed": 8000}}',""
0.32,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1589, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1445, "speed": 8000}}',""
0.37,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 1442, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1439, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1433, "speed": 8000}}',""
0.41,POSITION,'{"5": {"position": 1424, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1420, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1413, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1409, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1406, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1400, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1398, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1395, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1393, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1391, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1389, "speed": 8000}}',""
0.59,POSITION,'{"5": {"position": 1373, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1359, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1197, "speed": 8000}}',""
0.63,POSITION,'{"5": {"position": 1186, "speed": 8000}}',""
0.64,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 997, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 983, "speed": 8000}}',""
0.66,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1581, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 816, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 800, "speed": 8000}}',""
0.75,POSITION,'{"7": {"position": 1486, "speed": 8000}, "6": {"position": 1579, "speed": 8000}}',""
