time,instruction,arg_1,arg_2
0.32,POSITION,'{"0": {"position": 2178, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 2176, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 2173, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 2171, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 2169, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 2166, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 2157, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 2141, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 2124, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1786, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1406, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1240, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 998, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 981, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 948, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 938, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1085, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1384, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1767, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1773, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1783, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1794, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1782, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1762, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1538, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1486, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1453, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1449, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1629, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1795, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1814, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1831, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1805, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1647, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1611, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1449, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1402, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1367, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1359, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1375, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1545, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1559, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1724, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1728, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1737, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1727, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1708, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1486, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1468, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1432, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1412, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1418, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1464, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1660, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1690, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1700, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1696, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1656, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1500, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1435, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1416, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1388, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1386, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1398, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1565, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
