time,instruction,arg_1,arg_2
0.25,POSITION,'{"0": {"position": 2189, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 2194, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 2196, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 2198, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 2163, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1818, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1555, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1533, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1335, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1184, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1177, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1200, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1373, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1394, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1602, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1782, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1793, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1809, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1807, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1781, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1617, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1267, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1241, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 951, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 899, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 924, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1341, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1386, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1408, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1428, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1453, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1234, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1215, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1049, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1045, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1042, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1066, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1211, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1424, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1588, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1613, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1623, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1627, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1618, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1548, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1390, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1353, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1335, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1308, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1302, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1323, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1525, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1542, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1750, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1723, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1697, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1478, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1455, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1432, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1395, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1388, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1427, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1697, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1727, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 1735, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1730, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 1685, "speed": 8000}}',""
1.48,POSITION,'{"0": {"position": 1524, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1463, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 1449, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 1437, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1267, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1253, "speed": 8000}}',""
1.61,POSITION,'{"0": {"position": 1086, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1054, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1032, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 999, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 988, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 983, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 1014, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1160, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 1188, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1212, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 1370, "speed": 8000}}',""
1.75,POSITION,'{"0": {"position": 1384, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1426, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1578, "speed": 8000}}',""
1.78,POSITION,'{"0": {"position": 1594, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1779, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 1785, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 1819, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 1843, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1890, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1912, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1959, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1982, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 2025, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 2043, "speed": 8000}}',""
1.92,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 2104, "speed": 8000}}',""
1.96,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
1.97,POSITION,'{"0": {"position": 2127, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 2141, "speed": 8000}}',""
2.0,POSITION,'{"0": {"position": 2147, "speed": 8000}}',""
