time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1332, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 2199, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1341, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1358, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1374, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1389, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1396, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1410, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1422, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1444, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1448, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1462, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1463, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1451, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 2184, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 2177, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1417, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 2152, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1410, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 2140, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 2113, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1390, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 2100, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1369, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 2073, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1345, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 2043, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1318, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 2017, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1306, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 2003, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1284, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1973, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1264, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1943, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1255, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1928, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1240, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1902, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1223, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1877, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1213, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1866, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1193, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1844, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1177, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1819, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1169, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1807, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1150, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1784, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1137, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1774, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1107, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1092, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1745, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1067, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1728, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1057, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1720, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1040, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1703, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1028, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1688, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1023, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1679, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1014, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1664, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1010, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1659, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1000, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1650, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 990, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1644, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 984, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1642, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 975, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 967, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 964, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 960, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 956, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 939, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1643, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 918, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1660, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 906, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1668, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 895, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1678, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 878, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1700, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 865, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1718, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 860, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1726, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 852, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1743, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 848, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1751, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 842, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1767, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 835, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1780, "speed": 8000}}',""
