time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 940, "speed": 8000}}',""
0.03,POSITION,'{"7": {"position": 1526, "speed": 8000}, "6": {"position": 1529, "speed": 8000}}',""
0.04,POSITION,'{"5": {"position": 942, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 944, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 952, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1527, "speed": 8000}, "6": {"position": 1527, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 956, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 962, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1529, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 967, "speed": 8000}}',""
