time,instruction,arg_1,arg_2
0.18,POSITION,'{"0": {"position": 2175, "speed": 8000}}',""
0.19,POSITION,'{"0": {"position": 2152, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 1928, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 1723, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
0.24,POSITION,'{"0": {"position": 1517, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1479, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 1444, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1430, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1408, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1410, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1423, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1586, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 1602, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1608, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1551, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1391, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1349, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 888, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 803, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 810, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1006, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1191, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1216, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1227, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1230, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1197, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1003, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 977, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 803, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 809, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 817, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 836, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 853, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1043, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1062, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1242, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1634, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1784, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1817, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1859, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1885, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 2064, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 2068, "speed": 8000}}',""
