time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1931, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 1938, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1024, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 1946, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1027, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1955, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1032, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1959, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1034, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1965, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 1037, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1968, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1040, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 1971, "speed": 8000}}',
0.13,POSITION,'{"13": {"position": 1044, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1975, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1046, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1978, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 1054, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1982, "speed": 8000}}',
0.17,POSITION,'{"13": {"position": 1062, "speed": 8000}}',
0.18,POSITION,'{"13": {"position": 1066, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1985, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1078, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 1082, "speed": 8000}}',
0.22,POSITION,'{"12": {"position": 1988, "speed": 8000}}',
0.22,POSITION,'{"13": {"position": 1090, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1094, "speed": 8000}}',
0.24,POSITION,'{"13": {"position": 1103, "speed": 8000}}',
0.25,POSITION,'{"13": {"position": 1109, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 1990, "speed": 8000}}',
0.27,POSITION,'{"13": {"position": 1120, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1128, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1131, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1135, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1137, "speed": 8000}}',
0.33,POSITION,'{"13": {"position": 1139, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 1141, "speed": 8000}}',
0.38,POSITION,'{"13": {"position": 1144, "speed": 8000}}',
0.42,POSITION,'{"12": {"position": 1992, "speed": 8000}}',
0.43,POSITION,'{"12": {"position": 1995, "speed": 8000}}',
0.43,POSITION,'{"13": {"position": 1147, "speed": 8000}}',
0.45,POSITION,'{"12": {"position": 1998, "speed": 8000}}',
0.46,POSITION,'{"12": {"position": 2003, "speed": 8000}}',
