time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 1306, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1298, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 1288, "speed": 8000}}',
0.04,POSITION,'{"5": {"position": 1284, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1276, "speed": 8000}}',
0.07,POSITION,'{"5": {"position": 1272, "speed": 8000}}',
0.08,POSITION,'{"5": {"position": 1266, "speed": 8000}}',
0.09,POSITION,'{"5": {"position": 1261, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 1259, "speed": 8000}}',
0.12,POSITION,'{"5": {"position": 1256, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 1251, "speed": 8000}}',
0.14,POSITION,'{"5": {"position": 1247, "speed": 8000}}',
0.15,POSITION,'{"5": {"position": 1239, "speed": 8000}}',
0.16,POSITION,'{"5": {"position": 1234, "speed": 8000}}',
0.18,POSITION,'{"5": {"position": 1228, "speed": 8000}}',
0.19,POSITION,'{"5": {"position": 1225, "speed": 8000}}',
0.2,POSITION,'{"5": {"position": 1222, "speed": 8000}}',
0.23,POSITION,'{"5": {"position": 1219, "speed": 8000}}',
0.25,POSITION,'{"5": {"position": 1217, "speed": 8000}}',
0.26,POSITION,'{"5": {"position": 1214, "speed": 8000}}',
0.27,POSITION,'{"5": {"position": 1212, "speed": 8000}}',
0.3,POSITION,'{"5": {"position": 1210, "speed": 8000}}',
0.31,POSITION,'{"5": {"position": 1207, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 1202, "speed": 8000}}',
0.33,POSITION,'{"5": {"position": 1200, "speed": 8000}}',
0.34,POSITION,'{"5": {"position": 1196, "speed": 8000}}',
0.36,POSITION,'{"5": {"position": 1194, "speed": 8000}}',
0.38,POSITION,'{"5": {"position": 1192, "speed": 8000}}',
0.39,POSITION,'{"5": {"position": 1190, "speed": 8000}}',
0.41,POSITION,'{"5": {"position": 1188, "speed": 8000}}',
0.59,POSITION,'{"5": {"position": 1191, "speed": 8000}}',
0.61,POSITION,'{"5": {"position": 1193, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 1201, "speed": 8000}}',
0.64,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',
0.64,POSITION,'{"5": {"position": 1206, "speed": 8000}}',
0.65,POSITION,'{"5": {"position": 1219, "speed": 8000}}',
0.66,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1620, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 1226, "speed": 8000}}',
0.67,POSITION,'{"5": {"position": 1240, "speed": 8000}}',
0.69,POSITION,'{"5": {"position": 1246, "speed": 8000}}',
0.7,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',
0.7,POSITION,'{"5": {"position": 1262, "speed": 8000}}',
0.71,POSITION,'{"5": {"position": 1277, "speed": 8000}}',
0.72,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1624, "speed": 8000}}',
0.72,POSITION,'{"5": {"position": 1316, "speed": 8000}}',
0.74,POSITION,'{"5": {"position": 1336, "speed": 8000}}',
0.75,POSITION,'{"5": {"position": 1375, "speed": 8000}}',
0.76,POSITION,'{"5": {"position": 1401, "speed": 8000}}',
0.77,POSITION,'{"5": {"position": 1411, "speed": 8000}}',
0.79,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1626, "speed": 8000}}',
0.79,POSITION,'{"5": {"position": 1424, "speed": 8000}}',
0.8,POSITION,'{"5": {"position": 1432, "speed": 8000}}',
0.81,POSITION,'{"5": {"position": 1435, "speed": 8000}}',
0.83,POSITION,'{"5": {"position": 1440, "speed": 8000}}',
0.84,POSITION,'{"5": {"position": 1442, "speed": 8000}}',
0.86,POSITION,'{"5": {"position": 1444, "speed": 8000}}',
0.89,POSITION,'{"5": {"position": 1447, "speed": 8000}}',
0.91,POSITION,'{"5": {"position": 1449, "speed": 8000}}',
0.96,POSITION,'{"5": {"position": 1451, "speed": 8000}}',
