time,instruction,arg_1,arg_2
0.12,POSITION,'{"12": {"position": 1943, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1224, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1222, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1224, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1226, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1228, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1230, "speed": 8000}}',""
0.95,POSITION,'{"12": {"position": 1945, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1232, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1234, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1237, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1240, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1242, "speed": 8000}}',""
1.07,POSITION,'{"12": {"position": 1940, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1245, "speed": 8000}}',""
1.08,POSITION,'{"12": {"position": 1937, "speed": 8000}}',""
1.08,POSITION,'{"13": {"position": 1247, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1929, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 1252, "speed": 8000}}',""
1.1,POSITION,'{"12": {"position": 1925, "speed": 8000}}',""
1.11,POSITION,'{"13": {"position": 1255, "speed": 8000}}',""
1.12,POSITION,'{"12": {"position": 1912, "speed": 8000}}',""
1.12,POSITION,'{"13": {"position": 1261, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1905, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 1264, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1891, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 1270, "speed": 8000}}',""
1.16,POSITION,'{"12": {"position": 1876, "speed": 8000}}',""
1.16,POSITION,'{"13": {"position": 1276, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 1867, "speed": 8000}}',""
1.17,POSITION,'{"13": {"position": 1278, "speed": 8000}}',""
1.18,POSITION,'{"12": {"position": 1848, "speed": 8000}}',""
1.18,POSITION,'{"13": {"position": 1283, "speed": 8000}}',""
1.2,POSITION,'{"12": {"position": 1833, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 1288, "speed": 8000}}',""
1.21,POSITION,'{"12": {"position": 1827, "speed": 8000}}',""
1.21,POSITION,'{"13": {"position": 1292, "speed": 8000}}',""
1.22,POSITION,'{"12": {"position": 1814, "speed": 8000}}',""
1.23,POSITION,'{"13": {"position": 1300, "speed": 8000}}',""
