time,instruction,arg_1,arg_2
0.14,POSITION,'{"12": {"position": 1457, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1454, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1548, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1457, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1460, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1467, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1472, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1483, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1489, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1505, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1511, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1521, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1528, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1533, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1545, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1536, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1543, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1538, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1536, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1541, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1529, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1543, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1522, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1514, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1510, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1546, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1503, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1549, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1500, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1551, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1493, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1490, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1554, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1485, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1556, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1482, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1560, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1479, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1568, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1572, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1580, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1587, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1591, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1596, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1598, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1603, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1605, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1610, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1473, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1471, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1620, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1468, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1627, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1630, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1462, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1632, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1451, "speed": 8000}}',""
0.91,POSITION,'{"12": {"position": 1635, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1442, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1638, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1437, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 1641, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1429, "speed": 8000}}',""
