time,instruction,arg_1,arg_2
0.08,POSITION,'{"5": {"position": 812, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 827, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 871, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1441, "speed": 8000}, "6": {"position": 1635, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1017, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1437, "speed": 8000}, "6": {"position": 1641, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1052, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1430, "speed": 8000}, "6": {"position": 1649, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1212, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1426, "speed": 8000}, "6": {"position": 1654, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1237, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1420, "speed": 8000}, "6": {"position": 1662, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1407, "speed": 8000}}',""
0.19,POSITION,'{"7": {"position": 1417, "speed": 8000}, "6": {"position": 1665, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1422, "speed": 8000}}',""
0.2,POSITION,'{"7": {"position": 1414, "speed": 8000}, "6": {"position": 1669, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1461, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1413, "speed": 8000}, "6": {"position": 1671, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1483, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1411, "speed": 8000}, "6": {"position": 1673, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1517, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 1540, "speed": 8000}}',""
0.25,POSITION,'{"7": {"position": 1409, "speed": 8000}, "6": {"position": 1675, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1548, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 1558, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1561, "speed": 8000}}',""
0.29,POSITION,'{"7": {"position": 1408, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',""
0.29,POSITION,'{"5": {"position": 1563, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1566, "speed": 8000}}',""
0.34,POSITION,'{"7": {"position": 1406, "speed": 8000}, "6": {"position": 1679, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1559, "speed": 8000}}',""
0.35,POSITION,'{"7": {"position": 1404, "speed": 8000}, "6": {"position": 1681, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1548, "speed": 8000}}',""
0.36,POSITION,'{"7": {"position": 1403, "speed": 8000}, "6": {"position": 1683, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 1543, "speed": 8000}}',""
0.38,POSITION,'{"7": {"position": 1398, "speed": 8000}, "6": {"position": 1689, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1535, "speed": 8000}}',""
0.39,POSITION,'{"7": {"position": 1394, "speed": 8000}, "6": {"position": 1694, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1532, "speed": 8000}}',""
0.4,POSITION,'{"7": {"position": 1368, "speed": 8000}, "6": {"position": 1726, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1528, "speed": 8000}}',""
0.42,POSITION,'{"7": {"position": 1366, "speed": 8000}, "6": {"position": 1729, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1526, "speed": 8000}}',""
0.43,POSITION,'{"7": {"position": 1364, "speed": 8000}, "6": {"position": 1731, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1524, "speed": 8000}}',""
0.44,POSITION,'{"7": {"position": 1361, "speed": 8000}, "6": {"position": 1735, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1521, "speed": 8000}}',""
0.46,POSITION,'{"7": {"position": 1350, "speed": 8000}, "6": {"position": 1749, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1514, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1502, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1496, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1487, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1484, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1481, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1484, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1486, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1490, "speed": 8000}}',""
0.59,POSITION,'{"5": {"position": 1493, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1495, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1498, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1500, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1506, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 1510, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1516, "speed": 8000}}',""
0.67,POSITION,'{"5": {"position": 1519, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1522, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 1524, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1526, "speed": 8000}}',""
0.74,POSITION,'{"5": {"position": 1530, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 1537, "speed": 8000}}',""
0.77,POSITION,'{"7": {"position": 1358, "speed": 8000}, "6": {"position": 1739, "speed": 8000}}',""
0.77,POSITION,'{"5": {"position": 1557, "speed": 8000}}',""
0.78,POSITION,'{"7": {"position": 1360, "speed": 8000}, "6": {"position": 1737, "speed": 8000}}',""
0.78,POSITION,'{"5": {"position": 1572, "speed": 8000}}',""
0.8,POSITION,'{"7": {"position": 1385, "speed": 8000}, "6": {"position": 1705, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1606, "speed": 8000}}',""
