time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1524, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1448, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1528, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1530, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1533, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1535, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1538, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1540, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1543, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1545, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1547, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1444, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1442, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1542, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1539, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1437, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1531, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1435, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1517, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1510, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1431, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1498, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1429, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1484, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1474, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1426, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1448, "speed": 8000}}',""
