time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1627, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1448, "speed": 8000}}',""
0.01,POSITION,'{"12": {"position": 1620, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1617, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1610, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1606, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1451, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1602, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1453, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1599, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1456, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1595, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1593, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1589, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1587, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1585, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1583, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1469, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1581, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1471, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1473, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1579, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1476, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1577, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1478, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1480, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1574, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1483, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1572, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1490, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1569, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1493, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1495, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1567, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1498, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1565, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1502, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1504, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1508, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1560, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1513, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1558, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1515, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1556, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1519, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1554, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1522, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1524, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1552, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1549, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1547, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1527, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1545, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1530, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1542, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1540, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1537, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
1.07,POSITION,'{"12": {"position": 1527, "speed": 8000}}',""
1.08,POSITION,'{"12": {"position": 1520, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1517, "speed": 8000}}',""
1.1,POSITION,'{"12": {"position": 1512, "speed": 8000}}',""
1.12,POSITION,'{"12": {"position": 1510, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1507, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1504, "speed": 8000}}',""
1.16,POSITION,'{"12": {"position": 1502, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 1499, "speed": 8000}}',""
1.19,POSITION,'{"12": {"position": 1496, "speed": 8000}}',""
1.2,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
1.22,POSITION,'{"12": {"position": 1492, "speed": 8000}}',""
1.23,POSITION,'{"12": {"position": 1490, "speed": 8000}}',""
1.25,POSITION,'{"12": {"position": 1488, "speed": 8000}}',""
1.28,POSITION,'{"12": {"position": 1486, "speed": 8000}}',""
