time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1546, "speed": 8000}}',
0.0,POSITION,'{"13": {"position": 1389, "speed": 8000}}',
0.02,POSITION,'{"12": {"position": 1553, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 1384, "speed": 8000}}',
0.03,POSITION,'{"12": {"position": 1568, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 1376, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 1581, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1369, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 1587, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1367, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1596, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1362, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1605, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1358, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1609, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 1356, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1618, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1352, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 1627, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 1347, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1632, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1344, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1637, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 1341, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1645, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 1333, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1651, "speed": 8000}}',
0.18,POSITION,'{"13": {"position": 1324, "speed": 8000}}',
0.19,POSITION,'{"12": {"position": 1653, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1320, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1656, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 1315, "speed": 8000}}',
0.21,POSITION,'{"13": {"position": 1313, "speed": 8000}}',
0.22,POSITION,'{"12": {"position": 1658, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1310, "speed": 8000}}',
0.24,POSITION,'{"12": {"position": 1662, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 1665, "speed": 8000}}',
0.26,POSITION,'{"12": {"position": 1670, "speed": 8000}}',
0.26,POSITION,'{"13": {"position": 1308, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1672, "speed": 8000}}',
0.29,POSITION,'{"12": {"position": 1676, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1312, "speed": 8000}}',
0.3,POSITION,'{"12": {"position": 1678, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1317, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1319, "speed": 8000}}',
0.33,POSITION,'{"12": {"position": 1680, "speed": 8000}}',
0.33,POSITION,'{"13": {"position": 1323, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1325, "speed": 8000}}',
0.4,POSITION,'{"12": {"position": 1682, "speed": 8000}}',
0.41,POSITION,'{"13": {"position": 1322, "speed": 8000}}',
0.45,POSITION,'{"13": {"position": 1318, "speed": 8000}}',
0.46,POSITION,'{"13": {"position": 1315, "speed": 8000}}',
0.47,POSITION,'{"12": {"position": 1684, "speed": 8000}}',
0.47,POSITION,'{"13": {"position": 1306, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1295, "speed": 8000}}',
0.5,POSITION,'{"12": {"position": 1688, "speed": 8000}}',
0.5,POSITION,'{"13": {"position": 1290, "speed": 8000}}',
0.51,POSITION,'{"12": {"position": 1691, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1279, "speed": 8000}}',
0.52,POSITION,'{"12": {"position": 1694, "speed": 8000}}',
0.52,POSITION,'{"13": {"position": 1269, "speed": 8000}}',
0.54,POSITION,'{"12": {"position": 1696, "speed": 8000}}',
0.54,POSITION,'{"13": {"position": 1264, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1251, "speed": 8000}}',
0.56,POSITION,'{"13": {"position": 1244, "speed": 8000}}',
0.57,POSITION,'{"12": {"position": 1698, "speed": 8000}}',
0.57,POSITION,'{"13": {"position": 1231, "speed": 8000}}',
0.59,POSITION,'{"13": {"position": 1225, "speed": 8000}}',
0.6,POSITION,'{"12": {"position": 1702, "speed": 8000}}',
0.6,POSITION,'{"13": {"position": 1214, "speed": 8000}}',
0.62,POSITION,'{"12": {"position": 1707, "speed": 8000}}',
0.62,POSITION,'{"13": {"position": 1206, "speed": 8000}}',
0.63,POSITION,'{"12": {"position": 1713, "speed": 8000}}',
0.63,POSITION,'{"13": {"position": 1200, "speed": 8000}}',
0.64,POSITION,'{"12": {"position": 1716, "speed": 8000}}',
0.64,POSITION,'{"13": {"position": 1198, "speed": 8000}}',
0.66,POSITION,'{"12": {"position": 1722, "speed": 8000}}',
0.66,POSITION,'{"13": {"position": 1195, "speed": 8000}}',
0.67,POSITION,'{"12": {"position": 1725, "speed": 8000}}',
0.68,POSITION,'{"12": {"position": 1727, "speed": 8000}}',
0.68,POSITION,'{"13": {"position": 1193, "speed": 8000}}',
0.69,POSITION,'{"12": {"position": 1733, "speed": 8000}}',
0.71,POSITION,'{"12": {"position": 1736, "speed": 8000}}',
0.72,POSITION,'{"12": {"position": 1739, "speed": 8000}}',
0.74,POSITION,'{"12": {"position": 1741, "speed": 8000}}',
0.75,POSITION,'{"12": {"position": 1743, "speed": 8000}}',
0.77,POSITION,'{"12": {"position": 1745, "speed": 8000}}',
0.77,POSITION,'{"13": {"position": 1197, "speed": 8000}}',
0.78,POSITION,'{"13": {"position": 1199, "speed": 8000}}',
0.79,POSITION,'{"13": {"position": 1204, "speed": 8000}}',
0.8,POSITION,'{"12": {"position": 1748, "speed": 8000}}',
0.81,POSITION,'{"13": {"position": 1206, "speed": 8000}}',
0.82,POSITION,'{"13": {"position": 1210, "speed": 8000}}',
0.83,POSITION,'{"12": {"position": 1750, "speed": 8000}}',
0.83,POSITION,'{"13": {"position": 1214, "speed": 8000}}',
0.84,POSITION,'{"13": {"position": 1217, "speed": 8000}}',
0.86,POSITION,'{"12": {"position": 1753, "speed": 8000}}',
0.86,POSITION,'{"13": {"position": 1224, "speed": 8000}}',
0.87,POSITION,'{"12": {"position": 1756, "speed": 8000}}',
0.87,POSITION,'{"13": {"position": 1229, "speed": 8000}}',
0.88,POSITION,'{"12": {"position": 1763, "speed": 8000}}',
0.88,POSITION,'{"13": {"position": 1240, "speed": 8000}}',
0.9,POSITION,'{"12": {"position": 1769, "speed": 8000}}',
0.9,POSITION,'{"13": {"position": 1252, "speed": 8000}}',
0.91,POSITION,'{"12": {"position": 1772, "speed": 8000}}',
0.91,POSITION,'{"13": {"position": 1257, "speed": 8000}}',
0.92,POSITION,'{"12": {"position": 1777, "speed": 8000}}',
0.92,POSITION,'{"13": {"position": 1266, "speed": 8000}}',
0.93,POSITION,'{"13": {"position": 1269, "speed": 8000}}',
0.95,POSITION,'{"12": {"position": 1781, "speed": 8000}}',
0.95,POSITION,'{"13": {"position": 1274, "speed": 8000}}',
0.96,POSITION,'{"12": {"position": 1783, "speed": 8000}}',
0.96,POSITION,'{"13": {"position": 1276, "speed": 8000}}',
0.97,POSITION,'{"12": {"position": 1785, "speed": 8000}}',
0.98,POSITION,'{"13": {"position": 1279, "speed": 8000}}',
0.99,POSITION,'{"12": {"position": 1788, "speed": 8000}}',
1.01,POSITION,'{"13": {"position": 1281, "speed": 8000}}',
1.02,POSITION,'{"12": {"position": 1791, "speed": 8000}}',
1.03,POSITION,'{"12": {"position": 1794, "speed": 8000}}',
1.04,POSITION,'{"12": {"position": 1796, "speed": 8000}}',
1.06,POSITION,'{"13": {"position": 1284, "speed": 8000}}',
1.07,POSITION,'{"12": {"position": 1799, "speed": 8000}}',
1.19,POSITION,'{"13": {"position": 1280, "speed": 8000}}',
1.2,POSITION,'{"13": {"position": 1278, "speed": 8000}}',
1.23,POSITION,'{"13": {"position": 1275, "speed": 8000}}',
1.25,POSITION,'{"12": {"position": 1797, "speed": 8000}}',
1.27,POSITION,'{"13": {"position": 1273, "speed": 8000}}',
1.28,POSITION,'{"13": {"position": 1271, "speed": 8000}}',
1.3,POSITION,'{"13": {"position": 1269, "speed": 8000}}',
1.32,POSITION,'{"13": {"position": 1266, "speed": 8000}}',
1.41,POSITION,'{"12": {"position": 1795, "speed": 8000}}',
1.46,POSITION,'{"12": {"position": 1792, "speed": 8000}}',
1.51,POSITION,'{"12": {"position": 1790, "speed": 8000}}',
1.53,POSITION,'{"12": {"position": 1788, "speed": 8000}}',
1.54,POSITION,'{"12": {"position": 1785, "speed": 8000}}',
1.55,POSITION,'{"13": {"position": 1269, "speed": 8000}}',
1.56,POSITION,'{"12": {"position": 1783, "speed": 8000}}',
1.58,POSITION,'{"13": {"position": 1271, "speed": 8000}}',
1.6,POSITION,'{"12": {"position": 1780, "speed": 8000}}',
1.61,POSITION,'{"12": {"position": 1778, "speed": 8000}}',
1.63,POSITION,'{"13": {"position": 1274, "speed": 8000}}',
1.64,POSITION,'{"12": {"position": 1776, "speed": 8000}}',
1.65,POSITION,'{"12": {"position": 1774, "speed": 8000}}',
1.65,POSITION,'{"13": {"position": 1278, "speed": 8000}}',
1.66,POSITION,'{"13": {"position": 1280, "speed": 8000}}',
1.68,POSITION,'{"13": {"position": 1282, "speed": 8000}}',
1.69,POSITION,'{"12": {"position": 1772, "speed": 8000}}',
1.69,POSITION,'{"13": {"position": 1285, "speed": 8000}}',
1.7,POSITION,'{"13": {"position": 1287, "speed": 8000}}',
1.71,POSITION,'{"12": {"position": 1770, "speed": 8000}}',
1.74,POSITION,'{"12": {"position": 1768, "speed": 8000}}',
1.75,POSITION,'{"12": {"position": 1766, "speed": 8000}}',
1.78,POSITION,'{"12": {"position": 1764, "speed": 8000}}',
1.79,POSITION,'{"13": {"position": 1284, "speed": 8000}}',
1.8,POSITION,'{"12": {"position": 1762, "speed": 8000}}',
1.8,POSITION,'{"13": {"position": 1278, "speed": 8000}}',
1.81,POSITION,'{"13": {"position": 1274, "speed": 8000}}',
1.82,POSITION,'{"13": {"position": 1261, "speed": 8000}}',
1.84,POSITION,'{"13": {"position": 1253, "speed": 8000}}',
1.85,POSITION,'{"12": {"position": 1759, "speed": 8000}}',
1.85,POSITION,'{"13": {"position": 1239, "speed": 8000}}',
1.86,POSITION,'{"13": {"position": 1232, "speed": 8000}}',
1.87,POSITION,'{"13": {"position": 1222, "speed": 8000}}',
1.89,POSITION,'{"13": {"position": 1218, "speed": 8000}}',
1.9,POSITION,'{"13": {"position": 1210, "speed": 8000}}',
1.91,POSITION,'{"12": {"position": 1762, "speed": 8000}}',
1.91,POSITION,'{"13": {"position": 1203, "speed": 8000}}',
1.92,POSITION,'{"13": {"position": 1199, "speed": 8000}}',
1.94,POSITION,'{"13": {"position": 1193, "speed": 8000}}',
1.95,POSITION,'{"12": {"position": 1765, "speed": 8000}}',
1.95,POSITION,'{"13": {"position": 1181, "speed": 8000}}',
