time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1546, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 1542, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 1533, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1528, "speed": 8000}}',
0.05,POSITION,'{"13": {"position": 1520, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1517, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1513, "speed": 8000}}',
0.09,POSITION,'{"12": {"position": 1428, "speed": 8000}}',
0.09,POSITION,'{"13": {"position": 1507, "speed": 8000}}',
0.1,POSITION,'{"13": {"position": 1504, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1431, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1496, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 1434, "speed": 8000}}',
0.13,POSITION,'{"13": {"position": 1493, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1487, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1436, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 1483, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1439, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1481, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1441, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1483, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1485, "speed": 8000}}',
0.37,POSITION,'{"13": {"position": 1487, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1489, "speed": 8000}}',
0.41,POSITION,'{"13": {"position": 1491, "speed": 8000}}',
0.42,POSITION,'{"13": {"position": 1494, "speed": 8000}}',
0.47,POSITION,'{"13": {"position": 1497, "speed": 8000}}',
0.55,POSITION,'{"13": {"position": 1493, "speed": 8000}}',
0.56,POSITION,'{"12": {"position": 1461, "speed": 8000}}',
0.56,POSITION,'{"13": {"position": 1474, "speed": 8000}}',
0.57,POSITION,'{"12": {"position": 1477, "speed": 8000}}',
0.58,POSITION,'{"13": {"position": 1311, "speed": 8000}}',
