time,instruction,arg_1,arg_2
0,POSITION,'{"13": {"position": 1018, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 1016, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1876, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1879, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1882, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 1885, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1890, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1893, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1898, "speed": 8000}}',
0.18,POSITION,'{"12": {"position": 1901, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1906, "speed": 8000}}',
0.21,POSITION,'{"12": {"position": 1908, "speed": 8000}}',
0.22,POSITION,'{"12": {"position": 1914, "speed": 8000}}',
0.23,POSITION,'{"12": {"position": 1918, "speed": 8000}}',
0.23,POSITION,'{"13": {"position": 1014, "speed": 8000}}',
0.25,POSITION,'{"12": {"position": 1927, "speed": 8000}}',
0.26,POSITION,'{"12": {"position": 1933, "speed": 8000}}',
0.27,POSITION,'{"12": {"position": 1936, "speed": 8000}}',
0.28,POSITION,'{"12": {"position": 1939, "speed": 8000}}',
0.29,POSITION,'{"13": {"position": 1012, "speed": 8000}}',
0.3,POSITION,'{"13": {"position": 1009, "speed": 8000}}',
0.31,POSITION,'{"12": {"position": 1942, "speed": 8000}}',
0.31,POSITION,'{"13": {"position": 1005, "speed": 8000}}',
0.32,POSITION,'{"13": {"position": 1002, "speed": 8000}}',
0.34,POSITION,'{"12": {"position": 1946, "speed": 8000}}',
0.34,POSITION,'{"13": {"position": 999, "speed": 8000}}',
0.35,POSITION,'{"12": {"position": 1950, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 997, "speed": 8000}}',
0.36,POSITION,'{"12": {"position": 1953, "speed": 8000}}',
0.38,POSITION,'{"12": {"position": 1956, "speed": 8000}}',
0.38,POSITION,'{"13": {"position": 995, "speed": 8000}}',
0.4,POSITION,'{"12": {"position": 1959, "speed": 8000}}',
0.41,POSITION,'{"13": {"position": 993, "speed": 8000}}',
0.43,POSITION,'{"12": {"position": 1962, "speed": 8000}}',
0.44,POSITION,'{"12": {"position": 1964, "speed": 8000}}',
0.45,POSITION,'{"12": {"position": 1968, "speed": 8000}}',
0.46,POSITION,'{"12": {"position": 1970, "speed": 8000}}',
0.47,POSITION,'{"12": {"position": 1973, "speed": 8000}}',
0.49,POSITION,'{"12": {"position": 1975, "speed": 8000}}',
0.52,POSITION,'{"12": {"position": 1978, "speed": 8000}}',
0.53,POSITION,'{"13": {"position": 991, "speed": 8000}}',
0.55,POSITION,'{"12": {"position": 1981, "speed": 8000}}',
0.57,POSITION,'{"12": {"position": 1983, "speed": 8000}}',
0.59,POSITION,'{"12": {"position": 1986, "speed": 8000}}',
0.61,POSITION,'{"12": {"position": 1989, "speed": 8000}}',
0.62,POSITION,'{"12": {"position": 1993, "speed": 8000}}',
0.64,POSITION,'{"12": {"position": 1997, "speed": 8000}}',
0.65,POSITION,'{"12": {"position": 2004, "speed": 8000}}',
0.65,POSITION,'{"13": {"position": 989, "speed": 8000}}',
0.67,POSITION,'{"12": {"position": 2006, "speed": 8000}}',
0.68,POSITION,'{"12": {"position": 2008, "speed": 8000}}',
0.68,POSITION,'{"13": {"position": 987, "speed": 8000}}',
0.69,POSITION,'{"12": {"position": 2012, "speed": 8000}}',
0.69,POSITION,'{"13": {"position": 983, "speed": 8000}}',
0.7,POSITION,'{"12": {"position": 2014, "speed": 8000}}',
0.72,POSITION,'{"12": {"position": 2017, "speed": 8000}}',
0.72,POSITION,'{"13": {"position": 978, "speed": 8000}}',
0.73,POSITION,'{"13": {"position": 975, "speed": 8000}}',
0.74,POSITION,'{"12": {"position": 2025, "speed": 8000}}',
0.74,POSITION,'{"13": {"position": 969, "speed": 8000}}',
0.75,POSITION,'{"12": {"position": 2027, "speed": 8000}}',
0.76,POSITION,'{"13": {"position": 964, "speed": 8000}}',
0.77,POSITION,'{"12": {"position": 2030, "speed": 8000}}',
0.77,POSITION,'{"13": {"position": 955, "speed": 8000}}',
0.78,POSITION,'{"12": {"position": 2033, "speed": 8000}}',
0.78,POSITION,'{"13": {"position": 947, "speed": 8000}}',
0.79,POSITION,'{"13": {"position": 943, "speed": 8000}}',
0.81,POSITION,'{"12": {"position": 2036, "speed": 8000}}',
0.81,POSITION,'{"13": {"position": 937, "speed": 8000}}',
0.82,POSITION,'{"13": {"position": 931, "speed": 8000}}',
0.83,POSITION,'{"12": {"position": 2038, "speed": 8000}}',
0.83,POSITION,'{"13": {"position": 929, "speed": 8000}}',
0.84,POSITION,'{"12": {"position": 2040, "speed": 8000}}',
0.85,POSITION,'{"13": {"position": 924, "speed": 8000}}',
0.86,POSITION,'{"13": {"position": 921, "speed": 8000}}',
0.87,POSITION,'{"12": {"position": 2043, "speed": 8000}}',
0.87,POSITION,'{"13": {"position": 916, "speed": 8000}}',
0.88,POSITION,'{"12": {"position": 2045, "speed": 8000}}',
0.88,POSITION,'{"13": {"position": 908, "speed": 8000}}',
0.9,POSITION,'{"12": {"position": 2048, "speed": 8000}}',
0.9,POSITION,'{"13": {"position": 905, "speed": 8000}}',
0.91,POSITION,'{"13": {"position": 901, "speed": 8000}}',
0.92,POSITION,'{"12": {"position": 2050, "speed": 8000}}',
0.92,POSITION,'{"13": {"position": 893, "speed": 8000}}',
0.93,POSITION,'{"12": {"position": 2053, "speed": 8000}}',
0.93,POSITION,'{"13": {"position": 887, "speed": 8000}}',
0.95,POSITION,'{"12": {"position": 2058, "speed": 8000}}',
0.95,POSITION,'{"13": {"position": 875, "speed": 8000}}',
0.96,POSITION,'{"12": {"position": 2063, "speed": 8000}}',
0.96,POSITION,'{"13": {"position": 864, "speed": 8000}}',
0.97,POSITION,'{"12": {"position": 2065, "speed": 8000}}',
0.97,POSITION,'{"13": {"position": 860, "speed": 8000}}',
0.98,POSITION,'{"12": {"position": 2070, "speed": 8000}}',
0.99,POSITION,'{"13": {"position": 852, "speed": 8000}}',
1.0,POSITION,'{"12": {"position": 2073, "speed": 8000}}',
1.0,POSITION,'{"13": {"position": 849, "speed": 8000}}',
